Player,All Goals,All Goals Missed,All Run Metres,Field Goals,Field Goals Attempts,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Tackles,Grubber Kick,Kicks,Errors,Penalties,Missed Tackles,On Report,Sent Off,Sin Bins,player_img,game,date,team
TomHalliwell,0,0,90,0,0,0,5,0,6,5,35,1.13,25,12,0,1,29,1,1,4,3,7,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Tom_Halliwell.jpg,Rugby League Wheelchair World Cup  Round 1,Thu 3rd November 2022 | 19:30,England Wheelchair
RobertHawkins,1,2,67,0,0,2,0,0,2,2,14,0.88,24,4,0,0,26,0,0,4,1,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Robert_Hawkins.jpg,Rugby League Wheelchair World Cup  Round 1,Thu 3rd November 2022 | 19:30,England Wheelchair
JoeCoyd,0,0,147,0,0,8,4,3,10,9,32,0.91,35,14,2,3,34,1,1,1,3,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Joe_Coyd.jpg,Rugby League Wheelchair World Cup  Round 1,Thu 3rd November 2022 | 19:30,England Wheelchair
SebastienBechara,0,0,191,0,0,0,4,2,7,5,45,1.02,46,16,0,3,37,0,0,4,3,4,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Sebastien_Bechara.jpg,Rugby League Wheelchair World Cup  Round 1,Thu 3rd November 2022 | 19:30,England Wheelchair
LewisKing,0,0,95,0,0,4,0,2,2,2,29,1.16,18,2,1,0,10,0,0,2,1,4,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Lewis_King.jpg,Rugby League Wheelchair World Cup  Round 1,Thu 3rd November 2022 | 19:30,England Wheelchair
NathanCollins,4,1,69,0,0,16,0,3,1,1,27,2.7,19,7,2,0,17,1,4,3,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Nathan_Collins.jpg,Rugby League Wheelchair World Cup  Round 1,Thu 3rd November 2022 | 19:30,England Wheelchair
JackBrown,0,0,147,0,0,8,1,4,2,2,30,1,44,21,2,0,33,0,0,2,0,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Jack_Brown.jpg,Rugby League Wheelchair World Cup  Round 1,Thu 3rd November 2022 | 19:30,England Wheelchair
AdamRigby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Adam_Rigby.jpg,Rugby League Wheelchair World Cup  Round 1,Thu 3rd November 2022 | 19:30,England Wheelchair
DeclanRoberts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Declan_Roberts.jpg,Rugby League Wheelchair World Cup  Round 1,Thu 3rd November 2022 | 19:30,England Wheelchair
WayneBoardman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Wayne_Boardman.jpg,Rugby League Wheelchair World Cup  Round 1,Thu 3rd November 2022 | 19:30,England Wheelchair
PeterArbuckle,0,0,86,0,0,0,0,0,1,1,25,1,23,1,0,0,23,0,0,1,2,7,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia_wheelchair/150px/Peter_Arbuckle.jpg,Rugby League Wheelchair World Cup  Round 1,Thu 3rd November 2022 | 19:30,Australia Wheelchair
