Player,All Goals,All Goals Missed,All Run Metres,Field Goals,Field Goals Attempts,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Tackles,Grubber Kick,Kicks,Errors,Penalties,Missed Tackles,On Report,Sent Off,Sin Bins,player_img,game,date,team
ConnorBlackmore,0,0,63,0,0,4,3,1,1,1,24,1.2,12,4,1,2,10,0,1,4,1,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland_wheelchair/150px/Connor_Blackmore.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 13:30,Scotland Wheelchair
DanGrant,0,2,68,1,1,9,4,4,3,3,32,1.78,7,5,2,2,10,0,5,2,0,6,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland_wheelchair/150px/Dan_Grant.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 13:30,Scotland Wheelchair
MikeMellon,0,1,166,0,0,0,3,2,6,5,35,1,49,8,0,1,37,0,3,5,1,8,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland_wheelchair/150px/Mike_Mellon.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 13:30,Scotland Wheelchair
JohnWillans,4,1,48,0,0,12,3,2,2,2,22,1.57,12,1,1,3,12,0,0,3,1,4,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland_wheelchair/150px/John_Willans.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 13:30,Scotland Wheelchair
CallumYoung,0,0,69,0,0,16,0,4,0,0,17,0.89,14,8,4,0,7,0,0,4,1,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland_wheelchair/150px/Callum_Young.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 13:30,Scotland Wheelchair
GregorAnderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland_wheelchair/150px/Gregor_Anderson.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 13:30,Scotland Wheelchair
PaulHartley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland_wheelchair/150px/Paul_Hartley.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 13:30,Scotland Wheelchair
PeterLauder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland_wheelchair/150px/Peter_Lauder.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 13:30,Scotland Wheelchair
GreameStewart,0,0,16,0,0,0,0,0,0,0,5,1,3,0,0,0,1,0,0,1,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland_wheelchair/150px/Greame_Stewart.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 13:30,Scotland Wheelchair
CaydnThomson,0,0,25,0,0,0,0,0,0,0,6,0.86,4,1,0,0,3,0,0,3,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland_wheelchair/150px/Caydn_Thomson.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 13:30,Scotland Wheelchair
MackenzieJohnson,0,0,96,0,0,16,1,4,1,1,16,0.67,22,7,4,1,27,0,0,8,2,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/usa_wheelchair/150px/Mackenzie_Johnson.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 13:30,USA Wheelchair
WilliamJohnstone,5,3,80,0,0,10,2,0,4,3,19,0.9,18,5,0,2,17,0,0,5,0,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/usa_wheelchair/150px/William_Johnstone.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 13:30,USA Wheelchair
