Player,All Goals,All Goals Missed,All Run Metres,Field Goals,Field Goals Attempts,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Tackles,Grubber Kick,Kicks,Errors,Penalties,Missed Tackles,On Report,Sent Off,Sin Bins,player_img,game,date,team
BayleyMcKenna,10,0,114,0,0,32,1,1,1,1,27,1.42,11,8,3,1,23,1,1,2,0,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia_wheelchair/150px/Bayley_McKenna.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 14:30,Australia Wheelchair
DiabKarim,2,1,73,0,0,12,3,2,3,2,24,1.41,16,4,2,3,31,1,4,0,1,8,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia_wheelchair/150px/Diab_Karim.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 14:30,Australia Wheelchair
BradGrove,0,0,93,0,0,12,1,3,0,0,18,1.13,11,5,3,1,25,0,0,1,1,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia_wheelchair/150px/Brad_Grove.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 14:30,Australia Wheelchair
AdamTannock,0,0,31,0,0,4,0,1,2,2,9,0.82,7,1,1,0,24,0,1,4,2,5,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia_wheelchair/150px/Adam_Tannock.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 14:30,Australia Wheelchair
PeterArbuckle,0,0,74,0,0,4,3,1,2,1,19,1.12,19,4,1,3,41,0,0,3,0,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia_wheelchair/150px/Peter_Arbuckle.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 14:30,Australia Wheelchair
CraigCannane,0,0,22,0,0,0,0,0,3,2,7,1,1,2,0,0,5,0,0,0,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia_wheelchair/150px/Craig_Cannane.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 14:30,Australia Wheelchair
ShaunHarre,0,0,25,0,0,0,0,0,0,0,9,1.29,8,1,0,0,9,0,0,2,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia_wheelchair/150px/Shaun_Harre.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 14:30,Australia Wheelchair
JamesHill,0,0,78,0,0,4,2,1,2,2,10,0.83,13,3,1,2,15,0,0,2,1,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia_wheelchair/150px/James_Hill.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 14:30,Australia Wheelchair
ZacSchumacher,0,0,74,0,0,0,2,0,1,1,12,0.86,24,1,0,2,11,0,1,2,0,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia_wheelchair/150px/Zac_Schumacher.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 14:30,Australia Wheelchair
LiamLuff,0,0,41,0,0,8,0,2,1,0,6,0.67,8,4,2,0,5,0,0,0,0,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia_wheelchair/150px/Liam_Luff.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 14:30,Australia Wheelchair
TobyBurton-Carter,0,0,50,0,0,0,1,0,1,1,16,1,13,5,0,1,12,0,0,1,0,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland_wheelchair/150px/Toby_Burton-Carter.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 14:30,Ireland Wheelchair
PeterJohnston Jnr,3,0,74,0,0,6,1,0,3,3,29,1.04,12,2,0,1,24,0,2,3,1,6,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland_wheelchair/150px/Peter_Johnston_Jnr.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 14:30,Ireland Wheelchair
TomMartin,0,0,134,0,0,0,1,1,3,2,40,0.98,25,8,0,0,22,1,2,5,0,9,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland_wheelchair/150px/Tom_Martin.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 14:30,Ireland Wheelchair
PhilRoberts,0,0,108,0,0,4,1,1,7,7,38,0.97,16,5,1,1,30,3,13,1,3,8,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland_wheelchair/150px/Phil_Roberts.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 14:30,Ireland Wheelchair
JamesMcCarthy,0,0,53,0,0,8,0,1,0,0,19,0.95,7,2,2,0,22,0,0,0,2,5,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland_wheelchair/150px/James_McCarthy.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 14:30,Ireland Wheelchair
OranSpain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland_wheelchair/150px/Oran_Spain.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 14:30,Ireland Wheelchair
PaddyForbes,0,0,12,0,0,0,0,0,1,0,6,1,2,2,0,0,4,1,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland_wheelchair/150px/Paddy_Forbes.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 14:30,Ireland Wheelchair
ScottRobertson,0,0,6,0,0,0,0,0,0,0,3,1,1,1,0,0,3,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland_wheelchair/150px/Scott_Robertson.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 14:30,Ireland Wheelchair
KennethMaloney,0,0,7,0,0,0,0,0,1,1,3,0.75,1,0,0,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland_wheelchair/150px/Kenneth_Maloney.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 14:30,Ireland Wheelchair
RickRodgers,0,0,39,0,0,0,0,0,0,0,13,1.08,14,3,0,0,12,0,0,0,1,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland_wheelchair/150px/Rick_Rodgers.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 14:30,Ireland Wheelchair
