Player,All Goals,All Goals Missed,All Run Metres,Field Goals,Field Goals Attempts,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Tackles,Grubber Kick,Kicks,Errors,Penalties,Missed Tackles,On Report,Sent Off,Sin Bins,player_img,game,date,team
StephenHalsey,5,1,138,0,0,14,2,1,1,1,39,1.22,37,7,1,2,25,0,3,2,3,6,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Stephen_Halsey.jpg,Rugby League Wheelchair World Cup  Round 2,Mon 7th November 2022 | 19:30,Wales Wheelchair
GaryPreece,0,0,144,0,0,8,4,2,8,7,34,1.03,19,6,2,3,14,0,2,1,0,5,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Gary_Preece.jpg,Rugby League Wheelchair World Cup  Round 2,Mon 7th November 2022 | 19:30,Wales Wheelchair
JodieBoyd-Ward,0,0,9,0,0,0,0,0,0,0,3,1,0,0,0,0,5,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Jodie_Boyd-Ward.jpg,Rugby League Wheelchair World Cup  Round 2,Mon 7th November 2022 | 19:30,Wales Wheelchair
StuartWilliams,0,0,143,0,0,12,1,5,2,2,29,0.94,43,11,3,1,16,0,1,3,1,6,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Stuart_Williams.jpg,Rugby League Wheelchair World Cup  Round 2,Mon 7th November 2022 | 19:30,Wales Wheelchair
MartinLane,0,0,49,0,0,0,1,0,6,6,12,1,14,4,0,1,19,0,0,4,1,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Martin_Lane.jpg,Rugby League Wheelchair World Cup  Round 2,Mon 7th November 2022 | 19:30,Wales Wheelchair
AlanCaron,0,0,13,0,0,0,0,0,0,0,6,1.2,2,0,0,0,5,0,0,1,0,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Alan_Caron.jpg,Rugby League Wheelchair World Cup  Round 2,Mon 7th November 2022 | 19:30,Wales Wheelchair
HarryJones,0,0,21,0,0,4,0,1,0,0,5,0.83,1,1,1,0,5,0,0,0,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Harry_Jones.jpg,Rugby League Wheelchair World Cup  Round 2,Mon 7th November 2022 | 19:30,Wales Wheelchair
AndrewHiggins,2,1,160,0,0,8,3,1,11,10,42,1.05,47,15,1,2,15,0,4,4,0,4,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Andrew_Higgins.jpg,Rugby League Wheelchair World Cup  Round 2,Mon 7th November 2022 | 19:30,Wales Wheelchair
MarkWilliams,0,0,26,0,0,0,0,0,0,0,7,1.4,5,0,0,0,2,0,0,0,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Mark_Williams.jpg,Rugby League Wheelchair World Cup  Round 2,Mon 7th November 2022 | 19:30,Wales Wheelchair
ScottTrigg-Turner,0,0,71,0,0,4,0,1,1,1,18,0.78,13,9,1,0,5,0,0,3,1,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Scott_Trigg-Turner.jpg,Rugby League Wheelchair World Cup  Round 2,Mon 7th November 2022 | 19:30,Wales Wheelchair
MackenzieJohnson,0,0,43,0,0,4,0,0,1,1,11,1,14,3,1,0,36,0,0,5,4,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/usa_wheelchair/150px/Mackenzie_Johnson.jpg,Rugby League Wheelchair World Cup  Round 2,Mon 7th November 2022 | 19:30,USA Wheelchair
