Player,All Goals,All Goals Missed,All Run Metres,Field Goals,Field Goals Attempts,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Tackles,Grubber Kick,Kicks,Errors,Penalties,Missed Tackles,On Report,Sent Off,Sin Bins,player_img,game,date,team
TomHalliwell,0,0,71,0,0,8,5,1,1,1,29,2.64,15,13,2,5,6,0,0,2,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Tom_Halliwell.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 13:30,England Wheelchair
JoeCoyd,4,3,91,0,0,24,4,3,3,3,24,1.14,20,16,4,4,11,1,2,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Joe_Coyd.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 13:30,England Wheelchair
SebastienBechara,0,0,167,0,0,8,2,2,3,2,22,1,42,16,2,2,19,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Sebastien_Bechara.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 13:30,England Wheelchair
JamesSimpson,0,0,53,0,0,16,1,3,0,0,13,0.87,8,3,4,1,4,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/James_Simpson.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 13:30,England Wheelchair
LewisKing,0,0,142,0,0,4,1,0,4,4,25,0.96,62,15,1,1,5,0,0,0,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Lewis_King.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 13:30,England Wheelchair
WayneBoardman,0,0,28,0,0,0,0,0,2,1,9,0.9,3,1,0,0,3,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Wayne_Boardman.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 13:30,England Wheelchair
NathanCollins,8,0,71,0,0,28,0,4,0,0,24,1.5,17,10,3,2,1,2,5,4,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Nathan_Collins.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 13:30,England Wheelchair
AdamRigby,0,0,52,0,0,8,1,2,0,0,13,0.87,5,2,2,0,8,0,0,0,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Adam_Rigby.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 13:30,England Wheelchair
DeclanRoberts,6,0,23,1,3,13,2,0,2,1,9,1.8,4,1,0,4,5,0,4,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Declan_Roberts.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 13:30,England Wheelchair
JackBrown,0,0,142,0,0,12,2,2,0,0,28,0.97,25,6,3,2,15,1,1,2,0,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Jack_Brown.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 13:30,England Wheelchair
TobyBurton-Carter,0,0,31,0,0,0,0,0,1,1,6,0.75,7,3,0,0,14,0,0,1,1,11,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland_wheelchair/150px/Toby_Burton-Carter.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 13:30,Ireland Wheelchair
PeterJohnston Jnr,0,0,23,0,0,0,0,0,1,1,13,1.3,3,1,0,0,28,0,0,0,2,16,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland_wheelchair/150px/Peter_Johnston_Jnr.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 13:30,Ireland Wheelchair
TomMartin,0,0,36,0,0,0,0,0,0,0,15,0.94,5,1,0,0,38,0,0,1,1,18,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland_wheelchair/150px/Tom_Martin.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 13:30,Ireland Wheelchair
PhilRoberts,0,0,33,0,0,0,0,0,2,1,19,1.27,7,1,0,0,47,1,7,2,2,22,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland_wheelchair/150px/Phil_Roberts.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 13:30,Ireland Wheelchair
JamesMcCarthy,0,0,21,0,0,0,0,0,0,0,6,0.86,6,0,0,0,22,0,0,0,2,5,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland_wheelchair/150px/James_McCarthy.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 13:30,Ireland Wheelchair
OranSpain,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,0,0,0,5,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland_wheelchair/150px/Oran_Spain.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 13:30,Ireland Wheelchair
PaddyForbes,0,0,5,0,0,0,0,0,0,0,3,1.5,1,0,0,0,14,0,0,0,1,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland_wheelchair/150px/Paddy_Forbes.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 13:30,Ireland Wheelchair
ScottRobertson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland_wheelchair/150px/Scott_Robertson.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 13:30,Ireland Wheelchair
RickRodgers,0,0,18,0,0,0,0,0,0,0,8,1,4,0,0,0,11,0,0,0,1,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland_wheelchair/150px/Rick_Rodgers.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 13:30,Ireland Wheelchair
StephenCampbell,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland_wheelchair/150px/Stephen_Campbell.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 13:30,Ireland Wheelchair
