Player,All Goals,All Goals Missed,All Run Metres,Field Goals,Field Goals Attempts,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Tackles,Grubber Kick,Kicks,Errors,Penalties,Missed Tackles,On Report,Sent Off,Sin Bins,player_img,game,date,team
TomHalliwell,0,0,111,0,0,0,6,1,2,2,35,1.94,38,4,0,6,21,0,0,2,0,4,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Tom_Halliwell.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 14:30,England Wheelchair
RobertHawkins,7,1,107,0,0,22,1,2,0,0,11,0.85,26,11,2,0,7,0,0,1,0,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Robert_Hawkins.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 14:30,England Wheelchair
SebastienBechara,0,0,149,0,0,16,2,6,3,3,18,0.95,17,15,4,1,22,0,0,3,2,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Sebastien_Bechara.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 14:30,England Wheelchair
LewisKing,0,0,99,0,0,4,1,2,1,1,17,0.94,7,4,1,1,5,0,0,0,1,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Lewis_King.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 14:30,England Wheelchair
JoeCoyd,0,0,114,0,0,16,6,3,10,10,20,0.77,8,8,4,5,8,2,2,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Joe_Coyd.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 14:30,England Wheelchair
NathanCollins,10,1,64,0,0,24,2,1,0,0,13,1.44,0,5,1,2,5,0,1,0,2,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Nathan_Collins.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 14:30,England Wheelchair
JackBrown,0,0,190,0,0,32,2,5,1,0,17,0.65,11,19,8,2,6,0,1,0,0,4,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Jack_Brown.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 14:30,England Wheelchair
WayneBoardman,0,0,13,0,0,0,1,0,0,0,9,1.29,1,2,0,1,8,0,0,1,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Wayne_Boardman.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 14:30,England Wheelchair
DeclanRoberts,1,2,45,1,1,7,2,1,0,0,9,1.8,2,4,1,1,5,0,0,0,1,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Declan_Roberts.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 14:30,England Wheelchair
JamesSimpson,0,0,21,0,0,4,0,1,1,1,7,0.78,2,2,1,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/James_Simpson.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 14:30,England Wheelchair
ScottTrigg-Turner,0,0,22,0,0,4,0,1,0,0,9,0.82,2,4,1,0,12,0,0,1,0,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Scott_Trigg-Turner.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 14:30,Wales Wheelchair
GaryPreece,1,1,39,0,0,6,1,1,2,2,18,1.06,0,3,1,1,20,1,1,1,1,14,0,0,1,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Gary_Preece.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 14:30,Wales Wheelchair
AndrewHiggins,2,0,61,0,0,4,1,0,10,9,27,1.17,4,4,0,1,26,1,3,1,1,13,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Andrew_Higgins.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 14:30,Wales Wheelchair
StuartWilliams,0,0,43,0,0,4,1,1,0,0,18,1.13,4,4,1,1,19,2,3,2,1,13,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Stuart_Williams.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 14:30,Wales Wheelchair
MartinLane,0,0,11,0,0,0,0,0,0,0,5,1.25,0,0,0,0,8,0,0,1,0,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Martin_Lane.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 14:30,Wales Wheelchair
HarryJones,0,0,8,0,0,0,1,0,0,0,5,1.25,0,0,0,1,4,0,0,1,1,6,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Harry_Jones.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 14:30,Wales Wheelchair
LucieRoberts,0,0,1,0,0,0,0,0,0,0,1,0.5,0,2,0,0,3,0,0,0,0,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Lucie_Roberts.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 14:30,Wales Wheelchair
StephenHalsey,0,0,22,0,0,0,0,0,1,1,7,1,1,0,0,0,20,0,0,0,1,11,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Stephen_Halsey.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 14:30,Wales Wheelchair
JodieBoyd-Ward,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,7,0,0,1,0,4,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Jodie_Boyd-Ward.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 14:30,Wales Wheelchair
AlanCaron,0,0,13,0,0,4,0,1,1,1,3,0.5,3,2,1,0,8,0,0,0,1,5,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Alan_Caron.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 14:30,Wales Wheelchair
