Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
SamTomkins,0,0,60,0,0,0,1,0,0,0,1,0,0,39,3.25,6,1,0,2,2,0,1,0,0,5,0,0,2,8,2,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Sam_Tomkins.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,England
DominicYoung,0,0,106,0,0,0,0,0,4,1,1,2,2,1,0.1,38,2,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Dominic_Young.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,England
KallumWatkins,0,0,124,0,0,0,0,0,4,1,1,2,2,4,0.33,32,3,1,2,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Kallum_Watkins.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,England
HerbieFarnworth,0,0,137,1,0,0,0,0,0,1,1,2,2,3,0.21,50,2,0,1,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Herbie_Farnworth.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,England
TommyMakinson,5,4,119,0,0,0,0,0,30,0,2,2,0,2,0.13,29,4,5,0,0,0,2,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Tommy_Makinson.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,England
JackWelsby,0,0,56,0,0,0,1,0,0,0,0,1,1,28,2,12,2,0,0,0,0,0,0,0,9,0,0,1,3,0,1,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Jack_Welsby.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,England
GeorgeWilliams,0,0,150,0,0,0,1,0,4,2,0,1,1,33,1.32,20,2,1,2,0,0,0,0,0,12,0,0,3,10,1,0,2,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/George_Williams.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,England
ThomasBurgess,0,0,131,0,0,0,0,0,4,0,1,0,0,0,0,46,11,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Thomas_Burgess.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,England
MichaelMcIlorum,0,0,30,4,0,0,0,0,0,1,0,0,0,77,9.63,0,0,0,1,0,0,0,0,0,27,0,0,0,0,0,1,0,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Michael_McIlorum.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,England
ChrisHill,0,0,126,0,0,0,0,0,0,0,0,0,0,1,0.08,56,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Chris_Hill.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,England
ElliottWhitehead,0,0,68,0,0,0,0,0,0,0,0,2,2,2,0.22,26,1,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Elliott_Whitehead.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,England
JohnBateman,0,0,117,0,0,0,0,0,0,1,0,1,1,2,0.17,49,4,0,0,1,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/John_Bateman.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,England
VictorRadley,0,0,82,0,0,0,0,0,0,0,0,0,0,30,2.73,18,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Victor_Radley.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,England
MorganKnowles,0,0,79,0,0,0,0,0,0,0,0,1,1,7,0.64,28,2,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Morgan_Knowles.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,England
MattyLees,0,0,67,0,0,0,0,0,0,0,0,0,0,1,0.1,22,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,8,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Matty_Lees.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,England
MikeCooper,0,0,117,0,0,0,0,0,0,0,0,0,0,2,0.18,45,4,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Mike_Cooper.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,England
MikeMcMeeken,0,0,49,0,0,0,0,0,0,0,0,0,0,3,0.43,18,1,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,1,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Mike_McMeeken.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,England
KaiPearce-Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Kai_Pearce-Paul.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,England
AlexJohnston,0,0,43,0,0,0,0,0,0,0,0,0,0,9,1.29,8,1,0,1,0,0,2,0,0,3,0,0,1,1,1,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Alex_Johnston.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,Papua New Guinea
RodrickTai,0,0,55,0,0,0,0,0,0,0,0,1,0,1,0.13,19,0,0,0,0,0,1,0,0,6,1,0,0,1,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Rodrick_Tai.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,Papua New Guinea
NeneMacdonald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Nene_Macdonald.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,Papua New Guinea
JustinOlam,0,0,94,0,0,0,0,0,0,0,0,0,0,2,0.2,41,2,0,0,0,0,1,0,0,8,0,0,1,1,0,2,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Justin_Olam.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,Papua New Guinea
JimmyNgutlik,0,0,25,0,0,0,0,0,4,0,0,0,0,2,0.5,10,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Jimmy_Ngutlik.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,Papua New Guinea
KyleLaybutt,0,0,50,0,0,0,0,0,0,0,0,0,0,19,2.38,13,2,0,0,0,0,0,0,0,17,0,0,2,5,0,2,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Kyle_Laybutt.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,Papua New Guinea
LachlanLam,0,0,57,2,0,0,1,0,0,0,0,0,0,23,1.92,11,2,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Lachlan_Lam.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,Papua New Guinea
WellingtonAlbert,0,0,37,0,0,0,0,0,0,0,0,1,0,1,0.14,13,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Wellington_Albert.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,Papua New Guinea
EdwinIpape,0,0,43,3,0,0,0,0,0,0,0,0,0,44,7.33,19,2,0,0,0,0,0,0,0,36,0,0,0,1,0,1,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Edwin_Ipape.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 14:30,Papua New Guinea
