Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
WillHopoate,0,0,120,0,0,0,0,0,0,1,1,0,0,9,0.64,28,3,0,1,0,0,3,0,0,8,0,0,0,0,0,1,0,1,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Will_Hopoate.jpg,Rugby League World Cup  Quarter Finals,Sun 6th November 2022 | 14:30,Tonga
DanielTupou,0,0,103,0,0,0,0,0,4,0,1,2,0,0,0,42,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Daniel_Tupou.jpg,Rugby League World Cup  Quarter Finals,Sun 6th November 2022 | 14:30,Tonga
MoseseSuli,0,0,144,1,0,0,0,0,0,0,1,1,0,2,0.15,43,6,0,1,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Mosese_Suli.jpg,Rugby League World Cup  Quarter Finals,Sun 6th November 2022 | 14:30,Tonga
WillPenisini,0,0,72,2,0,0,0,0,0,0,0,0,0,5,0.5,29,2,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Will_Penisini.jpg,Rugby League World Cup  Quarter Finals,Sun 6th November 2022 | 14:30,Tonga
SioneKatoa,0,0,102,0,0,0,0,0,4,0,0,0,0,3,0.33,21,2,1,0,0,0,2,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Sione_Katoa.jpg,Rugby League World Cup  Quarter Finals,Sun 6th November 2022 | 14:30,Tonga
IsaiyaKatoa,3,1,48,0,0,0,1,0,6,0,0,0,0,21,1.75,3,0,0,0,1,0,0,0,0,23,0,0,0,1,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Isaiya_Katoa.jpg,Rugby League World Cup  Quarter Finals,Sun 6th November 2022 | 14:30,Tonga
TuimoalaLolohea,0,0,64,2,0,0,3,0,0,1,0,1,0,25,2.5,13,2,0,0,1,0,1,0,0,21,0,0,4,11,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Tuimoala_Lolohea.jpg,Rugby League World Cup  Quarter Finals,Sun 6th November 2022 | 14:30,Tonga
AddinFonua-Blake,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,64,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Addin_Fonua-Blake.jpg,Rugby League World Cup  Quarter Finals,Sun 6th November 2022 | 14:30,Tonga
SilivaHavili,0,0,45,3,0,0,0,0,0,0,0,0,0,50,10,10,0,0,0,0,0,0,0,0,34,0,0,0,1,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Siliva_Havili.jpg,Rugby League World Cup  Quarter Finals,Sun 6th November 2022 | 14:30,Tonga
MoeakiFotuaika,0,0,117,0,0,0,0,0,0,0,0,0,0,1,0.1,51,1,0,0,0,0,1,0,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Moeaki_Fotuaika.jpg,Rugby League World Cup  Quarter Finals,Sun 6th November 2022 | 14:30,Tonga
FeliseKaufusi,0,0,97,1,0,0,0,0,0,0,0,2,1,1,0.1,50,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,3,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Felise_Kaufusi.jpg,Rugby League World Cup  Quarter Finals,Sun 6th November 2022 | 14:30,Tonga
KeaonKoloamatangi,0,0,110,0,0,0,0,0,0,0,0,0,0,4,0.33,45,1,0,0,0,0,1,0,0,21,0,0,0,1,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Keaon_Koloamatangi.jpg,Rugby League World Cup  Quarter Finals,Sun 6th November 2022 | 14:30,Tonga
JasonTaumalolo,0,0,184,0,0,0,0,0,0,0,0,0,0,7,0.37,85,5,0,0,0,1,1,0,0,30,0,0,0,0,0,1,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Jason_Taumalolo.jpg,Rugby League World Cup  Quarter Finals,Sun 6th November 2022 | 14:30,Tonga
SoniLuke,0,0,6,2,0,0,0,0,0,0,0,0,0,44,22,0,0,0,1,0,0,0,0,0,23,0,0,1,2,1,0,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Soni_Luke.jpg,Rugby League World Cup  Quarter Finals,Sun 6th November 2022 | 14:30,Tonga
SiosiuaTaukeiaho,0,0,179,0,0,0,0,0,4,0,0,1,1,3,0.17,69,3,1,0,0,0,0,0,0,18,0,0,0,0,0,1,0,1,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Siosiua_Taukeiaho.jpg,Rugby League World Cup  Quarter Finals,Sun 6th November 2022 | 14:30,Tonga
DavidFifita,0,0,76,0,0,0,0,0,0,0,0,0,0,1,0.14,29,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/David_Fifita.jpg,Rugby League World Cup  Quarter Finals,Sun 6th November 2022 | 14:30,Tonga
BenMurdoch-Masila,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Ben_Murdoch-Masila.jpg,Rugby League World Cup  Quarter Finals,Sun 6th November 2022 | 14:30,Tonga
TalatauAmone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Talatau_Amone.jpg,Rugby League World Cup  Quarter Finals,Sun 6th November 2022 | 14:30,Tonga
JosephSuaali'i,0,0,231,0,0,0,0,0,0,0,1,1,1,6,0.29,74,10,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Joseph_Suaalii.jpg,Rugby League World Cup  Quarter Finals,Sun 6th November 2022 | 14:30,Samoa
BrianTo'o,0,0,241,0,0,0,0,0,4,0,0,1,1,3,0.14,122,4,1,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Brian_Too.jpg,Rugby League World Cup  Quarter Finals,Sun 6th November 2022 | 14:30,Samoa
StephenCrichton,4,0,92,0,0,0,0,0,8,0,0,0,0,7,0.78,45,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Stephen_Crichton.jpg,Rugby League World Cup  Quarter Finals,Sun 6th November 2022 | 14:30,Samoa
