Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
JamesTedesco,0,0,169,1,0,0,0,0,4,0,1,4,4,7,0.37,50,18,1,0,0,0,1,0,0,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/James_Tedesco.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 19:30,Australia
MurrayTaulagi,0,0,98,0,0,0,0,0,0,0,0,1,1,2,0.2,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Murray_Taulagi.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 19:30,Australia
ValentineHolmes,7,0,126,4,0,0,0,0,14,0,0,1,0,6,0.46,45,1,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Valentine_Holmes.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 19:30,Australia
LatrellMitchell,0,0,93,1,0,0,0,0,4,2,0,0,0,6,0.67,19,4,1,1,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Latrell_Mitchell.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 19:30,Australia
JoshAddo-Carr,0,0,220,0,0,0,0,0,8,0,3,0,0,3,0.21,30,8,2,0,1,0,1,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Josh_Addo-Carr.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 19:30,Australia
CameronMunster,0,0,102,1,0,0,0,0,0,2,0,1,1,18,1.38,22,2,0,2,0,0,0,0,1,14,0,0,0,2,0,1,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Cameron_Munster.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 19:30,Australia
DalyCherry-Evans,0,0,59,2,0,0,1,0,0,2,0,0,0,28,2.55,10,6,0,2,0,0,0,0,0,24,0,0,1,5,0,1,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Daly_Cherry-Evans.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 19:30,Australia
TinoFa'asuamaleaui,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Tino_Faasuamaleaui.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 19:30,Australia
BenHunt,0,0,25,2,0,0,0,0,0,0,0,1,1,52,10.4,0,0,0,0,1,0,0,0,0,26,0,0,0,1,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Ben_Hunt.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 19:30,Australia
JakeTrbojevic,0,0,65,0,0,0,0,0,0,0,0,0,0,3,0.38,29,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Jake_Trbojevic.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 19:30,Australia
AngusCrichton,0,0,179,0,0,0,0,0,4,0,1,3,2,1,0.06,81,7,1,0,0,0,0,0,0,32,0,0,0,0,0,2,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Angus_Crichton.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 19:30,Australia
JeremiahNanai,0,0,68,0,0,0,0,0,4,0,1,1,1,2,0.22,16,5,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Jeremiah_Nanai.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 19:30,Australia
CameronMurray,0,0,101,0,0,0,0,0,0,0,0,1,0,13,1,27,2,0,0,1,0,0,0,0,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Cameron_Murray.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 19:30,Australia
HarryGrant,0,0,96,9,0,0,0,1,4,0,2,2,1,39,3.55,22,5,1,1,2,0,1,0,0,27,0,0,1,3,1,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Harry_Grant.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 19:30,Australia
ReubenCotter,0,0,82,0,0,0,0,0,0,0,0,1,1,0,0,29,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Reuben_Cotter.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 19:30,Australia
PatrickCarrigan,0,0,118,0,0,0,0,0,0,0,0,0,0,1,0.08,50,0,0,0,0,0,0,0,0,22,0,0,0,0,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Patrick_Carrigan.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 19:30,Australia
JackWighton,0,0,46,0,0,0,0,0,0,0,0,1,0,5,1.25,18,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Jack_Wighton.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 19:30,Australia
MattBurton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Matt_Burton.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 19:30,Australia
SuniaTuruva,0,0,145,0,0,0,0,0,4,0,0,0,0,4,0.2,49,2,1,0,0,0,1,0,0,5,1,0,1,1,0,1,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Sunia_Turuva.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 19:30,Fiji
MitieliVulikijapani,0,0,78,0,0,0,0,0,0,0,0,0,0,1,0.1,29,1,0,0,0,0,1,0,0,9,0,0,0,0,0,2,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Mitieli_Vulikijapani.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 19:30,Fiji
