Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
SamTomkins,0,0,86,2,0,0,1,1,0,1,0,0,0,41,3.42,18,0,0,0,2,0,1,0,0,4,0,0,0,4,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Sam_Tomkins.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,England
TommyMakinson,10,2,193,0,0,0,0,0,24,0,1,0,0,1,0.06,51,4,1,1,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Tommy_Makinson.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,England
KallumWatkins,0,0,202,0,0,0,0,0,4,0,1,0,0,1,0.06,75,5,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Kallum_Watkins.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,England
HerbieFarnworth,0,0,182,0,0,0,0,0,4,0,1,0,0,2,0.13,74,5,1,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Herbie_Farnworth.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,England
DominicYoung,0,0,168,0,0,0,0,0,8,0,2,0,0,1,0.08,40,3,2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Dominic_Young.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,England
JackWelsby,0,0,102,0,0,0,0,0,4,3,0,1,1,38,3.45,17,2,1,3,1,0,0,0,0,16,0,0,2,5,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Jack_Welsby.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,England
GeorgeWilliams,0,0,171,0,0,0,0,0,4,1,2,2,2,18,0.82,24,8,1,2,1,0,0,0,0,14,0,0,3,12,1,1,0,1,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/George_Williams.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,England
ThomasBurgess,0,0,89,0,0,0,0,0,4,0,1,0,0,0,0,37,4,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Thomas_Burgess.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,England
MichaelMcIlorum,0,0,16,2,0,0,0,0,0,0,0,0,0,76,38,3,0,0,0,1,0,0,0,0,36,0,0,0,0,0,0,0,1,0,8,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Michael_McIlorum.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,England
ChrisHill,0,0,98,0,0,0,0,0,0,0,0,0,0,1,0.1,37,2,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Chris_Hill.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,England
ElliottWhitehead,0,0,129,0,0,0,0,0,8,0,1,0,0,4,0.33,36,3,2,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Elliott_Whitehead.jpg,Rugby League World Cup  Round 1,Sat 15th October 2022 | 14:30,England
