Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
MorganEscare,0,0,113,1,0,0,1,0,0,1,1,2,2,23,1.53,26,3,0,1,0,0,3,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france/150px/Morgan_Escare.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,France
ArthurRomano,0,0,189,0,0,0,0,0,0,0,0,0,0,1,0.06,72,5,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france/150px/Arthur_Romano.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,France
SamisoniLangi,0,0,139,0,0,0,0,0,0,0,0,0,0,6,0.38,45,3,0,0,0,0,1,0,0,10,0,0,0,0,0,2,0,1,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france/150px/Samisoni_Langi.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,France
MatthieuLaguerre,0,0,127,0,0,0,0,0,0,1,0,1,1,2,0.15,37,0,0,0,1,0,1,0,0,11,0,0,0,0,0,0,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france/150px/Matthieu_Laguerre.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,France
FouadYaha,0,0,175,0,0,0,0,0,0,0,0,1,0,1,0.07,61,4,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france/150px/Fouad_Yaha.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,France
ArthurMourgue,7,0,103,1,0,0,2,0,18,0,0,1,1,26,1.73,17,4,1,1,1,0,0,0,0,21,0,0,2,7,1,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france/150px/Arthur_Mourgue.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,France
TonyGigot,0,0,52,0,0,0,3,0,4,0,0,0,0,23,2.56,3,0,1,0,0,0,0,0,0,13,0,0,0,13,0,2,1,0,2,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france/150px/Tony_Gigot.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,France
JordanDezaria,0,0,86,0,0,0,0,0,4,0,1,0,0,0,0,24,5,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france/150px/Jordan_Dezaria.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,France
AlrixDa Costa,0,0,39,3,0,0,0,0,0,2,0,0,0,85,28.33,5,1,0,2,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france/150px/Alrix_Da_Costa.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,France
LambertBelmas,0,0,106,0,0,0,0,0,0,0,0,1,1,0,0,53,1,0,0,0,0,0,0,0,24,1,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france/150px/Lambert_Belmas.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,France
BenjaminJullien,0,0,118,0,0,0,0,0,8,0,2,0,0,2,0.15,39,4,2,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france/150px/Benjamin_Jullien.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,France
PaulSeguier,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,73,2,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,1,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france/150px/Paul_Seguier.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,France
BenjaminGarcia,0,0,208,0,0,0,0,0,0,0,0,3,3,2,0.11,78,3,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france/150px/Benjamin_Garcia.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,France
EloiPelissier,0,0,40,3,0,0,0,0,0,0,0,1,1,22,7.33,11,2,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france/150px/Eloi_Pelissier.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,France
JustinSangare,0,0,109,0,0,0,0,0,0,0,0,0,0,1,0.1,43,3,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france/150px/Justin_Sangare.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,France
MickaëlGoudemand,0,0,186,0,0,0,0,0,0,0,1,0,0,4,0.22,70,2,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france/150px/Mickael_Goudemand.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,France
CorentinLe Cam,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france/150px/Corentin_Le_Cam.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,France
CesarRouge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france/150px/Cesar_Rouge.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,France
ChaiseRobinson,0,0,99,3,0,0,0,0,0,0,0,2,1,12,0.67,18,1,0,0,0,0,2,0,0,2,0,0,1,3,0,1,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/greece/150px/Chaise_Robinson.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,Greece
SiteniTaukamo,0,0,150,0,0,0,0,0,4,0,2,0,0,3,0.23,24,2,1,0,0,0,2,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/greece/150px/Siteni_Taukamo.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,Greece
TerryConstantinou,0,0,97,0,0,0,0,0,0,0,0,0,0,8,0.57,29,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/greece/150px/Terry_Constantinou.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,Greece
NickMougios,0,0,159,0,0,0,0,0,4,1,0,0,0,4,0.33,30,4,1,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/greece/150px/Nick_Mougios.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,Greece
JohnnyMitsias,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0,0,3,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/greece/150px/Johnny_Mitsias.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,Greece
LachlanIlias,2,0,90,0,0,0,2,0,4,0,0,0,0,37,1.85,10,2,0,0,0,0,0,0,0,18,0,0,1,14,0,0,1,0,0,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/greece/150px/Lachlan_Ilias.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,Greece
JordanMeads,0,0,33,0,0,0,0,0,0,0,0,0,0,11,1,6,1,0,2,0,0,0,0,0,10,0,0,1,2,2,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/greece/150px/Jordan_Meads.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,Greece
RobertTuliatu,0,0,95,0,0,0,0,0,0,0,0,2,0,1,0.08,36,1,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/greece/150px/Robert_Tuliatu.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,Greece
PeterMamouzelos,0,0,43,5,0,0,0,0,0,0,0,1,1,85,10.63,19,1,0,0,0,0,0,0,0,39,0,0,2,3,0,0,0,0,2,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/greece/150px/Peter_Mamouzelos.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,Greece
SebastianSell,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/greece/150px/Sebastian_Sell.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,Greece
MitchellZampetides,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,1,1,4,0,1,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/greece/150px/Mitchell_Zampetides.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,Greece
NicholasFlocas,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,1,2,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/greece/150px/Nicholas_Flocas.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,Greece
BillyMagoulias,0,0,160,0,0,0,0,0,0,0,0,3,3,15,0.68,56,1,0,0,0,0,0,0,0,50,0,0,0,1,0,1,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/greece/150px/Billy_Magoulias.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,Greece
JakeKambos,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0.5,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/greece/150px/Jake_Kambos.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,Greece
MylesGal,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/greece/150px/Myles_Gal.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,Greece
TheodorosNianiakas,0,0,23,0,0,0,0,0,0,0,0,0,0,1,0.33,7,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/greece/150px/Theodoros_Nianiakas.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,Greece
ArisDardamanis,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/greece/150px/Aris_Dardamanis.jpg,Rugby League World Cup  Round 1,Mon 17th October 2022 | 19:30,Greece
