Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
BenJones-Bishop,0,0,65,2,0,0,0,0,0,0,0,1,1,6,0.46,17,0,0,0,0,0,6,0,0,7,1,0,2,2,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/Ben_Jones-Bishop.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Jamaica
MoAgoro,0,0,129,0,0,0,0,0,0,0,0,0,0,2,0.14,50,0,0,0,0,0,2,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/Mo_Agoro.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Jamaica
GregJohnson,0,0,69,0,0,0,0,0,0,0,0,0,0,2,0.29,28,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/Greg_Johnson.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Jamaica
JacobOgden,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,1,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/Jacob_Ogden.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Jamaica
AlexYoung,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,7,1,0,0,0,0,2,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/Alex_Young.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Jamaica
JamesWoodburn-Hall,0,0,143,0,0,0,0,0,0,0,0,0,0,19,1.06,39,2,0,0,0,0,0,0,0,20,0,0,0,3,0,0,0,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/James_Woodburn-Hall.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Jamaica
KieranRush,1,0,107,2,0,0,3,0,2,0,0,0,0,40,2,19,0,0,0,0,0,0,0,0,18,0,0,2,13,0,2,0,0,2,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/Kieran_Rush.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Jamaica
JordanAndrade,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/Jordan_Andrade.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Jamaica
AshtonGolding,0,0,114,11,0,0,0,0,0,0,0,2,0,79,6.08,33,4,0,0,0,0,0,0,0,55,0,0,1,2,0,0,0,0,0,12,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/Ashton_Golding.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Jamaica
MichaelLawrence,0,0,88,0,0,0,0,0,0,0,0,0,0,6,0.43,38,0,0,0,0,0,0,0,0,36,0,0,1,1,0,0,0,1,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/Michael_Lawrence.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Jamaica
AJWallace,0,0,34,0,0,0,0,0,0,0,0,1,0,0,0,12,1,0,0,0,0,0,0,0,40,0,0,0,0,0,2,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/AJ_Wallace.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Jamaica
ChevaughnBailey,0,0,27,0,0,0,0,0,0,0,0,0,0,1,0.25,13,0,0,0,0,0,0,0,0,28,0,0,0,0,0,1,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/Chevaughn_Bailey.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Jamaica
JoeBrown,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/Joe_Brown.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Jamaica
AaronJones-Bishop,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0.33,12,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/Aaron_Jones-Bishop.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Jamaica
BradleyHo,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/Bradley_Ho.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Jamaica
KeenenTomlinson,0,0,41,0,0,0,0,0,0,0,0,2,2,0,0,15,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/Keenen_Tomlinson.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Jamaica
RossPeltier,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/Ross_Peltier.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Jamaica
AndrewSimpson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/Andrew_Simpson.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Jamaica
RichieMyler,0,0,201,4,0,0,1,0,0,3,1,0,0,34,1.48,26,1,0,2,1,0,2,0,0,2,0,0,0,2,0,2,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland/150px/Richie_Myler.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Ireland
LouisSenior,0,0,167,0,0,0,0,0,8,0,2,0,0,0,0,54,2,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland/150px/Louis_Senior.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Ireland
EdChamberlain,1,3,144,0,0,0,0,0,6,2,1,0,0,6,0.43,28,1,1,2,0,0,0,0,0,17,0,0,0,0,0,5,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland/150px/Ed_Chamberlain.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Ireland
TobyKing,0,0,181,2,0,0,0,0,4,3,0,7,5,5,0.33,61,6,1,0,0,0,0,0,0,13,0,0,1,1,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland/150px/Toby_King.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Ireland
InnesSenior,0,0,148,0,0,0,0,0,4,0,1,1,0,4,0.24,48,1,1,0,0,0,1,0,0,6,0,0,0,0,0,4,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland/150px/Innes_Senior.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Ireland
LukeKeary,0,0,183,0,0,0,1,0,0,1,2,3,2,28,1.4,16,3,0,0,3,0,0,0,0,16,0,0,1,4,0,0,0,0,2,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland/150px/Luke_Keary.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Ireland
JoeKeyes,3,3,202,1,0,0,5,0,6,1,0,1,1,31,1,42,1,0,1,2,0,1,0,0,13,0,0,0,5,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland/150px/Joe_Keyes.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Ireland
LiamByrne,0,0,157,0,0,0,0,0,0,0,1,0,0,2,0.15,52,2,0,0,0,0,0,0,0,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland/150px/Liam_Byrne.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Ireland
BrendanO'Hagan,0,0,49,3,0,0,0,0,4,1,2,0,0,30,5,5,2,1,1,1,0,0,0,0,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland/150px/Brendan_OHagan.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 17:00,Ireland
