Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
TolutauKoula,0,0,239,0,0,0,0,0,0,0,1,0,0,8,0.4,51,3,0,1,0,0,1,0,0,3,0,0,1,1,0,3,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Tolutau_Koula.jpg,Rugby League World Cup  Round 1,Tue 18th October 2022 | 19:30,Tonga
DanielTupou,0,0,187,0,0,0,0,0,0,0,1,0,0,1,0.06,64,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Daniel_Tupou.jpg,Rugby League World Cup  Round 1,Tue 18th October 2022 | 19:30,Tonga
MoseseSuli,0,0,167,1,0,0,0,0,0,1,1,0,0,4,0.33,52,10,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Mosese_Suli.jpg,Rugby League World Cup  Round 1,Tue 18th October 2022 | 19:30,Tonga
WillPenisini,0,0,149,1,0,0,0,0,4,0,0,0,0,3,0.3,34,2,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Will_Penisini.jpg,Rugby League World Cup  Round 1,Tue 18th October 2022 | 19:30,Tonga
SioneKatoa,0,0,86,0,0,0,0,0,0,0,0,2,0,2,0.18,24,6,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Sione_Katoa.jpg,Rugby League World Cup  Round 1,Tue 18th October 2022 | 19:30,Tonga
IsaiyaKatoa,4,1,128,1,0,0,3,0,12,1,0,1,1,40,1.67,4,0,1,0,1,0,0,0,0,22,0,0,1,4,0,0,0,1,1,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Isaiya_Katoa.jpg,Rugby League World Cup  Round 1,Tue 18th October 2022 | 19:30,Tonga
TuimoalaLolohea,0,0,117,1,0,0,1,0,0,0,1,4,4,32,1.45,16,2,0,0,0,0,0,0,0,18,0,0,3,11,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Tuimoala_Lolohea.jpg,Rugby League World Cup  Round 1,Tue 18th October 2022 | 19:30,Tonga
AddinFonua-Blake,0,0,168,0,0,0,0,0,0,0,0,4,2,6,0.32,65,0,0,0,0,0,1,0,0,28,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Addin_Fonua-Blake.jpg,Rugby League World Cup  Round 1,Tue 18th October 2022 | 19:30,Tonga
KeaonKoloamatangi,0,0,147,3,0,0,0,0,4,1,0,1,1,31,1.72,36,6,1,1,0,0,0,0,0,34,0,0,1,1,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Keaon_Koloamatangi.jpg,Rugby League World Cup  Round 1,Tue 18th October 2022 | 19:30,Tonga
TevitaTatola,0,0,62,0,0,0,0,0,0,0,0,0,0,1,0.14,23,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Tevita_Tatola.jpg,Rugby League World Cup  Round 1,Tue 18th October 2022 | 19:30,Tonga
FeliseKaufusi,0,0,77,0,0,0,0,0,0,0,0,0,0,1,0.1,31,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Felise_Kaufusi.jpg,Rugby League World Cup  Round 1,Tue 18th October 2022 | 19:30,Tonga
