Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
SamTomkins,0,0,40,1,0,0,0,0,0,1,0,0,0,20,2.22,9,1,0,0,0,0,1,0,0,3,0,0,1,2,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Sam_Tomkins.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 17:00,England
DominicYoung,0,0,292,0,0,0,0,0,8,0,0,0,0,5,0.28,68,3,2,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Dominic_Young.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 17:00,England
KallumWatkins,0,0,85,0,0,0,0,0,0,0,0,1,1,4,0.44,32,1,0,0,0,0,0,0,0,13,0,0,1,1,0,0,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Kallum_Watkins.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 17:00,England
HerbieFarnworth,0,0,176,0,0,0,0,0,0,2,1,1,0,8,0.5,50,3,0,1,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Herbie_Farnworth.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 17:00,England
RyanHall,0,0,236,0,0,0,0,0,8,0,1,0,0,5,0.24,76,7,2,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Ryan_Hall.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 17:00,England
MarcSneyd,7,0,50,0,0,0,4,0,14,0,0,0,0,28,2.8,0,0,0,1,0,0,0,0,0,19,0,0,2,12,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Marc_Sneyd.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 17:00,England
GeorgeWilliams,0,0,142,0,0,0,1,0,0,0,0,0,0,36,1.71,23,0,0,0,1,0,0,0,0,15,0,0,2,5,0,0,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/George_Williams.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 17:00,England
ThomasBurgess,0,0,123,0,0,0,0,0,0,0,0,1,1,1,0.08,61,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,1,1,0,1,0,1,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Thomas_Burgess.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 17:00,England
MichaelMcIlorum,0,0,0,0,0,0,0,0,0,1,0,0,0,40,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,1,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Michael_McIlorum.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 17:00,England
ChrisHill,0,0,106,0,0,0,0,0,0,0,0,0,0,1,0.1,42,1,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Chris_Hill.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 17:00,England
ElliottWhitehead,0,0,92,0,0,0,0,0,4,0,1,0,0,8,0.8,25,1,1,0,0,0,0,0,0,39,0,0,0,0,0,1,0,1,0,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Elliott_Whitehead.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 17:00,England
JohnBateman,0,0,130,0,0,0,0,0,0,2,0,3,1,3,0.23,48,1,0,1,1,0,0,0,0,44,0,0,0,0,0,0,0,1,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/John_Bateman.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 17:00,England
