Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
AlexJohnston,0,0,64,0,0,0,0,0,0,2,0,0,0,6,0.67,18,4,0,2,0,0,3,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Alex_Johnston.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Papua New Guinea
RodrickTai,0,0,182,1,0,0,0,0,8,0,2,0,0,1,0.09,33,6,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Rodrick_Tai.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Papua New Guinea
NeneMacdonald,0,0,125,0,0,0,0,0,0,0,0,2,1,8,0.73,49,3,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Nene_Macdonald.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Papua New Guinea
JustinOlam,0,0,99,0,0,0,0,0,4,2,2,1,1,3,0.27,32,3,1,1,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Justin_Olam.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Papua New Guinea
JimmyNgutlik,0,0,95,1,0,0,0,0,0,0,1,1,0,0,0,47,4,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Jimmy_Ngutlik.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Papua New Guinea
KyleLaybutt,0,0,67,0,0,0,1,0,4,2,1,0,0,19,1.9,18,4,1,1,0,0,0,0,0,14,0,0,1,4,0,0,0,2,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Kyle_Laybutt.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Papua New Guinea
LachlanLam,0,0,87,1,0,0,1,0,4,0,1,0,0,40,3.64,8,3,1,0,1,0,0,0,0,6,0,0,2,9,0,1,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Lachlan_Lam.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Papua New Guinea
WellingtonAlbert,0,0,98,0,0,0,0,0,0,0,0,1,0,0,0,33,2,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Wellington_Albert.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Papua New Guinea
EdwinIpape,0,0,122,6,0,0,0,0,0,1,0,1,1,56,4.67,28,4,0,0,2,0,1,0,0,40,0,0,0,0,0,0,0,1,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Edwin_Ipape.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Papua New Guinea
SylvesterNamo,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Sylvester_Namo.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Papua New Guinea
NixonPutt,0,0,104,1,0,0,0,0,0,0,0,3,3,2,0.15,37,0,0,0,1,0,0,0,0,31,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Nixon_Putt.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Papua New Guinea
RhyseMartin,4,2,107,2,0,0,0,0,12,0,1,2,2,3,0.23,33,2,1,0,1,0,0,0,0,31,0,0,0,0,0,1,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Rhyse_Martin.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Papua New Guinea
JacobAlick,0,0,57,0,0,0,0,0,0,0,0,1,1,5,0.71,16,1,0,0,0,0,0,0,0,24,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Jacob_Alick.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Papua New Guinea
WatsonBoas,0,0,52,3,0,0,0,0,0,0,0,0,0,19,4.75,12,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Watson_Boas.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Papua New Guinea
DanRussell,0,0,102,0,0,0,0,0,0,0,0,0,0,1,0.08,41,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,1,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Dan_Russell.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Papua New Guinea
MacKenzieYei,0,0,108,0,0,0,0,0,0,1,1,1,1,2,0.29,26,3,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,1,0,0,0,1,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/MacKenzie_Yei.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Papua New Guinea
KevenAppo,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Keven_Appo.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Papua New Guinea
JeremiahSimbiken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Jeremiah_Simbiken.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Papua New Guinea
KayalIro,0,0,202,1,0,0,0,0,4,1,1,0,0,5,0.23,74,6,1,1,0,0,1,0,0,10,1,0,0,1,0,1,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Kayal_Iro.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Cook Islands
StevenMarsters,2,1,82,1,0,0,0,0,4,0,0,0,0,3,0.33,28,2,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Steven_Marsters.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Cook Islands
AnthonyGelling,0,0,181,5,0,0,0,0,4,0,1,8,7,3,0.19,73,8,1,0,0,0,2,2,0,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Anthony_Gelling.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Cook Islands
ReubennRennie,0,0,114,3,0,0,0,0,0,0,0,2,2,1,0.08,38,1,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,3,2,0,0,0,1,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Reubenn_Rennie.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Cook Islands
PaulUlberg,0,0,188,6,0,0,0,0,4,0,1,3,2,8,0.4,63,3,1,0,1,0,1,0,0,3,0,0,0,0,0,2,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Paul_Ulberg.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Cook Islands
BradTakairangi,0,1,97,0,0,0,3,0,0,0,0,2,1,26,1.3,27,2,0,0,1,0,1,0,0,7,0,0,0,8,0,0,1,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Brad_Takairangi.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Cook Islands
EsanMarsters,0,0,144,2,0,0,1,0,0,1,0,1,1,20,0.87,26,4,0,1,1,0,0,0,0,11,0,0,2,4,0,1,1,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Esan_Marsters.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Cook Islands
VincentRennie,0,0,68,0,0,0,0,0,0,0,0,0,0,2,0.29,26,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Vincent_Rennie.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Cook Islands
AaronTeroi,0,0,15,2,0,0,0,0,0,0,0,0,0,43,10.75,2,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Aaron_Teroi.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Cook Islands
TepaiMoeroa,0,0,74,0,0,0,0,0,0,0,0,0,0,1,0.1,27,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Tepai_Moeroa.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Cook Islands
DominiquePeyroux,0,0,56,1,0,0,0,0,0,0,0,1,1,1,0.11,13,3,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Dominique_Peyroux.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Cook Islands
BrendanPiakura,0,0,67,0,0,0,0,0,0,1,0,0,0,2,0.25,27,1,0,1,0,0,0,0,0,31,0,0,0,0,0,1,0,0,1,8,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Brendan_Piakura.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Cook Islands
ZaneTetevano,0,0,110,0,0,0,0,0,0,0,0,0,0,9,0.56,35,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Zane_Tetevano.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Cook Islands
MakahesiMakatoa,0,0,120,0,0,0,0,0,0,0,0,1,1,5,0.38,45,1,0,0,0,1,0,0,0,38,1,0,0,0,0,0,0,1,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Makahesi_Makatoa.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Cook Islands
DavvyMoale,0,0,100,0,0,0,0,0,0,0,0,0,0,4,0.29,30,1,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Davvy_Moale.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Cook Islands
RuaNgatikaura,0,0,17,2,0,0,0,0,0,0,0,0,0,31,15.5,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Rua_Ngatikaura.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Cook Islands
MosesNoovao-McGreal,0,0,11,0,0,0,0,0,0,0,0,0,0,13,6.5,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Moses_Noovao-McGreal.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Cook Islands
TevinArona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands/150px/Tevin_Arona.jpg,Rugby League World Cup  Round 2,Tue 25th October 2022 | 19:30,Cook Islands
