Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
JosephSuaali'i,0,0,289,0,0,0,0,0,0,3,1,1,1,15,0.88,98,3,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Joseph_Suaalii.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 17:00,Samoa
BrianTo'o,0,0,371,0,0,0,0,0,4,1,2,1,1,3,0.13,144,16,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Brian_Too.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 17:00,Samoa
StephenCrichton,10,3,161,0,0,0,0,0,24,0,2,1,1,4,0.36,42,3,1,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Stephen_Crichton.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 17:00,Samoa
TimLafai,0,0,254,1,0,0,0,0,8,3,2,0,0,7,0.41,52,10,2,2,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Tim_Lafai.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 17:00,Samoa
MathewFeagai,0,0,182,0,0,0,0,0,4,0,5,0,0,3,0.25,53,7,1,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Mathew_Feagai.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 17:00,Samoa
JaromeLuai,0,0,172,1,0,0,2,0,4,1,1,4,2,42,2.1,9,4,1,5,1,0,0,0,0,6,0,0,3,7,1,1,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Jarome_Luai.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 17:00,Samoa
ChanelHarris-Tavita,0,0,69,1,0,0,2,0,8,0,2,1,1,18,3,17,4,2,1,0,0,0,0,0,12,0,0,0,4,1,0,1,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Chanel_Harris-Tavita.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 17:00,Samoa
JoshPapali'i,0,0,161,0,0,0,0,0,0,1,0,0,0,3,0.23,62,4,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Josh_Papalii.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 17:00,Samoa
DannyLevi,0,0,105,6,0,0,0,0,8,1,1,1,1,70,8.75,14,5,2,0,2,0,0,0,0,30,0,0,0,0,0,1,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Danny_Levi.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 17:00,Samoa
JuniorPaulo,0,0,51,0,0,0,0,0,4,0,0,1,1,6,0.86,19,0,1,0,0,0,1,0,0,15,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Junior_Paulo.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 17:00,Samoa
LigiSao,0,0,93,0,0,0,0,0,0,1,1,2,2,3,0.3,33,2,0,0,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Ligi_Sao.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 17:00,Samoa
