Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
TesiNiu,0,0,174,1,0,0,0,0,4,2,1,1,1,16,0.76,40,7,1,1,1,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Tesi_Niu.jpg,Rugby League World Cup  Round 2,Mon 24th October 2022 | 19:30,Tonga
DanielTupou,0,0,217,0,0,0,0,0,12,0,3,2,2,1,0.05,79,5,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Daniel_Tupou.jpg,Rugby League World Cup  Round 2,Mon 24th October 2022 | 19:30,Tonga
SiosifaTalakai,1,0,185,0,0,0,0,0,2,2,0,0,0,7,0.35,81,3,0,2,0,0,0,0,0,8,0,0,0,0,0,2,0,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Siosifa_Talakai.jpg,Rugby League World Cup  Round 2,Mon 24th October 2022 | 19:30,Tonga
KonradHurrell,0,0,106,0,0,0,0,0,0,0,1,1,1,4,0.4,45,6,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Konrad_Hurrell.jpg,Rugby League World Cup  Round 2,Mon 24th October 2022 | 19:30,Tonga
SioneKatoa,0,0,110,0,0,0,0,0,0,1,0,1,1,5,0.42,32,4,0,0,0,0,2,0,0,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Sione_Katoa.jpg,Rugby League World Cup  Round 2,Mon 24th October 2022 | 19:30,Tonga
TalatauAmone,0,0,110,0,0,0,0,0,0,2,0,0,0,42,1.56,5,1,0,2,2,0,0,0,0,14,1,0,1,1,0,0,0,1,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Talatau_Amone.jpg,Rugby League World Cup  Round 2,Mon 24th October 2022 | 19:30,Tonga
TuimoalaLolohea,3,1,144,0,0,0,2,0,6,1,1,3,3,37,1.42,8,4,0,1,0,0,0,0,0,15,0,0,2,8,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Tuimoala_Lolohea.jpg,Rugby League World Cup  Round 2,Mon 24th October 2022 | 19:30,Tonga
AddinFonua-Blake,0,0,184,0,0,0,0,0,0,0,0,1,1,3,0.18,72,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Addin_Fonua-Blake.jpg,Rugby League World Cup  Round 2,Mon 24th October 2022 | 19:30,Tonga
SoniLuke,0,0,48,6,0,0,1,0,0,0,0,1,1,102,17,8,0,0,0,2,0,0,0,0,41,0,0,1,3,0,0,1,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Soni_Luke.jpg,Rugby League World Cup  Round 2,Mon 24th October 2022 | 19:30,Tonga
MoeakiFotuaika,0,0,120,0,0,0,0,0,0,0,0,0,0,4,0.29,42,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Moeaki_Fotuaika.jpg,Rugby League World Cup  Round 2,Mon 24th October 2022 | 19:30,Tonga
FeliseKaufusi,0,0,103,0,0,0,0,0,0,0,0,0,0,1,0.09,35,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Felise_Kaufusi.jpg,Rugby League World Cup  Round 2,Mon 24th October 2022 | 19:30,Tonga
