Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
TommyMakinson,0,0,118,1,0,0,0,0,4,1,0,0,0,5,0.56,48,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Tommy_Makinson.jpg,Rugby League World Cup  Round 3,Sat 29th October 2022 | 14:30,England
DominicYoung,0,0,169,0,0,0,0,0,16,0,4,1,1,1,0.1,56,6,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Dominic_Young.jpg,Rugby League World Cup  Round 3,Sat 29th October 2022 | 14:30,England
KaiPearce-Paul,0,0,197,0,0,0,0,0,4,1,2,2,2,3,0.2,79,7,1,2,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Kai_Pearce-Paul.jpg,Rugby League World Cup  Round 3,Sat 29th October 2022 | 14:30,England
JackWelsby,0,0,80,1,0,0,0,0,0,3,0,2,2,16,1.45,5,4,0,0,4,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Jack_Welsby.jpg,Rugby League World Cup  Round 3,Sat 29th October 2022 | 14:30,England
RyanHall,0,0,165,0,0,0,0,0,8,1,1,1,0,4,0.33,56,4,2,0,1,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Ryan_Hall.jpg,Rugby League World Cup  Round 3,Sat 29th October 2022 | 14:30,England
MarcSneyd,13,4,91,0,0,0,2,0,30,3,0,0,0,37,2.31,0,1,1,5,0,0,0,0,0,13,0,0,0,5,2,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Marc_Sneyd.jpg,Rugby League World Cup  Round 3,Sat 29th October 2022 | 14:30,England
GeorgeWilliams,0,0,205,0,0,0,1,0,4,5,1,1,1,34,1.55,18,5,1,3,2,0,2,0,0,9,0,0,4,7,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/George_Williams.jpg,Rugby League World Cup  Round 3,Sat 29th October 2022 | 14:30,England
MikeCooper,0,0,160,0,0,0,0,0,0,0,0,1,1,3,0.18,61,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Mike_Cooper.jpg,Rugby League World Cup  Round 3,Sat 29th October 2022 | 14:30,England
AndyAckers,0,0,233,13,0,0,0,1,8,0,1,0,0,79,4.39,60,4,2,0,4,0,0,0,0,26,0,0,0,1,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Andy_Ackers.jpg,Rugby League World Cup  Round 3,Sat 29th October 2022 | 14:30,England
MattyLees,0,0,201,0,0,0,0,0,4,0,1,0,0,1,0.06,78,4,1,0,0,0,0,0,0,26,0,0,0,0,0,1,0,1,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Matty_Lees.jpg,Rugby League World Cup  Round 3,Sat 29th October 2022 | 14:30,England
JoeBatchelor,0,0,108,0,0,0,0,0,4,0,3,0,0,5,0.5,20,0,1,1,0,1,1,0,0,19,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Joe_Batchelor.jpg,Rugby League World Cup  Round 3,Sat 29th October 2022 | 14:30,England
