Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
SuniaTuruva,0,0,214,1,0,0,0,0,0,0,0,0,0,9,0.47,87,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Sunia_Turuva.jpg,Rugby League World Cup  Round 3,Sat 29th October 2022 | 17:00,Fiji
VuateKarawalevu,0,0,129,3,0,0,0,0,0,1,0,1,1,1,0.07,38,5,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Vuate_Karawalevu.jpg,Rugby League World Cup  Round 3,Sat 29th October 2022 | 17:00,Fiji
KevinNaiqama,0,0,116,2,0,0,0,0,0,0,1,2,0,8,1.14,33,3,0,0,0,0,0,0,0,15,0,0,0,1,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Kevin_Naiqama.jpg,Rugby League World Cup  Round 3,Sat 29th October 2022 | 17:00,Fiji
SemiValemei,0,0,135,0,0,0,0,0,0,0,0,1,0,3,0.23,64,0,0,0,0,0,1,0,0,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Semi_Valemei.jpg,Rugby League World Cup  Round 3,Sat 29th October 2022 | 17:00,Fiji
MaikaSivo,0,0,105,0,0,0,0,0,4,0,1,0,0,1,0.09,43,2,1,0,0,0,3,0,0,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Maika_Sivo.jpg,Rugby League World Cup  Round 3,Sat 29th October 2022 | 17:00,Fiji
HenryRaiwalui,0,0,75,0,0,0,0,0,4,0,1,0,0,15,1.15,8,1,1,1,1,0,2,0,0,12,0,0,0,0,0,3,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Henry_Raiwalui.jpg,Rugby League World Cup  Round 3,Sat 29th October 2022 | 17:00,Fiji
BrandonWakeham,5,0,38,0,0,0,5,0,10,1,0,1,1,24,2,0,2,0,1,0,0,1,0,0,16,0,0,1,12,1,1,1,1,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Brandon_Wakeham.jpg,Rugby League World Cup  Round 3,Sat 29th October 2022 | 17:00,Fiji
KingVuniyayawa,0,0,152,0,0,0,0,0,0,0,0,1,1,1,0.06,67,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/King_Vuniyayawa.jpg,Rugby League World Cup  Round 3,Sat 29th October 2022 | 17:00,Fiji
ApisaiKoroisau,0,0,52,4,0,0,0,0,0,2,0,0,0,48,6.86,11,1,0,1,1,0,0,0,0,20,0,0,1,1,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Apisai_Koroisau.jpg,Rugby League World Cup  Round 3,Sat 29th October 2022 | 17:00,Fiji
KorbinSims,0,0,81,0,0,0,0,0,4,0,1,1,0,1,0.09,32,4,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,2,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Korbin_Sims.jpg,Rugby League World Cup  Round 3,Sat 29th October 2022 | 17:00,Fiji
ViliameKikau,0,0,106,0,0,0,0,0,4,1,1,1,1,6,0.43,38,2,1,1,0,1,0,0,1,8,0,0,0,0,0,1,0,0,0,1,0,0,0,1,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Viliame_Kikau.jpg,Rugby League World Cup  Round 3,Sat 29th October 2022 | 17:00,Fiji
