Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
AdamDoueihi,4,2,212,0,0,0,2,0,12,2,3,0,0,21,0.95,43,8,1,5,0,0,1,0,0,3,0,0,0,7,1,2,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Adam_Doueihi.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 12:00,Lebanon
JoshMansour,0,0,147,2,0,0,0,0,12,0,3,1,1,3,0.27,21,5,3,0,0,0,2,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Josh_Mansour.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 12:00,Lebanon
BradMorkos,0,0,88,0,0,0,0,0,0,0,0,1,1,3,0.33,39,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Brad_Morkos.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 12:00,Lebanon
ReeceRobinson,0,0,90,1,0,0,0,0,4,0,1,1,1,5,0.56,21,3,1,1,0,0,0,0,0,12,1,0,0,0,0,2,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Reece_Robinson.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 12:00,Lebanon
AbbasMiski,0,0,164,0,0,0,0,0,8,1,1,3,3,3,0.16,38,6,2,0,1,0,1,0,0,12,0,0,0,0,0,2,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Abbas_Miski.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 12:00,Lebanon
KhaledRajab,0,0,156,0,0,0,0,0,4,4,2,0,0,23,1.21,20,2,1,5,0,1,0,0,0,13,1,0,0,0,0,0,0,1,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Khaled_Rajab.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 12:00,Lebanon
MitchellMoses,7,0,59,0,0,0,2,0,14,2,1,0,0,11,2.2,0,0,0,1,3,0,0,0,0,9,0,0,0,2,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Mitchell_Moses.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 12:00,Lebanon
JamesRoumanos,0,0,33,0,0,0,0,0,0,0,0,0,0,4,0.67,8,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/James_Roumanos.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 12:00,Lebanon
MichaelTannous,0,0,27,0,0,0,0,0,4,1,0,0,0,73,73,0,0,1,0,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Michael_Tannous.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 12:00,Lebanon
KhalilRahme,0,0,134,0,0,0,0,0,0,0,0,2,2,0,0,65,3,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Khalil_Rahme.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 12:00,Lebanon
ElieEl-Zakham,0,0,111,0,0,0,0,0,4,0,0,1,0,1,0.09,45,0,1,0,0,0,0,0,1,18,0,0,0,0,0,1,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Elie_El-Zakham.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 12:00,Lebanon
CharbelTasipale,0,0,69,0,0,0,0,0,8,1,1,1,1,3,0.5,16,6,2,0,1,0,0,0,0,26,0,0,0,0,0,2,0,1,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Charbel_Tasipale.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 12:00,Lebanon
AndrewKazzi,0,0,53,0,0,0,0,0,0,0,0,0,0,4,0.5,21,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Andrew_Kazzi.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 12:00,Lebanon
AnthonyLayoun,0,0,15,0,0,0,0,0,0,0,0,1,1,17,8.5,4,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Anthony_Layoun.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 12:00,Lebanon
