Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
AlexJohnston,0,0,146,2,0,0,0,0,0,0,0,1,0,8,0.57,44,1,0,0,0,0,3,0,0,5,1,0,0,0,0,4,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Alex_Johnston.jpg,Rugby League World Cup  Round 3,Mon 31st October 2022 | 19:30,Papua New Guinea
RodrickTai,0,0,149,2,0,0,0,0,0,0,0,0,0,1,0.08,74,6,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Rodrick_Tai.jpg,Rugby League World Cup  Round 3,Mon 31st October 2022 | 19:30,Papua New Guinea
NeneMacdonald,0,0,135,2,0,0,0,0,0,0,0,2,1,3,0.23,51,2,0,0,0,0,2,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Nene_Macdonald.jpg,Rugby League World Cup  Round 3,Mon 31st October 2022 | 19:30,Papua New Guinea
JustinOlam,0,0,174,1,0,0,0,0,0,1,0,3,2,0,0,77,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Justin_Olam.jpg,Rugby League World Cup  Round 3,Mon 31st October 2022 | 19:30,Papua New Guinea
JimmyNgutlik,0,0,170,0,0,0,0,0,8,0,2,2,1,0,0,43,7,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Jimmy_Ngutlik.jpg,Rugby League World Cup  Round 3,Mon 31st October 2022 | 19:30,Papua New Guinea
KyleLaybutt,0,0,50,0,0,0,1,0,4,0,1,0,0,29,2.64,1,2,1,1,0,0,0,0,0,23,0,0,1,6,1,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Kyle_Laybutt.jpg,Rugby League World Cup  Round 3,Mon 31st October 2022 | 19:30,Papua New Guinea
LachlanLam,0,0,165,2,0,0,2,0,0,0,0,1,1,32,1.28,41,4,0,0,0,0,0,0,0,20,0,0,0,4,0,1,0,1,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Lachlan_Lam.jpg,Rugby League World Cup  Round 3,Mon 31st October 2022 | 19:30,Papua New Guinea
WellingtonAlbert,0,0,78,0,0,0,0,0,0,1,0,2,2,3,0.43,23,3,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Wellington_Albert.jpg,Rugby League World Cup  Round 3,Mon 31st October 2022 | 19:30,Papua New Guinea
EdwinIpape,0,0,38,4,0,0,0,0,0,4,0,0,0,68,9.71,11,1,0,4,0,0,0,0,0,21,0,0,0,1,0,0,0,1,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Edwin_Ipape.jpg,Rugby League World Cup  Round 3,Mon 31st October 2022 | 19:30,Papua New Guinea
EmmanuelWaine,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,1,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Emmanuel_Waine.jpg,Rugby League World Cup  Round 3,Mon 31st October 2022 | 19:30,Papua New Guinea
NixonPutt,0,0,84,0,0,0,0,0,8,0,2,2,1,1,0.1,29,6,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea/150px/Nixon_Putt.jpg,Rugby League World Cup  Round 3,Mon 31st October 2022 | 19:30,Papua New Guinea
