Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
TesiNiu,0,0,119,0,0,0,0,0,12,1,0,1,1,10,0.77,12,2,3,1,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Tesi_Niu.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 14:30,Tonga
DanielTupou,0,0,181,0,0,0,0,0,8,0,2,0,0,1,0.09,42,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Daniel_Tupou.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 14:30,Tonga
MoseseSuli,0,0,166,0,0,0,0,0,0,0,2,0,0,2,0.22,41,5,0,2,0,0,0,0,0,7,0,0,1,1,1,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Mosese_Suli.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 14:30,Tonga
WillPenisini,0,0,153,1,0,0,0,0,16,3,1,1,1,7,0.54,29,3,4,1,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Will_Penisini.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 14:30,Tonga
SioneKatoa,0,0,117,0,0,0,0,0,0,1,1,2,1,4,0.33,32,9,0,1,2,0,1,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Sione_Katoa.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 14:30,Tonga
IsaiyaKatoa,14,2,96,2,0,0,0,0,32,2,2,0,0,42,3.82,0,3,1,2,2,0,0,0,0,11,0,0,1,2,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Isaiya_Katoa.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 14:30,Tonga
TuimoalaLolohea,0,0,104,3,0,0,4,0,8,0,2,0,0,37,3.08,11,1,2,1,1,0,0,0,0,7,0,0,3,10,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Tuimoala_Lolohea.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 14:30,Tonga
AddinFonua-Blake,0,0,144,0,0,0,0,0,0,1,0,0,0,3,0.25,56,3,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Addin_Fonua-Blake.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 14:30,Tonga
SoniLuke,0,0,39,5,0,0,0,0,0,3,0,0,0,54,10.8,2,0,0,2,3,0,0,0,0,12,0,0,1,1,1,0,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Soni_Luke.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 14:30,Tonga
MoeakiFotuaika,0,0,94,0,0,0,0,0,0,0,0,1,1,0,0,36,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Moeaki_Fotuaika.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 14:30,Tonga
FeliseKaufusi,0,0,163,0,0,0,0,0,4,0,3,0,0,3,0.25,30,3,1,2,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/tonga/150px/Felise_Kaufusi.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 14:30,Tonga
