Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
FrancescaGoldthorp,0,0,176,2,0,0,0,0,4,1,2,0,0,5,0.42,37,10,1,1,0,0,1,0,0,3,1,0,0,0,0,2,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Francesca_Goldthorp.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 14:30,England Women
CaitlinBeevers,0,0,78,0,0,0,0,0,4,0,1,0,0,4,0.57,29,2,1,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Caitlin_Beevers.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 14:30,England Women
Tara-JaneStanley,8,6,81,0,0,0,0,0,24,0,2,1,0,0,0,11,6,2,0,0,0,0,0,0,12,0,0,0,0,0,1,0,2,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Tara-Jane_Stanley.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 14:30,England Women
AmyHardcastle,0,0,196,0,0,0,0,0,12,2,4,3,3,1,0.06,19,18,3,1,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Amy_Hardcastle.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 14:30,England Women
LeahBurke,0,0,93,0,0,0,0,0,4,0,2,0,0,0,0,19,10,1,0,0,0,1,0,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Leah_Burke.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 14:30,England Women
GeorgiaRoche,0,0,56,1,0,0,0,0,0,3,0,1,1,20,2.22,6,1,0,3,0,0,0,0,0,5,0,0,2,3,1,0,1,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Georgia_Roche.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 14:30,England Women
CourtneyWinfield-Hill,0,0,160,0,0,0,0,0,12,4,2,0,0,29,1.71,2,5,3,2,2,0,0,0,0,10,0,0,0,2,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Courtney_Winfield-Hill.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 14:30,England Women
ShonaHoyle,0,0,99,0,0,0,0,0,0,1,0,3,2,0,0,23,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Shona_Hoyle.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 14:30,England Women
TaraJones,0,0,43,5,0,0,0,0,4,6,1,0,0,95,13.57,13,1,1,3,5,0,0,0,0,15,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Tara_Jones.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 14:30,England Women
OliviaWood,0,0,141,1,0,0,0,0,4,0,2,0,0,1,0.08,29,6,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Olivia_Wood.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 14:30,England Women
VickyMolyneux,0,0,131,0,0,0,0,0,0,0,2,1,1,2,0.17,29,3,0,1,0,0,0,0,0,9,0,0,0,0,0,1,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Vicky_Molyneux.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 14:30,England Women
