Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
MarthaMolowia,0,0,238,5,0,0,0,0,8,0,3,0,0,3,0.18,67,4,2,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Martha_Molowia.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 17:00,Papua New Guinea Orchids
Lisa MarieAlu,0,0,123,5,0,0,0,0,0,0,0,0,0,1,0.08,43,8,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,1,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Lisa_Marie_Alu.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 17:00,Papua New Guinea Orchids
ShellieLong,0,0,75,0,0,0,0,0,4,0,1,0,0,3,0.27,10,2,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Shellie_Long.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 17:00,Papua New Guinea Orchids
BelindaGwasamun,0,0,182,1,0,0,0,0,4,3,2,1,0,6,0.32,47,8,1,2,0,0,2,0,0,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Belinda_Gwasamun.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 17:00,Papua New Guinea Orchids
AnikaButler,0,0,72,3,0,0,0,0,4,0,1,0,0,3,0.5,15,1,1,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Anika_Butler.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 17:00,Papua New Guinea Orchids
SeraKoroi,0,0,89,0,0,0,0,0,0,2,0,0,0,27,1.8,14,3,0,2,0,0,0,0,0,19,0,0,0,4,0,2,0,1,1,7,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Sera_Koroi.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 17:00,Papua New Guinea Orchids
LilahMalabag,1,1,70,0,0,0,2,0,2,2,0,0,0,20,1.67,2,1,0,2,2,0,0,0,0,9,0,0,1,9,0,0,0,0,0,8,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Lilah_Malabag.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 17:00,Papua New Guinea Orchids
ElsieAlbert,0,0,174,0,0,0,0,0,0,0,0,3,3,2,0.11,77,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Elsie_Albert.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 17:00,Papua New Guinea Orchids
ThereseAiton,0,0,31,2,0,0,0,0,0,1,0,0,0,56,18.67,8,0,0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Therese_Aiton.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 17:00,Papua New Guinea Orchids
GloriaKaupa,0,0,70,0,0,0,0,0,0,0,0,0,0,2,0.2,21,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Gloria_Kaupa.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 17:00,Papua New Guinea Orchids
EmilyVeivers,2,3,54,0,0,0,0,0,4,0,0,0,0,2,0.29,29,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Emily_Veivers.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 17:00,Papua New Guinea Orchids
EssayBanu,0,0,148,0,0,0,0,0,4,0,1,0,0,4,0.25,58,2,1,0,0,0,0,0,0,24,0,0,0,0,0,1,0,0,0,7,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Essay_Banu.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 17:00,Papua New Guinea Orchids
UaRavu,0,0,116,11,0,0,0,0,4,0,1,0,0,54,2.84,32,3,1,0,3,1,0,0,0,33,0,0,0,2,0,0,0,1,0,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Ua_Ravu.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 17:00,Papua New Guinea Orchids
JessikahReeves,0,0,132,0,0,0,0,0,0,0,0,0,0,4,0.29,53,3,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,2,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Jessikah_Reeves.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 17:00,Papua New Guinea Orchids
BertshibaAwoi,0,0,85,0,0,0,0,0,0,0,0,0,0,2,0.2,33,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Bertshiba_Awoi.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 17:00,Papua New Guinea Orchids
MichelleJohn,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Michelle_John.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 17:00,Papua New Guinea Orchids
TalithaKunjil,0,0,32,0,0,0,0,0,0,0,0,0,0,1,0.25,8,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Talitha_Kunjil.jpg,Womens Rugby League World Cup  Round 1,Tue 1st November 2022 | 17:00,Papua New Guinea Orchids
