Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
EmmaTonegato,0,0,105,4,0,0,0,0,4,2,1,0,0,67,4.79,18,4,1,2,1,0,0,0,0,10,0,0,0,1,0,1,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Emma_Tonegato.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 19:30,Australian Jillaroos
JuliaRobinson,0,0,105,0,0,0,0,0,12,0,4,0,0,3,0.33,25,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Julia_Robinson.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 19:30,Australian Jillaroos
JessicaSergis,0,0,134,0,0,0,0,0,16,2,1,1,1,7,0.64,12,3,4,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Jessica_Sergis.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 19:30,Australian Jillaroos
JaimeChapman,0,0,175,0,0,0,0,0,12,3,3,0,0,7,0.44,36,9,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Jaime_Chapman.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 19:30,Australian Jillaroos
ShenaeCiesiolka,0,0,40,0,0,0,0,0,4,0,1,0,0,5,1.25,5,3,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Shenae_Ciesiolka.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 19:30,Australian Jillaroos
TaliahFuimaono,0,0,151,0,0,0,0,0,0,2,1,0,0,34,1.42,10,2,0,3,4,0,0,0,0,4,0,0,1,2,1,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Taliah_Fuimaono.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 19:30,Australian Jillaroos
TarrynAiken,1,1,177,0,0,0,0,0,6,4,1,0,0,37,1.42,15,1,1,4,2,0,0,0,0,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Tarryn_Aiken.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 19:30,Australian Jillaroos
TallishaHarden,0,0,190,0,0,0,0,0,4,0,1,0,0,6,0.24,62,2,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Tallisha_Harden.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 19:30,Australian Jillaroos
LaurenBrown,10,3,81,6,0,0,1,0,20,4,0,0,0,68,4.53,7,2,0,1,6,0,0,0,0,13,0,0,1,2,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Lauren_Brown.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 19:30,Australian Jillaroos
KennedyCherrington,0,0,172,0,0,0,0,0,0,0,0,1,1,4,0.21,55,1,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Kennedy_Cherrington.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 19:30,Australian Jillaroos
YasminClydsdale,0,0,62,0,0,0,0,0,0,0,0,0,0,2,0.25,31,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Yasmin_Clydsdale.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 19:30,Australian Jillaroos
ShayleeBent,0,0,131,0,0,0,0,0,0,0,0,0,0,3,0.21,59,1,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Shaylee_Bent.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 19:30,Australian Jillaroos
KeileeJoseph,0,0,182,0,0,0,0,0,0,0,0,0,0,3,0.12,65,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Keilee_Joseph.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 19:30,Australian Jillaroos
ShannonMato,0,0,156,0,0,0,0,0,0,0,0,1,1,1,0.08,78,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Shannon_Mato.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 19:30,Australian Jillaroos
HolliWheeler,1,1,32,0,0,0,0,0,2,0,0,0,0,4,0.8,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Holli_Wheeler.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 19:30,Australian Jillaroos
OliviaKernick,0,0,93,0,0,0,0,0,4,0,1,0,0,2,0.2,26,2,1,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Olivia_Kernick.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 19:30,Australian Jillaroos
EvaniaPelite,0,0,122,0,0,0,0,0,8,0,3,1,1,1,0.08,48,7,2,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Evania_Pelite.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 19:30,Australian Jillaroos
AliBrigginshaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Ali_Brigginshaw.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 19:30,Australian Jillaroos
ManonSamarra,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,1,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_women/150px/Manon_Samarra.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 19:30,France Women
MargotCanal,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,4,1,0,0,0,0,2,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_women/150px/Margot_Canal.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 19:30,France Women
AnaisFourcroy,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_women/150px/Anais_Fourcroy.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 19:30,France Women
