Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
ShaniceParker,0,0,153,1,0,0,0,0,0,5,1,2,1,11,0.61,37,6,0,1,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Shanice_Parker.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 17:00,Kiwi Ferns
MeleHufanga,0,0,186,0,0,0,0,0,8,0,4,0,0,2,0.14,66,12,2,0,0,0,3,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Mele_Hufanga.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 17:00,Kiwi Ferns
Hailee-JayOrmond-Maunsell,0,0,115,2,0,0,0,0,0,0,1,0,0,0,0,43,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Hailee-Jay_Ormond-Maunsell.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 17:00,Kiwi Ferns
PageMcGregor,0,0,106,0,0,0,0,0,0,0,0,0,0,6,0.46,29,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Page_McGregor.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 17:00,Kiwi Ferns
MadisonBartlett,0,0,168,4,0,0,0,0,0,0,1,0,0,2,0.12,55,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Madison_Bartlett.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 17:00,Kiwi Ferns
LaishonAlbert-Jones,0,4,73,1,0,0,1,0,0,0,0,0,0,27,2.08,0,0,0,0,0,0,0,0,0,15,0,0,0,3,0,2,1,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Laishon_Albert-Jones.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 17:00,Kiwi Ferns
RaeceneMcGregor,0,0,141,1,0,0,3,0,8,2,3,0,0,33,2.75,20,7,2,2,1,0,0,0,0,18,0,0,1,8,0,2,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Raecene_McGregor.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 17:00,Kiwi Ferns
MyaHill-Moana,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Mya_Hill-Moana.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 17:00,Kiwi Ferns
KrystalRota,0,0,76,6,0,0,0,0,4,1,1,0,0,43,4.78,20,2,1,1,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Krystal_Rota.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 17:00,Kiwi Ferns
AnnettaNu'uausala,0,0,161,0,0,0,0,0,4,0,1,1,1,1,0.07,49,8,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,1,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Annetta_Nuuausala.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 17:00,Kiwi Ferns
OtesaPule,0,0,128,0,0,0,0,0,0,0,0,1,1,1,0.08,51,6,0,0,0,0,0,0,0,30,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Otesa_Pule.jpg,Womens Rugby League World Cup  Round 2,Sun 6th November 2022 | 17:00,Kiwi Ferns
