Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
CloeGuillerot,0,0,54,1,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_women/150px/Cloe_Guillerot.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,France Women
CristinaSong-Puche,0,0,58,1,0,0,0,0,4,0,1,0,0,0,0,13,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_women/150px/Cristina_Song-Puche.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,France Women
MelanieBianchini,0,0,63,0,0,0,0,0,4,0,1,1,0,4,0.36,14,1,1,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_women/150px/Melanie_Bianchini.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,France Women
LaureaneBiville,0,0,77,0,0,0,0,0,0,1,0,1,1,5,0.45,22,1,0,1,0,0,0,0,0,21,2,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_women/150px/Laureane_Biville.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,France Women
AnaelleMeunier,0,0,40,0,0,0,0,0,0,0,0,0,0,1,0.33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_women/150px/Anaelle_Meunier.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,France Women
ElisaCiria,1,3,188,0,0,0,1,0,10,0,2,3,3,22,1.1,25,7,2,0,1,0,0,0,0,31,1,0,1,8,0,2,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_women/150px/Elisa_Ciria.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,France Women
AliceVarela,0,0,111,1,0,0,0,0,0,2,0,0,0,19,1,16,0,0,1,0,0,0,0,1,16,0,0,0,3,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_women/150px/Alice_Varela.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,France Women
GaelleAlvernhe,0,0,78,0,0,0,0,0,0,0,0,0,0,1,0.1,25,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_women/150px/Gaelle_Alvernhe.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,France Women
FannyRamos,0,0,42,6,0,0,0,0,0,2,0,0,0,94,15.67,5,1,0,1,1,0,0,0,0,39,1,0,0,0,0,0,0,0,3,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_women/150px/Fanny_Ramos.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,France Women
CyndiaMansard,0,0,72,0,0,0,0,0,0,0,0,1,1,3,0.27,19,3,0,0,0,0,0,0,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_women/150px/Cyndia_Mansard.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,France Women
ElisaAkpa,0,0,99,0,0,0,0,0,0,0,1,0,0,3,0.27,34,7,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_women/150px/Elisa_Akpa.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,France Women
PerrineMonsarrat,0,0,71,0,0,0,0,0,0,0,1,0,0,3,0.38,21,1,0,1,0,0,0,0,0,28,1,0,0,0,0,0,0,0,2,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_women/150px/Perrine_Monsarrat.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,France Women
DorineSamarra,0,0,76,2,0,0,0,0,0,1,0,1,0,13,0.93,15,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,2,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_women/150px/Dorine_Samarra.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,France Women
JeanneBernard,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_women/150px/Jeanne_Bernard.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,France Women
MailysBorak,0,0,67,0,0,0,0,0,0,1,0,2,2,1,0.11,28,2,0,0,1,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_women/150px/Mailys_Borak.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,France Women
ZoePastre-Courtine,0,0,26,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_women/150px/Zoe_Pastre-Courtine.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,France Women
ManonSamarra,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_women/150px/Manon_Samarra.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,France Women
AnaisFourcroy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_women/150px/Anais_Fourcroy.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,France Women
AlekermayTuaana,0,0,107,0,0,0,0,0,4,0,1,0,0,6,0.46,37,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands_women/150px/Alekermay_Tuaana.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,Cook Islands Women
MackenzieWiki,0,0,102,5,0,0,0,0,4,0,1,1,0,0,0,41,2,1,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands_women/150px/Mackenzie_Wiki.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,Cook Islands Women
JazmonTupou-Witchman,0,0,76,1,0,0,0,0,0,2,0,1,1,4,0.31,22,1,0,2,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands_women/150px/Jazmon_Tupou-Witchman.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,Cook Islands Women
CharlizeTumu-Makara,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands_women/150px/Charlize_Tumu-Makara.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,Cook Islands Women
DaimzelRongokea,0,0,59,3,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands_women/150px/Daimzel_Rongokea.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,Cook Islands Women
KerehitinaMatua,3,2,93,0,0,0,0,0,6,3,0,1,1,15,1.07,22,2,0,1,1,0,0,0,0,14,0,0,0,2,0,0,0,1,2,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands_women/150px/Kerehitina_Matua.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,Cook Islands Women
AnnekaStephens,0,0,75,3,0,0,0,0,0,0,0,0,0,16,1.6,28,1,0,0,0,0,0,0,0,27,0,0,0,5,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands_women/150px/Anneka_Stephens.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,Cook Islands Women
KarolTanevesi,0,0,91,0,0,0,0,0,0,0,0,0,0,2,0.18,31,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands_women/150px/Karol_Tanevesi.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 17:00,Cook Islands Women
