Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
EmmaTonegato,0,0,247,0,0,0,0,0,12,1,4,0,0,10,0.67,33,9,3,3,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Emma_Tonegato.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Australian Jillaroos
EvaniaPelite,0,0,162,1,0,0,0,0,4,1,3,2,2,4,0.36,36,11,1,1,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Evania_Pelite.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Australian Jillaroos
IsabelleKelly,0,0,152,0,0,0,0,0,12,1,3,2,1,4,0.33,31,3,3,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Isabelle_Kelly.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Australian Jillaroos
JaimeChapman,0,0,226,3,0,0,0,0,4,1,2,2,2,5,0.45,40,11,1,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Jaime_Chapman.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Australian Jillaroos
ShenaeCiesiolka,0,0,102,0,0,0,0,0,8,0,2,0,0,0,0,16,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Shenae_Ciesiolka.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Australian Jillaroos
TaliahFuimaono,0,0,114,4,0,0,0,0,0,3,1,1,1,60,3.53,23,3,0,1,4,0,0,0,0,13,0,0,1,2,0,2,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Taliah_Fuimaono.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Australian Jillaroos
LaurenBrown,9,4,53,0,0,0,0,0,18,5,0,0,0,18,1.8,2,2,0,2,2,0,0,0,0,10,0,0,0,2,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Lauren_Brown.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Australian Jillaroos
HolliWheeler,0,0,161,0,0,0,0,0,0,0,0,0,0,4,0.22,57,1,0,0,0,0,0,0,0,27,0,0,0,0,0,2,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Holli_Wheeler.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Australian Jillaroos
KeeleyDavis,0,0,19,2,0,0,0,0,4,1,1,0,0,56,14,0,3,1,0,2,0,0,0,0,15,0,0,1,2,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Keeley_Davis.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Australian Jillaroos
TallishaHarden,0,0,118,0,0,0,0,0,4,0,1,0,0,1,0.07,33,7,1,0,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Tallisha_Harden.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Australian Jillaroos
ShayleeBent,0,0,75,0,0,0,0,0,4,0,1,0,0,2,0.29,27,2,1,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Shaylee_Bent.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Australian Jillaroos
OliviaKernick,0,0,99,0,0,0,0,0,4,2,1,0,0,4,0.33,34,8,1,1,0,0,0,0,0,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Olivia_Kernick.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Australian Jillaroos
AliBrigginshaw,2,0,114,0,0,0,0,0,4,1,0,0,0,12,0.8,15,6,0,1,2,0,0,0,0,20,0,0,0,2,0,1,0,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Ali_Brigginshaw.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Australian Jillaroos
JessicaSergis,0,0,69,0,0,0,0,0,4,0,1,1,0,4,0.57,12,7,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Jessica_Sergis.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Australian Jillaroos
YasminClydsdale,0,0,61,0,0,0,0,0,0,1,0,0,0,1,0.14,27,1,0,1,0,0,0,0,0,12,0,0,0,0,0,2,0,1,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Yasmin_Clydsdale.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Australian Jillaroos
SamanthaBremner,0,0,34,0,0,0,0,0,0,1,0,0,0,11,1.38,2,1,0,1,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Samantha_Bremner.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Australian Jillaroos
KeileeJoseph,0,0,190,1,0,0,0,0,0,0,1,1,0,2,0.09,66,11,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Keilee_Joseph.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Australian Jillaroos
TarrynAiken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Tarryn_Aiken.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Australian Jillaroos
Shae YvonneDe La Cruz,0,0,21,0,0,0,0,0,0,0,0,0,0,1,0.2,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Shae_Yvonne_De_La_Cruz.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Papua New Guinea Orchids
AnikaButler,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0.5,6,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Anika_Butler.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Papua New Guinea Orchids
ShellieLong,0,0,49,1,0,0,0,0,0,0,0,0,0,2,0.18,8,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Shellie_Long.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Papua New Guinea Orchids
BelindaGwasamun,0,0,67,1,0,0,0,0,0,0,0,0,0,1,0.11,15,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Belinda_Gwasamun.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Papua New Guinea Orchids
MarthaMolowia,0,0,49,3,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Martha_Molowia.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Papua New Guinea Orchids
SeraKoroi,0,0,36,0,0,0,2,0,0,0,0,0,0,6,0.67,5,0,0,0,0,0,0,0,0,11,0,0,0,2,0,2,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Sera_Koroi.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Papua New Guinea Orchids
LilahMalabag,0,0,45,0,0,0,0,0,0,0,0,0,0,10,1.11,9,0,0,0,0,0,0,0,0,13,0,0,2,6,0,0,1,0,0,13,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Lilah_Malabag.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Papua New Guinea Orchids
ElsieAlbert,0,0,154,0,0,0,0,0,0,0,0,2,1,0,0,79,6,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,8,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Elsie_Albert.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Papua New Guinea Orchids
ThereseAiton,0,0,10,2,0,0,0,0,0,0,0,0,0,83,41.5,1,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,11,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Therese_Aiton.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Papua New Guinea Orchids
GloriaKaupa,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Gloria_Kaupa.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Papua New Guinea Orchids
BertshibaAwoi,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,1,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Bertshiba_Awoi.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Papua New Guinea Orchids
EssayBanu,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,9,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Essay_Banu.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Papua New Guinea Orchids
JessikahReeves,0,0,60,0,0,0,0,0,0,0,0,0,0,1,0.17,21,2,0,0,0,0,0,0,0,22,0,0,0,0,0,2,0,0,0,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Jessikah_Reeves.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Papua New Guinea Orchids
TalithaKunjil,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Talitha_Kunjil.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 17:00,Papua New Guinea Orchids
