Player,All Goals,All Goals Missed,All Run Metres,Field Goals,Field Goals Attempts,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Tackles,Grubber Kick,Kicks,Errors,Penalties,Missed Tackles,On Report,Sent Off,Sin Bins,player_img,game,date,team
MostefaAbassi,0,0,28,0,0,4,0,1,0,0,10,1,0,3,1,0,31,0,0,0,1,5,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Mostefa_Abassi.jpg,Rugby League Wheelchair World Cup  Final,Fri 18th November 2022 | 19:30,France Wheelchair
LionelAlazard,1,0,31,0,0,6,0,1,0,0,13,1.08,0,1,1,0,8,0,0,2,0,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Lionel_Alazard.jpg,Rugby League Wheelchair World Cup  Final,Fri 18th November 2022 | 19:30,France Wheelchair
JeremyBourson,0,0,99,0,0,0,1,0,4,4,21,0.81,6,0,0,0,43,0,0,2,6,8,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Jeremy_Bourson.jpg,Rugby League Wheelchair World Cup  Final,Fri 18th November 2022 | 19:30,France Wheelchair
JulienPenella,0,0,67,0,0,0,0,0,1,0,14,0.93,7,1,0,0,13,0,0,2,1,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Julien_Penella.jpg,Rugby League Wheelchair World Cup  Final,Fri 18th November 2022 | 19:30,France Wheelchair
NicolasClausells,5,1,113,0,0,10,2,1,4,4,42,1.45,13,13,0,2,70,7,15,3,4,15,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Nicolas_Clausells.jpg,Rugby League Wheelchair World Cup  Final,Fri 18th November 2022 | 19:30,France Wheelchair
FlorianGuttadoro,0,0,43,0,0,0,1,0,1,1,15,1.25,6,4,0,1,12,0,0,1,0,4,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Florian_Guttadoro.jpg,Rugby League Wheelchair World Cup  Final,Fri 18th November 2022 | 19:30,France Wheelchair
JonathanHivernat,0,0,8,0,0,0,0,0,0,0,4,1,0,0,0,0,5,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Jonathan_Hivernat.jpg,Rugby League Wheelchair World Cup  Final,Fri 18th November 2022 | 19:30,France Wheelchair
GuillaumeMautz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Guillaume_Mautz.jpg,Rugby League Wheelchair World Cup  Final,Fri 18th November 2022 | 19:30,France Wheelchair
GillesClausells,0,0,34,0,0,4,0,1,1,1,15,1.15,1,3,1,0,38,0,1,2,0,5,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Gilles_Clausells.jpg,Rugby League Wheelchair World Cup  Final,Fri 18th November 2022 | 19:30,France Wheelchair
ArnoVargas,0,0,20,0,0,0,0,0,0,0,5,0.63,1,4,0,0,10,0,1,0,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Arno_Vargas.jpg,Rugby League Wheelchair World Cup  Final,Fri 18th November 2022 | 19:30,France Wheelchair
TomHalliwell,0,0,82,0,0,8,0,2,4,3,28,1.12,2,11,2,0,20,0,2,1,0,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Tom_Halliwell.jpg,Rugby League Wheelchair World Cup  Final,Fri 18th November 2022 | 19:30,England Wheelchair
