Player,All Goals,All Goals Missed,All Run Metres,Field Goals,Field Goals Attempts,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Tackles,Grubber Kick,Kicks,Errors,Penalties,Missed Tackles,On Report,Sent Off,Sin Bins,player_img,game,date,team
LionelAlazard,13,1,154,0,0,50,3,5,1,1,19,0.68,15,10,6,3,6,0,1,3,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Lionel_Alazard.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 11:00,France Wheelchair
GillesClausells,0,0,98,0,0,8,5,3,2,2,20,1.25,12,9,2,3,15,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Gilles_Clausells.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 11:00,France Wheelchair
FlorianGuttadoro,4,2,152,0,0,16,3,3,5,5,14,0.82,37,15,2,7,10,0,4,2,2,4,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Florian_Guttadoro.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 11:00,France Wheelchair
JeremyBourson,0,0,178,0,0,20,3,6,3,3,15,0.88,33,9,5,3,9,0,1,1,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Jeremy_Bourson.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 11:00,France Wheelchair
JulienPenella,6,1,151,0,0,24,5,4,0,0,19,0.86,27,15,3,5,4,0,1,0,0,5,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Julien_Penella.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 11:00,France Wheelchair
MostefaAbassi,0,0,63,0,0,20,1,4,1,1,12,1,4,10,5,0,10,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Mostefa_Abassi.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 11:00,France Wheelchair
GuillaumeMautz,0,0,37,0,0,0,2,0,0,0,8,1.14,10,3,0,1,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Guillaume_Mautz.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 11:00,France Wheelchair
ArnoVargas,0,0,154,0,0,8,6,1,1,1,35,0.97,60,21,2,3,9,0,2,1,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Arno_Vargas.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 11:00,France Wheelchair
JonathanHivernat,0,0,124,0,0,8,2,3,1,1,18,0.95,18,10,2,2,1,0,0,3,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Jonathan_Hivernat.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 11:00,France Wheelchair
StephenHalsey,1,0,20,0,0,2,0,0,1,1,10,1.25,4,1,0,0,20,0,0,2,0,6,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Stephen_Halsey.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 11:00,Wales Wheelchair
ScottTrigg-Turner,0,0,49,0,0,0,0,0,0,0,10,0.91,9,0,0,0,25,0,1,2,0,11,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Scott_Trigg-Turner.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 11:00,Wales Wheelchair
GaryPreece,0,0,16,0,0,0,2,0,2,2,12,2,4,1,0,1,11,0,0,0,0,9,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Gary_Preece.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 11:00,Wales Wheelchair
JodieBoyd-Ward,0,0,18,0,0,0,0,0,2,2,5,1,5,1,0,0,30,0,2,0,0,15,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Jodie_Boyd-Ward.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 11:00,Wales Wheelchair
StuartWilliams,0,0,102,0,0,0,0,1,4,4,20,0.95,54,1,0,0,21,0,2,2,0,13,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Stuart_Williams.jpg,Rugby League Wheelchair World Cup  Round 1,Fri 4th November 2022 | 11:00,Wales Wheelchair
