Player,All Goals,All Goals Missed,All Run Metres,Field Goals,Field Goals Attempts,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Tackles,Grubber Kick,Kicks,Errors,Penalties,Missed Tackles,On Report,Sent Off,Sin Bins,player_img,game,date,team
JoelLacombe,0,0,132,0,0,4,3,1,1,1,21,0.91,19,3,1,3,28,0,0,4,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/spain_wheelchair/150px/Joel_Lacombe.jpg,Rugby League Wheelchair World Cup  Round 1,Thu 3rd November 2022 | 17:00,Spain Wheelchair
RaphaelMonedero,0,0,59,0,0,4,2,2,3,3,18,1.13,11,5,1,2,13,0,0,2,1,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/spain_wheelchair/150px/Raphael_Monedero.jpg,Rugby League Wheelchair World Cup  Round 1,Thu 3rd November 2022 | 17:00,Spain Wheelchair
YannickMartin,0,0,121,0,0,8,2,2,2,2,26,0.84,34,18,2,0,55,0,0,2,5,7,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/spain_wheelchair/150px/Yannick_Martin.jpg,Rugby League Wheelchair World Cup  Round 1,Thu 3rd November 2022 | 17:00,Spain Wheelchair
TheoGonzalez,8,0,112,1,1,25,4,3,7,6,17,1,26,16,2,3,37,0,3,5,4,4,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/spain_wheelchair/150px/Theo_Gonzalez.jpg,Rugby League Wheelchair World Cup  Round 1,Thu 3rd November 2022 | 17:00,Spain Wheelchair
DavidBerty,0,0,100,0,0,12,0,5,0,0,18,1.13,17,9,3,0,16,0,0,3,1,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/spain_wheelchair/150px/David_Berty.jpg,Rugby League Wheelchair World Cup  Round 1,Thu 3rd November 2022 | 17:00,Spain Wheelchair
EricPerez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/spain_wheelchair/150px/Eric_Perez.jpg,Rugby League Wheelchair World Cup  Round 1,Thu 3rd November 2022 | 17:00,Spain Wheelchair
DavidRaymond,0,0,35,0,0,0,2,0,0,0,11,1.1,7,1,0,1,13,0,0,4,0,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/spain_wheelchair/150px/David_Raymond.jpg,Rugby League Wheelchair World Cup  Round 1,Thu 3rd November 2022 | 17:00,Spain Wheelchair
JonathanPalomo,0,0,20,0,0,0,0,0,0,0,4,0.67,3,0,0,0,1,0,0,0,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/spain_wheelchair/150px/Jonathan_Palomo.jpg,Rugby League Wheelchair World Cup  Round 1,Thu 3rd November 2022 | 17:00,Spain Wheelchair
WilfridSeron,1,0,15,0,0,2,0,0,0,0,9,1.5,2,1,0,0,18,0,0,0,1,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/spain_wheelchair/150px/Wilfrid_Seron.jpg,Rugby League Wheelchair World Cup  Round 1,Thu 3rd November 2022 | 17:00,Spain Wheelchair
PascalAmbrosino,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/spain_wheelchair/150px/Pascal_Ambrosino.jpg,Rugby League Wheelchair World Cup  Round 1,Thu 3rd November 2022 | 17:00,Spain Wheelchair
TobyBurton-Carter,0,0,48,0,0,0,0,0,3,3,14,0.93,10,1,0,0,16,0,0,1,3,4,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland_wheelchair/150px/Toby_Burton-Carter.jpg,Rugby League Wheelchair World Cup  Round 1,Thu 3rd November 2022 | 17:00,Ireland Wheelchair
