Player,All Goals,All Goals Missed,All Run Metres,Field Goals,Field Goals Attempts,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Tackles,Grubber Kick,Kicks,Errors,Penalties,Missed Tackles,On Report,Sent Off,Sin Bins,player_img,game,date,team
TomHalliwell,0,0,74,0,0,4,1,2,4,4,17,1.13,30,5,1,0,15,0,1,0,0,5,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Tom_Halliwell.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 12:00,England Wheelchair
LewisKing,0,0,98,0,0,4,3,1,3,2,22,0.96,18,2,1,1,17,0,0,0,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Lewis_King.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 12:00,England Wheelchair
WayneBoardman,3,2,40,0,0,14,2,1,2,2,13,1,9,1,2,2,7,0,0,3,1,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Wayne_Boardman.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 12:00,England Wheelchair
JackBrown,0,0,147,0,0,8,3,4,5,4,26,1.04,28,8,2,5,14,0,0,2,0,5,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Jack_Brown.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 12:00,England Wheelchair
JamesSimpson,0,0,48,0,0,4,1,1,0,0,16,1.14,15,3,1,0,12,0,0,1,0,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/James_Simpson.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 12:00,England Wheelchair
NathanCollins,7,0,62,0,0,14,2,2,0,0,13,1.63,20,6,0,2,3,0,3,0,1,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Nathan_Collins.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 12:00,England Wheelchair
JoeCoyd,0,0,52,0,0,8,2,3,2,2,15,1.07,17,5,2,2,4,2,2,0,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Joe_Coyd.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 12:00,England Wheelchair
RobertHawkins,0,0,144,0,0,20,1,4,1,1,29,1.07,29,10,5,1,9,0,0,3,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Robert_Hawkins.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 12:00,England Wheelchair
AdamRigby,0,0,81,0,0,4,4,1,3,2,29,1.07,21,6,1,3,15,0,0,2,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Adam_Rigby.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 12:00,England Wheelchair
DeclanRoberts,6,0,127,0,0,24,1,2,3,3,37,1.23,28,4,3,1,9,0,2,1,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_wheelchair/150px/Declan_Roberts.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 12:00,England Wheelchair
JoelLacombe,0,0,65,0,0,0,1,0,3,2,19,0.86,11,3,0,1,43,0,2,3,0,13,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/spain_wheelchair/150px/Joel_Lacombe.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 12:00,Spain Wheelchair
RaphaelMonedero,0,0,46,0,0,4,0,1,0,0,16,0.89,8,0,1,0,16,0,0,2,1,5,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/spain_wheelchair/150px/Raphael_Monedero.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 12:00,Spain Wheelchair
YannickMartin,0,0,89,0,0,0,0,0,6,5,21,0.91,24,7,0,0,56,0,0,1,2,8,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/spain_wheelchair/150px/Yannick_Martin.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 12:00,Spain Wheelchair
TheoGonzalez,2,1,70,0,1,8,1,1,2,2,23,1,12,4,1,1,52,1,3,2,2,15,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/spain_wheelchair/150px/Theo_Gonzalez.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 12:00,Spain Wheelchair
DavidBerty,0,0,30,0,0,0,0,0,0,0,9,0.9,2,4,0,0,6,0,0,1,0,5,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/spain_wheelchair/150px/David_Berty.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 12:00,Spain Wheelchair
PascalAmbrosino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/spain_wheelchair/150px/Pascal_Ambrosino.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 12:00,Spain Wheelchair
JonathanPalomo,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/spain_wheelchair/150px/Jonathan_Palomo.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 12:00,Spain Wheelchair
EricPerez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/spain_wheelchair/150px/Eric_Perez.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 12:00,Spain Wheelchair
DavidRaymond,0,0,22,0,0,0,0,0,0,0,7,1,3,1,0,0,13,0,1,3,0,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/spain_wheelchair/150px/David_Raymond.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 12:00,Spain Wheelchair
WilfridSeron,0,0,6,0,0,0,0,0,1,1,2,1,0,0,0,0,11,0,1,0,0,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/spain_wheelchair/150px/Wilfrid_Seron.jpg,Rugby League Wheelchair World Cup  Round 2,Sun 6th November 2022 | 12:00,Spain Wheelchair
