Player,All Goals,All Goals Missed,All Run Metres,Field Goals,Field Goals Attempts,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Tackles,Grubber Kick,Kicks,Errors,Penalties,Missed Tackles,On Report,Sent Off,Sin Bins,player_img,game,date,team
NicolasClausells,7,2,108,0,0,30,1,4,1,1,17,1.21,13,9,4,0,20,0,1,0,1,9,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Nicolas_Clausells.jpg,Rugby League Wheelchair World Cup  Round 2,Mon 7th November 2022 | 17:00,France Wheelchair
FlorianGuttadoro,0,0,30,0,0,4,8,2,3,3,12,1.5,2,8,1,6,18,0,1,2,1,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Florian_Guttadoro.jpg,Rugby League Wheelchair World Cup  Round 2,Mon 7th November 2022 | 17:00,France Wheelchair
GuillaumeMautz,0,0,104,0,0,8,2,2,0,0,21,1,14,3,2,2,26,0,2,2,2,6,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Guillaume_Mautz.jpg,Rugby League Wheelchair World Cup  Round 2,Mon 7th November 2022 | 17:00,France Wheelchair
ArnoVargas,0,0,126,0,0,8,3,5,2,2,14,0.82,43,7,2,2,10,0,0,1,3,5,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Arno_Vargas.jpg,Rugby League Wheelchair World Cup  Round 2,Mon 7th November 2022 | 17:00,France Wheelchair
YannVerdi,0,0,50,0,0,8,0,2,1,1,13,1.08,7,1,2,0,15,0,0,2,1,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Yann_Verdi.jpg,Rugby League Wheelchair World Cup  Round 2,Mon 7th November 2022 | 17:00,France Wheelchair
MostefaAbassi,0,0,54,0,0,8,1,2,0,0,6,0.75,12,4,2,1,10,0,0,2,0,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Mostefa_Abassi.jpg,Rugby League Wheelchair World Cup  Round 2,Mon 7th November 2022 | 17:00,France Wheelchair
JeremyBourson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Jeremy_Bourson.jpg,Rugby League Wheelchair World Cup  Round 2,Mon 7th November 2022 | 17:00,France Wheelchair
GillesClausells,0,0,18,0,0,0,1,0,0,0,4,2,3,1,0,1,12,0,1,1,2,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Gilles_Clausells.jpg,Rugby League Wheelchair World Cup  Round 2,Mon 7th November 2022 | 17:00,France Wheelchair
ThomasDuhalde,5,0,40,0,0,10,3,0,2,0,13,1.3,3,2,0,1,10,0,0,2,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Thomas_Duhalde.jpg,Rugby League Wheelchair World Cup  Round 2,Mon 7th November 2022 | 17:00,France Wheelchair
JulienPenella,0,0,91,0,0,4,1,4,1,1,11,1,35,5,1,1,27,0,0,0,3,6,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Julien_Penella.jpg,Rugby League Wheelchair World Cup  Round 2,Mon 7th November 2022 | 17:00,France Wheelchair
CallumYoung,0,0,44,0,0,4,0,1,0,0,11,1,11,4,1,0,18,0,0,1,0,4,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland_wheelchair/150px/Callum_Young.jpg,Rugby League Wheelchair World Cup  Round 2,Mon 7th November 2022 | 17:00,Scotland Wheelchair
