Player,All Goals,All Goals Missed,All Run Metres,Field Goals,Field Goals Attempts,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Tackles,Grubber Kick,Kicks,Errors,Penalties,Missed Tackles,On Report,Sent Off,Sin Bins,player_img,game,date,team
BayleyMcKenna,3,1,18,0,0,6,1,0,2,2,10,1.43,4,1,0,2,17,1,2,2,0,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia_wheelchair/150px/Bayley_McKenna.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 11:00,Australia Wheelchair
DiabKarim,3,3,106,0,1,14,4,2,3,3,37,1.32,21,12,2,4,22,0,2,3,1,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia_wheelchair/150px/Diab_Karim.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 11:00,Australia Wheelchair
BradGrove,0,0,51,0,0,4,1,2,0,0,17,1.13,9,0,1,1,20,0,0,2,2,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia_wheelchair/150px/Brad_Grove.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 11:00,Australia Wheelchair
AdamTannock,0,0,93,0,0,0,2,1,3,3,24,1,25,8,0,1,26,0,0,1,1,7,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia_wheelchair/150px/Adam_Tannock.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 11:00,Australia Wheelchair
PeterArbuckle,0,0,60,0,0,4,1,1,2,1,18,0.95,16,5,1,1,23,0,1,6,0,4,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia_wheelchair/150px/Peter_Arbuckle.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 11:00,Australia Wheelchair
CraigCannane,2,0,11,0,0,4,0,0,1,1,4,1,2,1,0,0,2,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia_wheelchair/150px/Craig_Cannane.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 11:00,Australia Wheelchair
CoryCannane,0,0,75,0,0,4,1,2,3,3,9,0.6,20,5,1,0,21,0,0,1,1,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia_wheelchair/150px/Cory_Cannane.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 11:00,Australia Wheelchair
JamesHill,0,0,144,0,0,16,2,3,5,5,20,0.83,35,12,4,0,23,0,0,2,1,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia_wheelchair/150px/James_Hill.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 11:00,Australia Wheelchair
ZacSchumacher,0,0,93,0,0,0,0,0,4,2,15,0.65,29,3,0,0,11,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia_wheelchair/150px/Zac_Schumacher.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 11:00,Australia Wheelchair
LiamLuff,0,0,14,0,0,0,0,1,0,0,4,1,1,0,0,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia_wheelchair/150px/Liam_Luff.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 11:00,Australia Wheelchair
DavidBerty,0,0,33,0,0,0,1,0,1,1,18,1.29,3,0,0,1,10,0,0,1,0,4,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/spain_wheelchair/150px/David_Berty.jpg,Rugby League Wheelchair World Cup  Round 3,Wed 9th November 2022 | 11:00,Spain Wheelchair
