Player,All Goals,All Goals Missed,All Run Metres,Field Goals,Field Goals Attempts,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Tackles,Grubber Kick,Kicks,Errors,Penalties,Missed Tackles,On Report,Sent Off,Sin Bins,player_img,game,date,team
LionelAlazard,9,2,136,0,0,22,5,0,2,2,40,1.14,26,4,1,4,2,0,3,4,1,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Lionel_Alazard.jpg,Rugby League Wheelchair World Cup  Round 3,Thu 10th November 2022 | 11:00,France Wheelchair
JonathanHivernat,0,0,67,0,0,12,0,3,0,0,23,1.21,13,8,3,0,3,0,0,2,1,4,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Jonathan_Hivernat.jpg,Rugby League Wheelchair World Cup  Round 3,Thu 10th November 2022 | 11:00,France Wheelchair
MostefaAbassi,0,0,63,0,0,20,1,2,0,0,17,1.06,11,4,5,1,10,0,0,5,1,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Mostefa_Abassi.jpg,Rugby League Wheelchair World Cup  Round 3,Thu 10th November 2022 | 11:00,France Wheelchair
JeremyBourson,0,0,124,0,0,20,0,5,5,4,14,0.67,19,5,5,2,12,0,0,1,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Jeremy_Bourson.jpg,Rugby League Wheelchair World Cup  Round 3,Thu 10th November 2022 | 11:00,France Wheelchair
NicolasClausells,0,0,127,0,0,4,6,1,4,4,28,1.33,30,7,1,7,19,0,3,3,0,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Nicolas_Clausells.jpg,Rugby League Wheelchair World Cup  Round 3,Thu 10th November 2022 | 11:00,France Wheelchair
JulienPenella,0,0,15,0,0,0,2,0,1,0,4,1.33,7,3,0,2,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Julien_Penella.jpg,Rugby League Wheelchair World Cup  Round 3,Thu 10th November 2022 | 11:00,France Wheelchair
ArnoVargas,0,0,20,0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Arno_Vargas.jpg,Rugby League Wheelchair World Cup  Round 3,Thu 10th November 2022 | 11:00,France Wheelchair
ThomasDuhalde,4,2,106,0,0,16,0,1,0,0,24,1.14,22,9,2,2,7,1,4,1,0,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Thomas_Duhalde.jpg,Rugby League Wheelchair World Cup  Round 3,Thu 10th November 2022 | 11:00,France Wheelchair
GillesClausells,3,1,93,0,0,18,2,3,3,3,22,1.05,23,10,3,2,13,0,2,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Gilles_Clausells.jpg,Rugby League Wheelchair World Cup  Round 3,Thu 10th November 2022 | 11:00,France Wheelchair
GuillaumeMautz,0,0,71,0,0,4,0,1,0,0,25,1.14,23,5,1,0,8,0,0,4,0,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Guillaume_Mautz.jpg,Rugby League Wheelchair World Cup  Round 3,Thu 10th November 2022 | 11:00,France Wheelchair
JeffreyTownsend,0,0,32,0,0,0,0,1,1,1,9,1.8,17,4,0,0,34,0,2,1,0,10,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/usa_wheelchair/150px/Jeffrey_Townsend.jpg,Rugby League Wheelchair World Cup  Round 3,Thu 10th November 2022 | 11:00,USA Wheelchair
