Player,All Goals,All Goals Missed,All Run Metres,Field Goals,Field Goals Attempts,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Tackles,Grubber Kick,Kicks,Errors,Penalties,Missed Tackles,On Report,Sent Off,Sin Bins,player_img,game,date,team
ScottTrigg-Turner,0,0,35,0,0,12,1,2,2,1,6,0.55,8,3,3,1,5,0,1,3,2,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Scott_Trigg-Turner.jpg,Rugby League Wheelchair World Cup  Round 3,Thu 10th November 2022 | 13:30,Wales Wheelchair
GaryPreece,0,0,96,0,0,4,3,1,8,7,29,1.12,23,14,1,2,30,0,1,2,1,12,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Gary_Preece.jpg,Rugby League Wheelchair World Cup  Round 3,Thu 10th November 2022 | 13:30,Wales Wheelchair
JodieBoyd-Ward,0,0,24,0,0,0,0,0,0,0,7,0.88,3,3,0,0,8,0,0,2,0,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Jodie_Boyd-Ward.jpg,Rugby League Wheelchair World Cup  Round 3,Thu 10th November 2022 | 13:30,Wales Wheelchair
AndrewHiggins,9,2,160,0,0,34,4,4,8,7,45,1.32,25,19,4,4,28,0,3,4,2,10,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Andrew_Higgins.jpg,Rugby League Wheelchair World Cup  Round 3,Thu 10th November 2022 | 13:30,Wales Wheelchair
StuartWilliams,0,0,114,0,0,0,2,1,4,4,23,0.92,29,8,0,3,26,1,1,2,0,8,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Stuart_Williams.jpg,Rugby League Wheelchair World Cup  Round 3,Thu 10th November 2022 | 13:30,Wales Wheelchair
MartinLane,0,0,45,0,0,8,1,2,3,3,14,0.78,9,5,2,1,12,0,0,3,1,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Martin_Lane.jpg,Rugby League Wheelchair World Cup  Round 3,Thu 10th November 2022 | 13:30,Wales Wheelchair
HarryJones,0,0,36,0,0,8,1,2,1,1,5,0.83,5,2,2,1,7,1,1,0,0,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Harry_Jones.jpg,Rugby League Wheelchair World Cup  Round 3,Thu 10th November 2022 | 13:30,Wales Wheelchair
LucieRoberts,0,0,17,0,0,0,0,0,0,0,6,0.75,4,5,0,0,4,0,0,2,2,4,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Lucie_Roberts.jpg,Rugby League Wheelchair World Cup  Round 3,Thu 10th November 2022 | 13:30,Wales Wheelchair
MarkWilliams,2,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,2,0,0,1,0,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Mark_Williams.jpg,Rugby League Wheelchair World Cup  Round 3,Thu 10th November 2022 | 13:30,Wales Wheelchair
AlanCaron,0,0,5,0,0,0,0,0,0,0,3,1.5,2,2,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales_wheelchair/150px/Alan_Caron.jpg,Rugby League Wheelchair World Cup  Round 3,Thu 10th November 2022 | 13:30,Wales Wheelchair
ConnorBlackmore,0,0,67,0,0,0,5,0,1,1,24,1.09,17,5,0,5,24,0,0,3,1,18,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland_wheelchair/150px/Connor_Blackmore.jpg,Rugby League Wheelchair World Cup  Round 3,Thu 10th November 2022 | 13:30,Scotland Wheelchair
