Player,All Goals,All Goals Missed,All Run Metres,Field Goals,Field Goals Attempts,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Tackles,Grubber Kick,Kicks,Errors,Penalties,Missed Tackles,On Report,Sent Off,Sin Bins,player_img,game,date,team
NicolasClausells,0,1,111,0,0,8,2,3,4,4,23,0.92,8,13,2,3,16,1,3,2,1,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Nicolas_Clausells.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 12:00,France Wheelchair
LionelAlazard,7,1,73,0,0,14,1,0,0,0,16,1,3,0,0,1,4,0,2,1,0,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Lionel_Alazard.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 12:00,France Wheelchair
FlorianGuttadoro,0,0,95,0,0,12,0,3,3,3,11,0.92,4,6,3,1,22,0,2,1,0,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Florian_Guttadoro.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 12:00,France Wheelchair
MostefaAbassi,0,0,61,0,0,16,0,4,0,0,8,0.62,6,7,4,0,15,0,1,2,2,6,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Mostefa_Abassi.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 12:00,France Wheelchair
JeremyBourson,0,0,101,0,0,20,2,3,6,6,14,0.61,16,5,5,2,25,0,1,4,1,8,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Jeremy_Bourson.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 12:00,France Wheelchair
GillesClausells,5,2,45,0,0,10,1,0,4,3,13,1.44,14,0,0,1,19,0,1,2,2,3,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Gilles_Clausells.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 12:00,France Wheelchair
ThomasDuhalde,0,0,26,0,0,4,1,1,1,1,6,1,12,4,1,1,5,0,1,2,0,2,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Thomas_Duhalde.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 12:00,France Wheelchair
JulienPenella,0,0,96,0,0,0,4,0,5,5,19,1,13,6,0,4,27,0,0,2,2,4,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Julien_Penella.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 12:00,France Wheelchair
ArnoVargas,0,0,32,0,0,0,1,0,1,1,11,1,4,3,0,1,4,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Arno_Vargas.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 12:00,France Wheelchair
GuillaumeMautz,0,0,23,0,0,0,2,0,0,0,7,1.17,9,2,0,1,8,0,0,0,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/france_wheelchair/150px/Guillaume_Mautz.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 12:00,France Wheelchair
BayleyMcKenna,4,1,43,0,0,8,1,0,1,1,14,1.08,8,1,0,2,7,0,1,0,0,6,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia_wheelchair/150px/Bayley_McKenna.jpg,Rugby League Wheelchair World Cup  Semi Finals,Sun 13th November 2022 | 12:00,Australia Wheelchair
