Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
JamesTedesco,0,0,234,1,0,0,0,0,8,0,1,2,2,9,0.41,54,7,2,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/James_Tedesco.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Australia
ValentineHolmes,0,0,153,1,0,0,0,0,0,0,1,0,0,1,0.1,37,5,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Valentine_Holmes.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Australia
JackWighton,0,0,133,1,0,0,0,0,0,1,0,0,0,2,0.14,50,1,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Jack_Wighton.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Australia
LatrellMitchell,0,0,134,1,0,0,0,0,8,2,2,1,0,3,0.25,46,3,2,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Latrell_Mitchell.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Australia
JoshAddo-Carr,0,1,181,3,0,0,0,0,0,0,3,0,0,2,0.15,33,9,0,1,0,0,0,0,0,5,0,0,1,1,0,1,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Josh_Addo-Carr.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Australia
CameronMunster,0,0,136,0,0,0,0,0,0,1,0,0,0,17,0.85,30,1,0,1,0,0,0,0,1,26,1,0,2,3,0,0,1,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Cameron_Munster.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Australia
NathanCleary,3,2,126,1,0,0,4,1,6,4,0,2,2,42,1.83,25,4,0,3,2,0,0,0,0,18,0,0,0,11,0,1,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Nathan_Cleary.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Australia
JakeTrbojevic,0,0,73,0,0,0,0,0,0,0,0,0,0,2,0.22,21,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Jake_Trbojevic.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Australia
BenHunt,0,0,34,3,0,0,0,0,0,0,0,0,0,63,10.5,8,2,0,0,1,0,0,0,0,21,0,0,1,2,0,3,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Ben_Hunt.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Australia
ReaganCampbell-Gillard,0,0,147,0,0,0,0,0,0,0,0,0,0,1,0.08,51,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Reagan_Campbell-Gillard.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Australia
LiamMartin,0,0,86,0,0,0,0,0,4,0,1,2,2,1,0.09,29,4,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,1,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Liam_Martin.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Australia
AngusCrichton,0,0,78,0,0,0,0,0,0,0,0,1,1,3,0.33,30,4,0,0,0,0,0,0,0,27,1,0,0,0,0,2,0,1,1,4,0,1,0,1,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Angus_Crichton.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Australia
IsaahYeo,0,0,138,0,0,0,0,0,0,0,0,0,0,13,0.72,43,0,0,0,1,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Isaah_Yeo.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Australia
HarryGrant,0,0,55,10,0,0,0,0,0,1,0,0,0,48,4.8,14,0,0,1,1,0,0,0,0,19,0,0,0,0,0,2,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Harry_Grant.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Australia
PatrickCarrigan,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Patrick_Carrigan.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Australia
CameronMurray,0,0,92,0,0,0,0,0,4,0,1,0,0,2,0.18,28,2,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Cameron_Murray.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Australia
TinoFa'asuamaleaui,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,29,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Tino_Faasuamaleaui.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Australia
DalyCherry-Evans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Daly_Cherry-Evans.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Australia
JosephSuaali'i,0,0,135,1,0,0,0,0,0,0,0,0,0,11,0.61,48,5,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Joseph_Suaalii.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Samoa
BrianTo'o,0,0,144,0,0,0,0,0,4,0,1,0,0,1,0.06,67,3,1,0,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Brian_Too.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Samoa
StephenCrichton,1,1,113,0,0,0,0,0,6,0,0,2,2,6,0.6,33,0,1,0,0,0,1,1,0,9,0,0,0,1,0,0,1,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Stephen_Crichton.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Samoa
TimLafai,0,0,89,0,0,0,0,0,0,2,0,0,0,9,0.69,26,6,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Tim_Lafai.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Samoa
TaylanMay,0,0,140,0,0,0,0,0,0,0,2,1,1,3,0.2,22,4,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Taylan_May.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Samoa
JaromeLuai,0,0,122,0,0,0,1,0,0,0,0,4,4,42,1.56,11,1,0,0,1,0,0,1,0,21,0,0,1,7,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Jarome_Luai.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Samoa
AnthonyMilford,0,0,29,1,0,0,1,0,0,0,0,1,1,57,7.13,5,0,0,0,0,0,0,0,0,14,0,0,0,5,0,2,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Anthony_Milford.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Samoa
RoyceHunt,0,0,49,0,0,0,0,0,0,0,0,2,1,1,0.14,22,2,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Royce_Hunt.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Samoa
ChanelHarris-Tavita,0,0,9,0,0,0,0,0,0,0,0,0,0,52,26,4,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Chanel_Harris-Tavita.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Samoa
JuniorPaulo,0,0,156,0,0,0,0,0,0,0,0,5,4,10,0.45,51,3,0,0,0,0,0,0,0,38,0,0,0,1,0,0,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Junior_Paulo.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Samoa
LigiSao,0,0,45,1,0,0,0,0,0,0,0,3,1,7,0.78,17,5,0,0,0,0,0,0,0,29,0,0,0,0,0,1,0,2,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Ligi_Sao.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Samoa
JaydnSu'a,0,0,112,0,0,0,0,0,0,0,0,1,0,0,0,44,0,0,0,0,0,1,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Jaydn_Sua.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Samoa
OregonKaufusi,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Oregon_Kaufusi.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Samoa
KelmaTuilagi,0,0,30,0,0,0,0,0,0,1,0,0,0,1,0.33,16,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Kelma_Tuilagi.jpg,Rugby League World Cup  Final,Sat 19th November 2022 | 16:00,Samoa
