Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
JamesTedesco,0,0,116,1,0,0,0,0,0,0,1,0,0,1,0.1,36,4,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/James_Tedesco.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Australia
ValentineHolmes,0,0,244,7,0,0,0,0,0,2,0,2,1,8,0.5,85,2,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Valentine_Holmes.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Australia
JackWighton,0,0,129,1,0,0,0,0,0,0,0,0,0,4,0.29,55,0,0,0,0,0,0,1,0,15,0,0,0,0,0,2,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Jack_Wighton.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Australia
LatrellMitchell,0,0,102,0,0,0,0,0,4,1,1,1,1,5,0.56,34,5,1,2,0,0,0,0,0,9,0,0,0,0,0,3,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Latrell_Mitchell.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Australia
JoshAddo-Carr,0,0,160,1,0,0,0,0,20,0,1,1,0,1,0.08,43,5,5,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Josh_Addo-Carr.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Australia
CameronMunster,0,0,138,1,0,0,0,0,0,1,0,2,1,14,0.93,57,0,0,3,1,0,0,0,1,8,0,0,0,3,1,2,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Cameron_Munster.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Australia
NathanCleary,6,3,105,0,0,0,4,0,12,1,0,1,0,26,1.18,29,7,0,0,2,0,0,1,0,14,0,0,0,7,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Nathan_Cleary.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Australia
JakeTrbojevic,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Jake_Trbojevic.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Australia
HarryGrant,0,0,87,9,0,0,0,0,0,2,1,1,1,86,7.17,19,5,0,2,1,0,0,0,0,41,0,0,0,4,0,3,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Harry_Grant.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Australia
TinoFa'asuamaleaui,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,32,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Tino_Faasuamaleaui.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Australia
AngusCrichton,0,0,109,0,0,0,0,0,0,0,1,2,1,0,0,47,6,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Angus_Crichton.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Australia
LiamMartin,0,0,116,0,0,0,0,0,4,0,1,2,0,1,0.08,55,4,1,0,0,0,1,0,1,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Liam_Martin.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Australia
IsaahYeo,0,0,189,0,0,0,0,0,0,0,1,0,0,19,1.06,78,1,0,0,0,0,2,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Isaah_Yeo.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Australia
DalyCherry-Evans,0,0,55,1,0,0,0,0,0,0,0,0,0,9,1.8,23,5,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Daly_Cherry-Evans.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Australia
PatrickCarrigan,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Patrick_Carrigan.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Australia
CameronMurray,0,0,80,0,0,0,0,0,8,0,1,0,0,1,0.13,19,3,2,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Cameron_Murray.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Australia
LindsayCollins,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Lindsay_Collins.jpg,Rugby League World Cup  Quarter Finals,Fri 4th November 2022 | 19:30,Australia
