Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
JosephManu,0,0,348,5,0,0,0,0,4,0,0,1,1,4,0.13,120,13,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Joseph_Manu.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 19:30,New Zealand
JordanRapana,4,1,104,3,0,0,0,0,12,0,1,0,0,5,0.42,39,6,1,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Jordan_Rapana.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 19:30,New Zealand
PetaHiku,0,0,63,0,0,0,0,0,0,0,0,0,0,6,0.67,19,2,0,0,0,0,0,0,0,18,0,0,0,0,0,2,0,1,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Peta_Hiku.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 19:30,New Zealand
CharnzeNicoll-Klokstad,0,0,147,3,0,0,0,0,0,0,0,0,0,5,0.36,47,2,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Charnze_Nicoll-Klokstad.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 19:30,New Zealand
RonaldoMulitalo,0,0,252,0,0,0,0,0,4,0,4,1,1,7,0.44,46,5,1,1,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Ronaldo_Mulitalo.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 19:30,New Zealand
DylanBrown,0,0,96,0,0,0,3,0,0,3,0,0,0,44,2.59,13,1,0,2,1,0,0,0,0,24,0,0,1,5,0,2,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Dylan_Brown.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 19:30,New Zealand
JahromeHughes,0,0,136,1,0,0,7,0,0,2,0,0,0,24,1.33,19,5,0,1,1,0,1,0,0,16,0,0,2,12,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Jahrome_Hughes.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 19:30,New Zealand
JesseBromwich,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Jesse_Bromwich.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 19:30,New Zealand
BrandonSmith,0,0,109,9,0,0,0,0,0,0,0,1,1,73,5.62,25,3,0,0,2,0,0,0,0,33,0,0,0,1,0,0,0,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Brandon_Smith.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 19:30,New Zealand
JamesFisher-Harris,0,0,113,0,0,0,0,0,0,0,0,2,2,3,0.21,41,1,0,0,0,0,0,0,0,41,0,0,0,0,0,1,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/James_Fisher-Harris.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 19:30,New Zealand
KenneathBromwich,0,0,88,0,0,0,0,0,0,0,0,0,0,2,0.22,31,2,0,0,0,0,0,0,0,30,0,0,1,1,0,1,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Kenneath_Bromwich.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 19:30,New Zealand
NelsonAsofa-Solomona,0,0,114,0,0,0,0,0,0,0,0,1,0,2,0.15,50,5,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Nelson_Asofa-Solomona.jpg,Rugby League World Cup  Quarter Finals,Sat 5th November 2022 | 19:30,New Zealand
