Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
JosephManu,0,0,216,4,0,0,0,0,4,1,1,3,2,6,0.24,58,15,1,2,1,0,2,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Joseph_Manu.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 19:30,New Zealand
JordanRapana,5,1,142,1,0,0,0,0,14,0,1,0,0,5,0.38,53,3,1,0,0,0,0,0,0,7,0,0,0,0,0,2,0,1,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Jordan_Rapana.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 19:30,New Zealand
PetaHiku,0,0,119,1,0,0,0,0,4,0,1,0,0,9,0.82,44,1,1,0,0,0,0,0,0,12,0,0,1,1,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Peta_Hiku.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 19:30,New Zealand
CharnzeNicoll-Klokstad,0,0,97,1,0,0,0,0,0,0,1,0,0,7,0.58,38,5,0,0,0,0,0,0,0,13,0,0,0,0,0,2,0,0,3,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Charnze_Nicoll-Klokstad.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 19:30,New Zealand
RonaldoMulitalo,0,0,151,1,0,0,0,0,0,0,1,2,1,6,0.55,43,6,0,0,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,1,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Ronaldo_Mulitalo.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 19:30,New Zealand
DylanBrown,0,0,135,0,0,0,1,0,4,1,0,1,1,32,1.68,27,2,1,0,0,0,1,0,0,12,0,0,0,3,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Dylan_Brown.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 19:30,New Zealand
KieranForan,0,0,58,0,0,0,2,0,0,0,0,0,0,30,2.14,7,2,0,0,1,0,0,0,0,28,0,0,0,6,0,0,0,1,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Kieran_Foran.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 19:30,New Zealand
JesseBromwich,0,0,76,0,0,0,0,0,0,0,0,1,1,1,0.13,28,0,0,0,0,0,0,0,1,26,0,0,0,0,0,3,0,1,0,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Jesse_Bromwich.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 19:30,New Zealand
BrandonSmith,0,0,121,15,0,0,0,0,0,3,0,3,3,69,4.06,38,6,0,2,1,0,0,0,0,25,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Brandon_Smith.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 19:30,New Zealand
JamesFisher-Harris,0,0,90,0,0,0,0,0,0,0,0,0,0,3,0.25,30,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/James_Fisher-Harris.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 19:30,New Zealand
IsaiahPapali'i,0,0,49,0,0,0,0,0,0,0,0,1,1,1,0.14,20,3,0,0,0,0,0,0,0,23,0,0,0,0,0,1,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Isaiah_Papalii.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 19:30,New Zealand
