Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
RyanBrierley,0,1,121,0,0,0,1,0,0,0,0,1,1,17,0.85,18,1,0,0,0,0,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland/150px/Ryan_Brierley.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Scotland
LachlanWalmsley,0,0,166,0,0,0,0,0,4,0,1,1,1,3,0.12,58,5,1,0,0,0,4,0,0,3,0,0,1,1,0,1,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland/150px/Lachlan_Walmsley.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Scotland
BayleyLiu,0,0,73,0,0,0,0,0,0,0,0,2,1,0,0,20,2,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland/150px/Bayley_Liu.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Scotland
KieranBuchanan,0,0,132,0,0,0,0,0,0,0,0,0,0,2,0.18,53,1,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland/150px/Kieran_Buchanan.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Scotland
MattyRussell,0,0,176,0,0,0,0,0,0,0,0,0,0,1,0.05,64,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland/150px/Matty_Russell.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Scotland
BaileyHayward,0,0,73,0,0,0,2,0,0,0,0,0,0,40,2.11,10,1,0,0,0,0,1,0,0,22,0,0,2,10,0,2,0,0,3,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland/150px/Bailey_Hayward.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Scotland
CalumGahan,0,0,81,2,0,0,0,0,0,0,1,0,0,14,1.17,22,4,0,0,0,0,2,0,0,20,0,0,0,0,0,2,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland/150px/Calum_Gahan.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Scotland
SamLuckley,0,0,102,0,0,0,0,0,0,0,0,2,2,1,0.11,55,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland/150px/Sam_Luckley.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Scotland
LiamHood,0,0,44,8,0,0,0,0,0,0,0,1,1,59,4.54,9,0,0,0,0,0,0,0,0,23,0,0,1,1,0,1,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland/150px/Liam_Hood.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Scotland
LoganBayliss-Brow,0,0,115,0,0,0,0,0,0,0,0,0,0,1,0.1,43,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland/150px/Logan_Bayliss-Brow.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Scotland
EuanAitken,0,0,145,0,0,0,0,0,0,1,0,5,4,3,0.19,65,6,0,1,0,0,0,0,0,38,0,0,1,1,0,2,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland/150px/Euan_Aitken.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Scotland
KaneLinnett,0,0,100,0,0,0,0,0,0,1,0,1,1,1,0.09,40,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland/150px/Kane_Linnett.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Scotland
JamesBell,0,0,190,0,0,0,0,0,0,0,0,0,0,26,0.9,45,7,0,0,1,0,0,0,0,41,0,0,0,0,0,0,0,0,0,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland/150px/James_Bell.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Scotland
BenHellewell,0,0,33,1,0,0,0,0,0,0,0,0,0,1,0.17,12,0,0,0,0,0,0,0,0,11,0,0,1,2,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland/150px/Ben_Hellewell.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Scotland
LukeBain,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland/150px/Luke_Bain.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Scotland
KyleSchneider,0,0,16,2,0,0,0,0,0,0,0,0,0,45,11.25,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland/150px/Kyle_Schneider.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Scotland
DaleFerguson,0,0,84,0,0,0,0,0,0,0,0,3,2,0,0,37,1,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,1,0,0,0,0,1,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland/150px/Dale_Ferguson.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Scotland
JackTeanby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/scotland/150px/Jack_Teanby.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Scotland
LukePolselli,0,0,17,0,0,0,0,0,4,1,0,0,0,12,1.5,2,1,1,1,0,0,2,0,0,11,2,0,0,0,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/italy/150px/Luke_Polselli.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Italy
RichardLepori,0,0,99,2,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/italy/150px/Richard_Lepori.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Italy
EthanNatoli,0,0,115,2,0,0,0,0,0,0,1,0,0,7,0.47,48,5,0,0,0,0,1,0,0,9,0,0,0,0,0,2,0,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/italy/150px/Ethan_Natoli.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Italy
DanielAtkinson,0,0,256,0,0,0,0,0,0,1,2,1,1,4,0.21,86,7,0,1,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/italy/150px/Daniel_Atkinson.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Italy
JakeMaizen,0,0,241,0,0,0,0,0,12,0,3,0,0,1,0.07,43,5,3,0,0,0,0,1,0,7,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/italy/150px/Jake_Maizen.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Italy
JackCampagnolo,4,1,72,0,0,0,4,0,8,3,0,0,0,32,2.46,9,0,0,1,1,0,0,0,0,18,0,0,3,13,0,0,1,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/italy/150px/Jack_Campagnolo.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Italy
RadeanRobinson,0,0,80,0,0,0,1,0,0,1,0,1,1,26,2.36,23,1,0,1,0,1,1,0,0,14,0,0,4,7,1,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/italy/150px/Radean_Robinson.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Italy
LucaMoretti,0,0,85,0,0,0,0,0,0,0,0,1,1,0,0,40,2,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/italy/150px/Luca_Moretti.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Italy
DeanParata,0,0,41,4,0,0,0,0,4,0,1,0,0,101,20.2,10,3,1,0,0,0,0,0,0,35,0,0,0,0,0,2,0,0,2,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/italy/150px/Dean_Parata.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Italy
AntonIaria,0,0,98,0,0,0,0,0,0,0,0,1,1,1,0.1,39,1,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/italy/150px/Anton_Iaria.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Italy
BrendenSanti,0,0,139,0,0,0,0,0,0,0,0,1,1,4,0.22,58,3,0,0,0,0,1,0,0,27,0,0,0,0,0,1,0,0,2,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/italy/150px/Brenden_Santi.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Italy
RyanKing,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2,6,0,1,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/italy/150px/Ryan_King.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Italy
NathanBrown,0,0,200,0,0,0,0,0,0,1,0,1,1,20,0.87,73,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,1,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/italy/150px/Nathan_Brown.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Italy
JoeTramontana,0,0,4,1,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/italy/150px/Joe_Tramontana.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Italy
LukeHodge,0,0,121,0,0,0,0,0,0,0,1,0,0,0,0,56,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,1,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/italy/150px/Luke_Hodge.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Italy
GioeleCelerino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/italy/150px/Gioele_Celerino.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Italy
JackColovatti,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/italy/150px/Jack_Colovatti.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Italy
KylePickering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/italy/150px/Kyle_Pickering.jpg,Rugby League World Cup  Round 1,Sun 16th October 2022 | 14:30,Italy
