Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
CalebAekins,0,0,200,2,0,0,0,0,0,0,0,1,0,23,0.92,40,7,0,0,0,0,0,0,0,17,2,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales/150px/Caleb_Aekins.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Wales
MikeButt,0,0,150,1,0,0,0,0,0,0,1,0,0,3,0.18,47,4,0,0,0,0,2,0,0,9,0,0,0,0,0,1,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales/150px/Mike_Butt.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Wales
WillEvans,0,0,130,1,0,0,0,0,0,0,1,0,0,6,0.38,53,1,0,0,0,0,0,0,0,17,0,0,1,1,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales/150px/Will_Evans.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Wales
ElliotKear,0,0,187,10,0,0,0,0,0,0,0,1,1,7,0.39,75,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales/150px/Elliot_Kear.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Wales
RhysWilliams,0,0,139,4,0,0,0,0,0,0,0,0,0,3,0.21,55,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales/150px/Rhys_Williams.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Wales
OllieOlds,0,0,101,1,0,0,1,0,4,0,1,0,0,34,1.79,7,2,1,0,0,0,1,0,0,15,1,0,1,6,0,0,0,0,1,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales/150px/Ollie_Olds.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Wales
JoshRalph,0,0,168,1,0,0,2,0,0,2,0,2,1,44,1.57,22,3,0,2,0,0,0,0,0,27,0,0,3,8,1,2,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales/150px/Josh_Ralph.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Wales
AnthonyWalker,0,0,84,0,0,0,0,0,0,0,0,0,0,2,0.25,21,0,0,0,0,0,0,0,0,27,0,0,1,1,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales/150px/Anthony_Walker.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Wales
MattyFozard,2,0,85,6,0,0,0,0,4,0,0,0,0,55,4.23,13,1,0,0,1,0,1,0,0,41,1,0,0,5,0,1,0,1,1,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales/150px/Matty_Fozard.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Wales
DanFleming,0,0,93,0,0,0,0,0,0,0,0,0,0,4,0.36,37,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales/150px/Dan_Fleming.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Wales
RhodriLloyd,0,0,102,0,0,0,0,0,4,0,0,0,0,1,0.08,36,3,1,0,0,2,0,1,0,34,1,0,1,2,0,0,0,2,1,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/wales/150px/Rhodri_Lloyd.jpg,Rugby League World Cup  Round 1,Wed 19th October 2022 | 19:30,Wales
