Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
JamesTedesco,0,0,145,0,0,0,0,0,4,1,2,0,0,10,0.83,33,10,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/James_Tedesco.jpg,Rugby League World Cup  Round 2,Fri 21st October 2022 | 19:30,Australia
JoshAddo-Carr,0,0,195,1,0,0,0,0,16,0,4,0,0,1,0.11,12,7,4,0,0,0,1,0,0,7,0,0,2,2,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Josh_Addo-Carr.jpg,Rugby League World Cup  Round 2,Fri 21st October 2022 | 19:30,Australia
MattBurton,0,0,126,1,0,0,0,0,4,1,1,0,0,5,0.5,52,1,1,2,0,0,1,0,1,6,0,0,0,0,0,3,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Matt_Burton.jpg,Rugby League World Cup  Round 2,Fri 21st October 2022 | 19:30,Australia
JackWighton,0,0,118,0,0,0,0,0,8,2,1,1,1,3,0.23,29,2,2,2,0,0,0,0,0,9,0,0,0,1,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Jack_Wighton.jpg,Rugby League World Cup  Round 2,Fri 21st October 2022 | 19:30,Australia
CampbellGraham,0,0,151,0,0,0,0,0,12,0,2,0,0,0,0,48,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Campbell_Graham.jpg,Rugby League World Cup  Round 2,Fri 21st October 2022 | 19:30,Australia
CameronMunster,0,0,170,1,0,0,0,0,0,2,1,4,3,22,0.96,41,2,0,3,2,0,0,0,1,15,0,0,2,5,1,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Cameron_Munster.jpg,Rugby League World Cup  Round 2,Fri 21st October 2022 | 19:30,Australia
NathanCleary,12,3,184,1,0,0,2,0,28,3,1,1,1,32,1.03,17,4,1,2,3,0,0,0,0,9,0,0,1,7,0,0,1,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Nathan_Cleary.jpg,Rugby League World Cup  Round 2,Fri 21st October 2022 | 19:30,Australia
ReaganCampbell-Gillard,0,0,156,0,0,0,0,0,0,0,0,0,0,1,0.06,67,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Reagan_Campbell-Gillard.jpg,Rugby League World Cup  Round 2,Fri 21st October 2022 | 19:30,Australia
HarryGrant,0,0,93,11,0,0,0,0,0,0,0,0,0,73,5.62,11,1,0,1,1,0,0,0,0,24,0,0,2,3,1,0,0,1,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Harry_Grant.jpg,Rugby League World Cup  Round 2,Fri 21st October 2022 | 19:30,Australia
PatrickCarrigan,0,0,183,0,0,0,0,0,0,0,0,0,0,3,0.18,79,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Patrick_Carrigan.jpg,Rugby League World Cup  Round 2,Fri 21st October 2022 | 19:30,Australia
AngusCrichton,0,0,70,0,0,0,0,0,4,0,0,0,0,4,0.4,29,0,1,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Angus_Crichton.jpg,Rugby League World Cup  Round 2,Fri 21st October 2022 | 19:30,Australia
