Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
SuniaTuruva,0,0,230,0,0,0,0,0,0,0,0,1,0,10,0.48,96,11,0,1,0,0,4,0,0,2,0,0,2,2,0,1,1,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Sunia_Turuva.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 14:30,Fiji
VuateKarawalevu,0,0,173,0,0,0,0,0,0,0,2,1,1,3,0.2,86,5,0,1,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Vuate_Karawalevu.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 14:30,Fiji
KevinNaiqama,0,0,234,0,0,0,0,0,4,0,1,3,3,10,0.83,59,4,1,0,1,0,0,0,0,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Kevin_Naiqama.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 14:30,Fiji
SemiValemei,0,0,134,1,0,0,0,0,0,1,0,2,2,2,0.14,63,3,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Semi_Valemei.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 14:30,Fiji
MaikaSivo,0,0,150,0,0,0,0,0,8,1,1,2,0,3,0.21,36,5,2,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Maika_Sivo.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 14:30,Fiji
ApisaiKoroisau,2,0,154,1,0,0,2,0,8,0,2,1,0,31,1.82,20,6,1,0,1,0,0,0,0,14,0,0,1,5,0,0,0,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Apisai_Koroisau.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 14:30,Fiji
BrandonWakeham,7,0,81,0,0,0,3,0,14,3,0,1,1,33,1.74,9,1,0,3,0,0,0,0,0,8,0,0,0,9,1,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Brandon_Wakeham.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 14:30,Fiji
KingVuniyayawa,0,0,139,0,0,0,0,0,0,0,0,0,0,3,0.27,66,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/King_Vuniyayawa.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 14:30,Fiji
PenioniTagituimua,0,0,168,7,0,0,0,0,8,0,1,0,0,103,6.87,35,6,2,0,3,0,0,0,0,27,0,0,0,0,0,1,0,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Penioni_Tagituimua.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 14:30,Fiji
TuiKamikamica,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,65,4,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Tui_Kamikamica.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 14:30,Fiji
SiuaWong,0,0,180,0,0,0,0,0,0,1,0,2,2,4,0.25,92,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Siua_Wong.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 14:30,Fiji
ViliameKikau,0,0,67,0,0,0,0,0,8,1,2,3,3,4,0.29,14,6,2,1,1,0,0,0,0,7,0,0,1,1,0,2,1,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Viliame_Kikau.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 14:30,Fiji
KorbinSims,0,0,79,0,0,0,0,0,0,0,0,1,1,1,0.11,25,1,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Korbin_Sims.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 14:30,Fiji
LamarManuel-Liolevave,0,0,107,0,0,0,0,0,0,0,0,0,0,4,0.4,37,3,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Lamar_Manuel-Liolevave.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 14:30,Fiji
BenNakubuwai,0,0,88,0,0,0,0,0,4,0,0,1,1,2,0.2,44,3,1,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Ben_Nakubuwai.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 14:30,Fiji
TanielaSadrugu,0,0,167,0,0,0,0,0,4,1,1,4,3,2,0.13,56,4,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Taniela_Sadrugu.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 14:30,Fiji
HenryRaiwalui,1,0,22,0,0,0,0,0,2,0,0,0,0,8,2,6,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Henry_Raiwalui.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 14:30,Fiji
NetaneMasima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/fiji/150px/Netane_Masima.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 14:30,Fiji
