Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
JacobKiraz,0,0,168,2,0,0,0,0,4,1,1,2,2,7,0.39,82,5,1,1,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Jacob_Kiraz.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 14:30,Lebanon
JoshMansour,0,0,103,1,0,0,0,0,0,2,0,2,2,10,0.77,34,4,0,2,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Josh_Mansour.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 14:30,Lebanon
BradMorkos,0,0,71,0,0,0,0,0,4,0,1,0,0,7,0.88,29,2,1,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Brad_Morkos.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 14:30,Lebanon
ReeceRobinson,0,0,63,2,0,0,0,0,4,0,1,0,0,4,0.57,26,0,1,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Reece_Robinson.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 14:30,Lebanon
AbbasMiski,0,0,159,0,0,0,0,0,4,0,1,0,0,3,0.19,69,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Abbas_Miski.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 14:30,Lebanon
KhaledRajab,0,0,63,0,0,0,1,0,0,0,0,1,1,26,1.86,10,0,0,0,2,0,0,0,0,14,0,0,1,4,0,1,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Khaled_Rajab.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 14:30,Lebanon
MitchellMoses,6,1,143,0,0,0,4,0,12,2,0,0,0,46,2,20,1,0,2,1,0,0,0,0,10,0,0,5,13,0,0,0,1,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Mitchell_Moses.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 14:30,Lebanon
KayneKalache,0,0,57,0,0,0,0,0,0,0,0,2,1,4,0.5,17,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Kayne_Kalache.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 14:30,Lebanon
AndrewKazzi,0,0,50,3,0,0,0,0,0,0,0,0,0,72,10.29,17,1,0,0,1,0,0,0,2,19,0,0,0,1,0,0,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Andrew_Kazzi.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 14:30,Lebanon
KhalilRahme,0,0,113,0,0,0,0,0,0,0,0,2,1,1,0.06,39,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1,2,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Khalil_Rahme.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 14:30,Lebanon
ElieEl-Zakham,0,0,192,0,0,0,0,0,4,0,1,3,2,4,0.18,95,1,1,0,0,0,0,0,0,23,0,0,0,0,0,2,0,0,0,1,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Elie_El-Zakham.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 14:30,Lebanon
CharbelTasipale,0,0,108,0,0,0,0,0,0,0,0,0,0,1,0.08,55,4,0,0,0,0,0,0,1,28,0,0,0,0,0,1,0,1,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Charbel_Tasipale.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 14:30,Lebanon
JamesRoumanos,0,0,139,0,0,0,0,0,0,0,0,0,0,3,0.17,60,0,0,0,0,0,0,0,2,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/James_Roumanos.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 14:30,Lebanon
JalalBazzaz,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,2,0,0,0,1,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Jalal_Bazzaz.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 14:30,Lebanon
AnthonyLayoun,0,0,46,3,0,0,0,0,0,0,0,0,0,41,6.83,29,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Anthony_Layoun.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 14:30,Lebanon
BilalMaarbani,0,0,31,0,0,0,0,0,0,0,0,0,0,1,0.2,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Bilal_Maarbani.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 14:30,Lebanon
JaxsonRahme,0,0,48,1,0,0,0,0,0,0,0,0,0,2,0.5,19,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Jaxson_Rahme.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 14:30,Lebanon
MichaelTannous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/lebanon/150px/Michael_Tannous.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 14:30,Lebanon
RichieMyler,0,0,77,1,0,0,0,0,0,0,0,0,0,25,2.5,21,0,0,0,0,0,5,0,0,7,2,0,1,1,0,0,0,0,2,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland/150px/Richie_Myler.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 14:30,Ireland
LouisSenior,0,0,97,0,0,0,0,0,8,0,3,2,1,2,0.2,23,4,2,0,0,0,1,1,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/ireland/150px/Louis_Senior.jpg,Rugby League World Cup  Round 2,Sun 23rd October 2022 | 14:30,Ireland
