Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
CharnzeNicoll-Klokstad,0,0,163,2,0,0,0,0,4,0,1,0,0,12,0.92,33,8,1,0,3,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Charnze_Nicoll-Klokstad.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,New Zealand
DallinWatene-Zelezniak,2,1,279,0,0,0,0,0,20,2,7,3,2,1,0.08,17,4,4,3,0,0,1,0,0,1,0,0,1,3,2,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Dallin_Watene-Zelezniak.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,New Zealand
PetaHiku,0,0,215,1,0,0,0,0,4,3,2,0,0,9,0.56,40,4,1,1,1,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Peta_Hiku.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,New Zealand
MarataNiukore,0,0,70,0,0,0,0,0,4,1,1,1,1,3,0.6,22,4,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Marata_Niukore.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,New Zealand
SebastianKris,0,0,152,0,0,0,0,0,4,0,3,1,1,0,0,35,6,1,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Sebastian_Kris.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,New Zealand
JosephManu,0,0,162,5,0,0,0,0,0,3,0,1,1,25,1.09,37,7,0,2,1,0,1,0,0,9,0,0,0,1,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Joseph_Manu.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,New Zealand
KieranForan,6,4,46,0,0,0,0,0,12,2,1,0,0,29,5.8,12,1,0,0,1,0,1,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Kieran_Foran.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,New Zealand
MosesLeota,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,1,0,0,16,0,0,0,0,0,1,0,0,0,2,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Moses_Leota.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,New Zealand
BrandonSmith,0,0,132,6,0,0,0,0,8,0,2,1,1,49,3.06,25,4,2,0,0,0,2,0,0,36,0,0,1,1,0,3,0,0,2,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Brandon_Smith.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,New Zealand
JamesFisher-Harris,0,0,81,0,0,0,0,0,0,0,0,0,0,3,0.38,32,1,0,0,1,0,0,0,0,34,0,0,0,0,0,0,0,1,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/James_Fisher-Harris.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,New Zealand
KenneathBromwich,0,0,49,0,0,0,0,0,0,2,0,0,0,7,1.75,25,1,0,2,0,0,0,0,0,19,0,0,1,1,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Kenneath_Bromwich.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,New Zealand
BritonNikora,0,0,101,0,0,0,0,0,4,2,1,0,0,4,0.4,18,3,1,1,0,0,2,0,0,17,0,0,0,0,0,3,0,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Briton_Nikora.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,New Zealand
IsaacLiu,0,0,48,0,0,0,0,0,0,0,0,0,0,2,0.4,21,1,0,0,1,0,1,0,0,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Isaac_Liu.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,New Zealand
IsaiahPapali'i,0,0,78,1,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Isaiah_Papalii.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,New Zealand
NelsonAsofa-Solomona,0,0,79,1,0,0,0,0,0,0,0,1,1,1,0.13,34,4,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Nelson_Asofa-Solomona.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,New Zealand
JeremyMarshall-King,0,0,33,0,0,0,0,0,8,1,0,1,1,25,6.25,9,1,2,1,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Jeremy_Marshall-King.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,New Zealand
ScottSorensen,0,0,51,1,0,0,0,0,0,0,0,0,0,2,0.33,25,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Scott_Sorensen.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,New Zealand
JordanRapana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Jordan_Rapana.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,New Zealand
BenJones-Bishop,0,0,40,0,0,0,0,0,4,0,0,0,0,6,0.67,11,0,1,0,0,0,2,0,0,8,0,0,1,1,0,0,0,1,0,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/Ben_Jones-Bishop.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,Jamaica
MoAgoro,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/Mo_Agoro.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,Jamaica
GregJohnson,0,0,13,1,0,0,0,0,0,0,0,0,0,3,1.5,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/Greg_Johnson.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,Jamaica
JacobOgden,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0.17,9,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/Jacob_Ogden.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,Jamaica
AndrewSimpson,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/jamaica/150px/Andrew_Simpson.jpg,Rugby League World Cup  Round 2,Sat 22nd October 2022 | 19:30,Jamaica
