Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
JosephManu,0,0,255,2,0,0,0,0,4,0,1,3,2,11,0.35,85,18,1,0,1,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Joseph_Manu.jpg,Rugby League World Cup  Round 3,Fri 28th October 2022 | 19:30,New Zealand
JordanRapana,2,2,131,1,0,0,0,0,12,0,1,0,0,2,0.12,40,12,2,0,0,0,1,0,0,6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Jordan_Rapana.jpg,Rugby League World Cup  Round 3,Fri 28th October 2022 | 19:30,New Zealand
PetaHiku,0,0,76,0,0,0,0,0,8,1,0,1,1,6,0.67,26,2,2,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Peta_Hiku.jpg,Rugby League World Cup  Round 3,Fri 28th October 2022 | 19:30,New Zealand
BritonNikora,0,0,52,0,0,0,0,0,0,0,0,0,0,4,0.57,23,2,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,1,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Briton_Nikora.jpg,Rugby League World Cup  Round 3,Fri 28th October 2022 | 19:30,New Zealand
RonaldoMulitalo,0,0,86,0,0,0,0,0,4,0,0,0,0,5,0.5,27,5,1,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Ronaldo_Mulitalo.jpg,Rugby League World Cup  Round 3,Fri 28th October 2022 | 19:30,New Zealand
DylanBrown,2,4,146,0,0,0,4,0,4,0,1,0,0,29,1.32,37,8,0,1,0,0,1,0,0,21,0,0,1,6,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Dylan_Brown.jpg,Rugby League World Cup  Round 3,Fri 28th October 2022 | 19:30,New Zealand
JahromeHughes,0,0,115,0,0,0,0,0,8,2,3,1,0,26,1.63,21,18,2,3,1,0,0,0,1,14,0,0,1,5,2,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Jahrome_Hughes.jpg,Rugby League World Cup  Round 3,Fri 28th October 2022 | 19:30,New Zealand
JesseBromwich,0,0,94,0,0,0,0,0,0,0,0,0,0,1,0.13,42,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Jesse_Bromwich.jpg,Rugby League World Cup  Round 3,Fri 28th October 2022 | 19:30,New Zealand
BrandonSmith,0,0,70,2,0,0,0,0,0,3,0,0,0,105,8.08,14,5,0,3,0,0,0,0,0,21,0,0,0,1,0,0,0,1,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Brandon_Smith.jpg,Rugby League World Cup  Round 3,Fri 28th October 2022 | 19:30,New Zealand
JamesFisher-Harris,0,0,157,0,0,0,0,0,4,1,3,1,1,2,0.13,39,6,1,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/James_Fisher-Harris.jpg,Rugby League World Cup  Round 3,Fri 28th October 2022 | 19:30,New Zealand
KenneathBromwich,0,0,68,0,0,0,0,0,4,0,0,0,0,2,0.22,26,1,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Kenneath_Bromwich.jpg,Rugby League World Cup  Round 3,Fri 28th October 2022 | 19:30,New Zealand
