Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
JosephSuaali'i,0,0,141,0,0,0,0,0,0,1,0,0,0,15,0.94,51,4,0,1,2,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Joseph_Suaalii.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 17:00,Samoa
BrianTo'o,0,0,265,0,0,0,0,0,8,1,2,1,1,2,0.09,98,7,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Brian_Too.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 17:00,Samoa
StephenCrichton,9,2,95,0,0,0,0,0,18,2,0,1,1,5,0.5,35,0,0,2,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Stephen_Crichton.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 17:00,Samoa
TimLafai,0,0,169,1,0,0,0,0,8,3,1,1,1,5,0.28,50,7,2,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Tim_Lafai.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 17:00,Samoa
TaylanMay,0,0,220,1,0,0,0,0,16,0,6,1,1,6,0.4,37,3,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Taylan_May.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 17:00,Samoa
JaromeLuai,0,0,117,0,0,0,1,0,0,1,0,1,1,44,1.91,13,7,0,1,4,0,0,0,0,14,0,0,3,7,1,0,0,1,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Jarome_Luai.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 17:00,Samoa
AnthonyMilford,0,0,141,0,0,0,0,0,8,2,1,0,0,34,1.62,16,4,2,1,0,0,0,0,0,18,0,0,2,5,0,1,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Anthony_Milford.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 17:00,Samoa
RoyceHunt,0,0,121,0,0,0,0,0,0,1,0,0,0,1,0.09,45,4,0,1,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Royce_Hunt.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 17:00,Samoa
DannyLevi,0,0,51,4,0,0,0,0,0,0,1,1,1,90,18,7,1,0,1,0,0,0,0,0,32,0,0,0,0,0,0,0,1,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Danny_Levi.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 17:00,Samoa
JuniorPaulo,0,0,132,0,0,0,0,0,0,0,0,1,1,7,0.41,42,2,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Junior_Paulo.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 17:00,Samoa
LigiSao,0,0,67,0,0,0,0,0,0,0,0,2,1,1,0.13,31,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,3,1,0,1,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/samoa/150px/Ligi_Sao.jpg,Rugby League World Cup  Round 3,Sun 30th October 2022 | 17:00,Samoa
