Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
JamesTedesco,0,0,320,2,0,0,0,0,0,0,0,1,1,7,0.21,80,8,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/James_Tedesco.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,Australia
ValentineHolmes,0,0,118,1,0,0,0,0,4,0,1,1,1,3,0.25,38,1,1,0,0,0,3,0,0,7,0,0,0,1,0,0,1,0,0,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Valentine_Holmes.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,Australia
JackWighton,0,0,135,0,0,0,0,0,0,1,1,0,0,6,0.46,36,3,0,1,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Jack_Wighton.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,Australia
LatrellMitchell,0,0,117,1,0,0,0,0,0,0,0,1,1,7,0.5,41,4,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,2,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Latrell_Mitchell.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,Australia
JoshAddo-Carr,0,0,164,1,0,0,0,0,4,0,1,0,0,2,0.12,38,3,1,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Josh_Addo-Carr.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,Australia
CameronMunster,0,0,125,2,0,0,0,0,0,1,0,1,1,45,2.81,40,1,0,0,0,0,1,0,0,25,0,0,0,3,0,0,0,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Cameron_Munster.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,Australia
NathanCleary,2,1,174,2,0,0,3,0,4,2,0,0,0,33,1.14,34,5,0,0,2,0,0,0,0,27,0,0,0,18,0,1,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Nathan_Cleary.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,Australia
JakeTrbojevic,0,0,72,0,0,0,0,0,0,0,0,0,0,2,0.22,24,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Jake_Trbojevic.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,Australia
BenHunt,0,0,46,5,0,0,0,0,0,0,0,0,0,56,8,9,2,0,1,0,0,1,0,0,23,0,0,0,2,1,1,0,0,0,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Ben_Hunt.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,Australia
ReaganCampbell-Gillard,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Reagan_Campbell-Gillard.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,Australia
AngusCrichton,0,0,78,0,0,0,0,0,0,0,0,1,1,1,0.08,24,2,0,0,0,0,0,0,0,34,0,0,1,1,0,1,0,1,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Angus_Crichton.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,Australia
LiamMartin,0,0,113,0,0,0,0,0,0,0,1,1,1,1,0.11,43,0,0,0,0,0,0,0,0,41,0,0,0,0,0,1,0,1,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Liam_Martin.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,Australia
IsaahYeo,0,0,185,0,0,0,0,0,0,0,0,0,0,21,0.84,58,2,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Isaah_Yeo.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,Australia
HarryGrant,0,0,38,4,0,0,0,0,0,0,0,0,0,49,9.8,13,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Harry_Grant.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,Australia
PatrickCarrigan,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Patrick_Carrigan.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,Australia
CameronMurray,0,0,77,0,0,0,0,0,4,0,1,0,0,1,0.13,26,5,1,0,0,0,0,0,0,21,0,0,0,0,0,1,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Cameron_Murray.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,Australia
TinoFa'asuamaleaui,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Tino_Faasuamaleaui.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,Australia
DalyCherry-Evans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australia/150px/Daly_Cherry-Evans.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,Australia
JosephManu,0,0,318,1,0,0,0,0,0,0,0,4,3,5,0.16,94,4,0,1,0,0,0,0,0,3,1,0,1,1,0,1,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/new_zealand/150px/Joseph_Manu.jpg,Rugby League World Cup  Semi Finals,Fri 11th November 2022 | 19:45,New Zealand
