Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
SamTomkins,0,0,78,2,0,0,0,0,0,1,0,1,0,42,2.63,18,1,0,0,2,0,1,0,0,5,0,0,2,8,0,1,1,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Sam_Tomkins.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,England
DominicYoung,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,43,3,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Dominic_Young.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,England
KallumWatkins,0,0,109,0,0,0,0,0,0,0,0,2,2,4,0.33,46,2,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Kallum_Watkins.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,England
HerbieFarnworth,0,0,169,0,0,0,0,0,8,0,1,1,1,1,0.08,41,7,2,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Herbie_Farnworth.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,England
TommyMakinson,5,0,189,0,0,0,0,0,10,0,0,0,0,0,0,82,9,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Tommy_Makinson.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,England
JackWelsby,0,0,62,1,0,0,1,0,0,1,0,3,2,25,2.27,11,1,0,1,0,0,0,0,0,15,0,0,2,4,0,2,1,1,1,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Jack_Welsby.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,England
GeorgeWilliams,0,0,185,0,0,0,4,0,0,1,2,2,1,20,1,44,4,0,2,0,0,0,0,0,12,0,0,1,10,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/George_Williams.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,England
ThomasBurgess,0,0,165,0,0,0,0,0,0,0,0,1,1,0,0,66,5,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Thomas_Burgess.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,England
MichaelMcIlorum,0,0,4,1,0,0,0,0,0,1,0,0,0,91,91,0,0,0,0,1,0,0,0,0,34,0,0,0,0,0,0,0,0,0,8,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Michael_McIlorum.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,England
ChrisHill,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,67,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Chris_Hill.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,England
ElliottWhitehead,0,0,105,0,0,0,0,0,4,0,1,1,1,1,0.13,34,5,1,0,0,1,0,0,0,33,0,0,1,1,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england/150px/Elliott_Whitehead.jpg,Rugby League World Cup  Semi Finals,Sat 12th November 2022 | 14:30,England
