Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
SamanthaBremner,0,0,126,0,0,0,0,0,0,0,0,0,0,8,0.67,35,1,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Samantha_Bremner.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Australian Jillaroos
JuliaRobinson,0,0,147,0,0,0,0,0,4,0,0,0,0,2,0.17,37,3,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Julia_Robinson.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Australian Jillaroos
JessicaSergis,0,0,129,1,0,0,0,0,8,0,1,0,0,6,0.55,36,9,2,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Jessica_Sergis.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Australian Jillaroos
IsabelleKelly,0,0,176,0,0,0,0,0,8,0,3,2,1,7,0.41,52,8,2,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Isabelle_Kelly.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Australian Jillaroos
EvaniaPelite,0,0,211,1,0,0,0,0,4,0,2,0,0,4,0.24,69,12,1,0,0,0,2,0,0,7,0,0,0,0,0,2,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Evania_Pelite.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Australian Jillaroos
TarrynAiken,0,0,176,0,0,0,0,0,4,4,0,1,0,32,1.23,10,3,1,3,1,0,0,0,0,10,0,0,0,3,0,0,0,1,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Tarryn_Aiken.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Australian Jillaroos
AliBrigginshaw,2,3,112,0,0,0,2,0,4,3,1,1,1,26,1.63,21,1,0,3,2,0,0,0,0,29,0,0,3,10,1,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Ali_Brigginshaw.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Australian Jillaroos
ShannonMato,0,0,179,0,0,0,0,0,0,0,0,2,1,5,0.25,80,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Shannon_Mato.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Australian Jillaroos
KeeleyDavis,0,0,16,4,0,0,0,0,0,1,0,0,0,53,13.25,3,0,0,0,2,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Keeley_Davis.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Australian Jillaroos
KennedyCherrington,0,0,102,0,0,0,0,0,8,0,1,0,0,0,0,29,5,2,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Kennedy_Cherrington.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Australian Jillaroos
YasminClydsdale,0,0,208,0,0,0,0,0,0,0,1,0,0,2,0.11,87,7,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Yasmin_Clydsdale.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Australian Jillaroos
KezieApps,0,0,83,0,0,0,0,0,0,0,1,0,0,1,0.14,30,2,0,1,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Kezie_Apps.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Australian Jillaroos
SimaimaTaufa,0,0,155,0,0,0,0,0,0,0,0,0,0,5,0.29,51,1,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Simaima_Taufa.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Australian Jillaroos
LaurenBrown,5,0,47,5,0,0,0,0,10,1,0,0,0,51,7.29,8,2,0,1,2,0,0,0,0,23,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Lauren_Brown.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Australian Jillaroos
EmmaTonegato,0,0,168,0,0,0,0,0,4,1,1,1,1,13,0.72,52,4,1,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Emma_Tonegato.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Australian Jillaroos
ShayleeBent,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Shaylee_Bent.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Australian Jillaroos
CaitlanJohnston,0,0,99,0,0,0,0,0,0,0,0,0,0,1,0.13,47,1,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Caitlan_Johnston.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Australian Jillaroos
HolliWheeler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Holli_Wheeler.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Australian Jillaroos
ApiiNicholls,0,0,61,1,0,0,0,0,0,0,0,0,0,6,0.67,9,0,0,0,0,0,2,0,0,8,1,0,0,0,0,1,0,0,0,7,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Apii_Nicholls.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Kiwi Ferns
Autumn-RainStephens-Daly,0,0,74,0,0,0,0,0,0,0,0,0,0,3,0.33,26,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,7,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Autumn-Rain_Stephens-Daly.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Kiwi Ferns
MeleHufanga,0,0,77,0,0,0,0,0,0,0,0,0,0,2,0.22,27,3,0,0,0,0,1,0,0,14,1,0,0,0,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Mele_Hufanga.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Kiwi Ferns
PageMcGregor,0,0,23,1,0,0,0,0,0,1,0,0,0,2,0.25,5,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Page_McGregor.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Kiwi Ferns
MadisonBartlett,0,0,34,0,0,0,0,0,4,0,1,0,0,0,0,10,1,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Madison_Bartlett.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Kiwi Ferns
AbigailRoache,0,0,43,1,0,0,0,0,0,0,0,0,0,25,3.13,2,1,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Abigail_Roache.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Kiwi Ferns
RaeceneMcGregor,0,1,53,0,0,0,0,0,0,0,0,0,0,30,2.14,16,0,0,0,0,0,0,1,0,19,0,0,1,13,0,1,1,0,0,12,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Raecene_McGregor.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Kiwi Ferns
BriannaClark,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Brianna_Clark.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Kiwi Ferns
KrystalRota,0,0,86,2,0,0,0,0,0,0,1,0,0,45,5.63,10,5,0,0,1,0,0,0,0,28,0,0,0,0,0,1,0,1,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Krystal_Rota.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Kiwi Ferns
AnnettaNu'uausala,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Annetta_Nuuausala.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Kiwi Ferns
RoxyMurdoch-Masila,0,0,91,0,0,0,0,0,0,0,0,1,1,0,0,26,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Roxy_Murdoch-Masila.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Kiwi Ferns
AmberHall,0,0,90,0,0,0,0,0,0,0,0,2,1,1,0.09,56,3,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,1,7,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Amber_Hall.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Kiwi Ferns
GeorgiaHale,0,0,121,0,0,0,0,0,0,0,0,0,0,16,0.73,34,0,0,0,0,0,0,0,0,53,0,0,0,1,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Georgia_Hale.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Kiwi Ferns
NitaMaynard,0,0,40,3,0,0,0,0,0,0,0,0,0,41,10.25,11,1,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Nita_Maynard.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Kiwi Ferns
MyaHill-Moana,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Mya_Hill-Moana.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Kiwi Ferns
OtesaPule,0,0,48,0,0,0,0,0,0,0,0,0,0,1,0.17,30,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Otesa_Pule.jpg,Womens Rugby League World Cup  Final,Sat 19th November 2022 | 13:15,Kiwi Ferns
