Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
SamanthaBremner,0,0,197,1,0,0,0,0,16,0,2,1,0,4,0.27,31,9,4,0,0,0,4,0,0,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Samantha_Bremner.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 19:30,Australian Jillaroos
JuliaRobinson,0,0,155,1,0,0,0,0,8,0,1,0,0,3,0.23,52,6,2,0,0,0,1,1,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Julia_Robinson.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 19:30,Australian Jillaroos
ShenaeCiesiolka,0,0,62,0,0,0,0,0,4,0,1,0,0,3,0.75,6,2,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Shenae_Ciesiolka.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 19:30,Australian Jillaroos
IsabelleKelly,0,0,174,0,0,0,0,0,0,1,2,4,4,3,0.19,56,5,0,3,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Isabelle_Kelly.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 19:30,Australian Jillaroos
EvaniaPelite,0,0,144,3,0,0,0,0,12,0,3,0,0,5,0.38,33,6,3,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Evania_Pelite.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 19:30,Australian Jillaroos
TarrynAiken,0,0,163,0,0,0,0,0,8,3,1,0,0,25,0.96,12,1,2,1,3,0,0,0,0,10,0,0,1,3,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Tarryn_Aiken.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 19:30,Australian Jillaroos
AliBrigginshaw,0,2,85,1,0,0,1,0,0,1,1,0,0,33,3.3,6,1,0,3,1,0,0,0,0,15,0,0,3,4,1,2,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Ali_Brigginshaw.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 19:30,Australian Jillaroos
ShannonMato,0,0,113,0,0,0,0,0,0,0,0,2,2,2,0.18,44,2,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Shannon_Mato.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 19:30,Australian Jillaroos
LaurenBrown,6,3,43,4,0,0,0,0,12,3,0,0,0,55,11,14,2,0,1,3,0,0,0,0,24,0,0,1,1,0,0,0,1,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Lauren_Brown.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 19:30,Australian Jillaroos
CaitlanJohnston,0,0,175,0,0,0,0,0,4,1,1,1,1,1,0.07,71,2,1,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Caitlan_Johnston.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 19:30,Australian Jillaroos
KezieApps,0,0,65,0,0,0,0,0,0,2,0,2,2,0,0,31,3,0,1,0,0,0,0,0,14,0,0,0,0,0,1,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Kezie_Apps.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 19:30,Australian Jillaroos
OliviaKernick,0,0,61,0,0,0,0,0,0,1,0,0,0,3,0.38,27,1,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Olivia_Kernick.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 19:30,Australian Jillaroos
SimaimaTaufa,0,0,193,0,0,0,0,0,0,0,1,0,0,7,0.39,70,3,0,1,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Simaima_Taufa.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 19:30,Australian Jillaroos
TaliahFuimaono,0,0,43,3,0,0,0,0,4,2,1,0,0,28,9.33,6,1,1,1,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Taliah_Fuimaono.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 19:30,Australian Jillaroos
HolliWheeler,3,0,134,0,0,0,0,0,6,0,0,0,0,3,0.3,51,1,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Holli_Wheeler.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 19:30,Australian Jillaroos
KennedyCherrington,0,0,110,0,0,0,0,0,0,0,0,0,0,1,0.1,45,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Kennedy_Cherrington.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 19:30,Australian Jillaroos
YasminClydsdale,0,0,38,0,0,0,0,0,0,0,1,0,0,2,1,9,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Yasmin_Clydsdale.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 19:30,Australian Jillaroos
EmmaTonegato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Emma_Tonegato.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 19:30,Australian Jillaroos
MackenzieWiki,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,1,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands_women/150px/Mackenzie_Wiki.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 19:30,Cook Islands Women
BeniaminaKoiatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands_women/150px/Beniamina_Koiatu.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 19:30,Cook Islands Women
KerehitinaMatua,0,0,102,1,0,0,0,0,0,0,0,0,0,2,0.18,44,1,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands_women/150px/Kerehitina_Matua.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 19:30,Cook Islands Women
KianaTakairangi,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/cook_islands_women/150px/Kiana_Takairangi.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 19:30,Cook Islands Women
