Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
ApiiNicholls,1,1,209,1,0,0,0,0,6,0,0,0,0,11,0.73,44,4,1,0,1,0,1,0,0,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Apii_Nicholls.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 17:00,Kiwi Ferns
KatelynVaha'akolo,0,0,154,5,0,0,0,0,8,0,1,0,0,7,0.54,58,2,2,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Katelyn_Vahaakolo.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 17:00,Kiwi Ferns
ShaniceParker,0,0,223,0,0,0,0,0,4,1,2,0,0,10,0.67,44,9,1,2,0,0,2,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Shanice_Parker.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 17:00,Kiwi Ferns
PageMcGregor,0,0,113,0,0,0,0,0,4,1,0,1,1,4,0.33,45,4,1,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Page_McGregor.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 17:00,Kiwi Ferns
MadisonBartlett,0,0,118,7,0,0,0,0,4,0,1,0,0,2,0.13,55,3,1,0,0,0,2,0,0,6,0,0,0,0,0,2,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Madison_Bartlett.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 17:00,Kiwi Ferns
Autumn-RainStephens-Daly,0,0,62,0,0,0,0,0,0,1,0,0,0,20,1.67,4,1,0,1,0,0,0,0,0,25,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Autumn-Rain_Stephens-Daly.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 17:00,Kiwi Ferns
RaeceneMcGregor,0,0,71,1,0,0,3,0,0,3,0,0,0,35,2.5,10,0,0,4,2,0,0,0,0,12,0,0,3,13,2,0,1,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Raecene_McGregor.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 17:00,Kiwi Ferns
MyaHill-Moana,0,0,115,0,0,0,0,0,0,0,0,0,0,1,0.1,60,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Mya_Hill-Moana.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 17:00,Kiwi Ferns
KrystalRota,0,0,91,6,0,0,0,0,0,0,0,1,1,39,3,23,2,0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Krystal_Rota.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 17:00,Kiwi Ferns
AnnettaNu'uausala,0,0,122,0,0,0,0,0,0,1,0,2,2,0,0,56,4,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Annetta_Nuuausala.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 17:00,Kiwi Ferns
RoxyMurdoch-Masila,0,0,62,0,0,0,0,0,8,0,2,0,0,1,0.14,19,2,2,0,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Roxy_Murdoch-Masila.jpg,Womens Rugby League World Cup  Round 1,Wed 2nd November 2022 | 17:00,Kiwi Ferns
