Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
FrancescaGoldthorp,0,0,176,1,0,0,0,0,4,2,3,1,1,9,0.6,51,14,1,2,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Francesca_Goldthorp.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 12:00,England Women
GeorgiaWilson,0,0,53,0,0,0,0,0,4,1,1,0,0,3,0.43,13,7,1,0,0,0,1,0,0,6,0,0,0,0,0,2,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Georgia_Wilson.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 12:00,England Women
Tara-JaneStanley,5,6,252,1,0,0,0,0,22,1,5,0,0,3,0.2,43,16,3,1,0,0,2,0,0,17,1,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Tara-Jane_Stanley.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 12:00,England Women
CarrieRoberts,0,0,122,0,0,0,0,0,4,0,1,0,0,1,0.09,55,11,1,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Carrie_Roberts.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 12:00,England Women
LeahBurke,0,0,61,0,0,0,0,0,8,0,1,1,1,2,0.25,14,9,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Leah_Burke.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 12:00,England Women
GeorgiaRoche,0,0,98,2,0,0,0,0,4,5,1,0,0,33,3.3,14,3,1,4,1,0,0,0,0,17,0,0,1,6,0,0,1,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Georgia_Roche.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 12:00,England Women
CourtneyWinfield-Hill,0,0,109,0,0,0,0,0,0,1,1,0,0,23,2.3,24,7,0,2,3,0,0,0,0,6,0,0,0,5,1,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Courtney_Winfield-Hill.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 12:00,England Women
ShonaHoyle,0,0,115,0,0,0,0,0,0,0,0,1,1,4,0.25,27,2,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Shona_Hoyle.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 12:00,England Women
KearaBennett,0,0,45,9,0,0,0,0,0,6,0,1,1,93,9.3,3,0,0,2,3,0,0,0,0,20,0,0,0,0,0,2,0,1,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Keara_Bennett.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 12:00,England Women
PaigeTravis,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,41,3,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,1,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Paige_Travis.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 12:00,England Women
HollieDodd,0,0,99,0,0,0,0,0,8,0,2,2,2,0,0,26,4,2,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Hollie_Dodd.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 12:00,England Women
EmilyRudge,0,0,82,0,0,0,0,0,0,0,0,0,0,1,0.13,36,1,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Emily_Rudge.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 12:00,England Women
VickyMolyneux,0,0,198,0,0,0,0,0,0,0,0,0,0,2,0.11,74,4,0,0,0,0,0,0,0,33,0,0,0,0,0,1,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Vicky_Molyneux.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 12:00,England Women
VickyWhitfield,0,0,67,0,0,0,0,0,0,0,1,0,0,0,0,23,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Vicky_Whitfield.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 12:00,England Women
BethStott,0,0,18,0,0,0,0,0,0,0,0,0,0,9,2.25,0,1,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Beth_Stott.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 12:00,England Women
ZoeHornby,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Zoe_Hornby.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 12:00,England Women
DannielleAnderson,0,0,77,0,0,0,0,0,0,0,0,1,1,0,0,18,4,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Dannielle_Anderson.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 12:00,England Women
OliviaWood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Olivia_Wood.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 12:00,England Women
KarinaGauto,0,0,28,4,0,0,0,0,0,1,0,0,0,3,0.5,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/canada_ravens/150px/Karina_Gauto.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 12:00,Canada Ravens
BrittanyJones,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/canada_ravens/150px/Brittany_Jones.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 12:00,Canada Ravens
MaddyAberg,0,1,91,2,0,0,0,0,0,0,1,1,0,0,0,42,6,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,10,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/canada_ravens/150px/Maddy_Aberg.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 12:00,Canada Ravens
