Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
MarthaMolowia,0,0,155,2,0,0,0,0,4,0,1,0,0,3,0.18,49,3,1,0,2,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Martha_Molowia.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 17:00,Papua New Guinea Orchids
TaraMoxon,0,0,71,2,0,0,0,0,8,0,2,1,1,0,0,17,1,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Tara_Moxon.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 17:00,Papua New Guinea Orchids
Shae YvonneDe La Cruz,0,0,58,2,0,0,0,0,0,2,0,2,2,4,0.4,23,1,0,2,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Shae_Yvonne_De_La_Cruz.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 17:00,Papua New Guinea Orchids
BelindaGwasamun,0,0,282,3,0,0,0,0,16,0,4,0,0,1,0.06,51,18,4,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Belinda_Gwasamun.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 17:00,Papua New Guinea Orchids
AnikaButler,0,0,63,4,0,0,0,0,4,0,0,0,0,0,0,8,3,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Anika_Butler.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 17:00,Papua New Guinea Orchids
SeraKoroi,0,0,89,0,0,0,0,0,4,0,1,1,1,9,0.82,21,2,1,1,0,0,0,0,0,11,0,0,1,3,1,0,0,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Sera_Koroi.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 17:00,Papua New Guinea Orchids
LilahMalabag,7,7,109,0,0,0,0,0,18,4,0,0,0,12,0.86,27,2,1,2,0,0,0,0,0,4,0,0,1,7,0,3,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Lilah_Malabag.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 17:00,Papua New Guinea Orchids
ElsieAlbert,0,0,245,0,0,0,0,0,4,0,3,2,1,3,0.17,111,16,1,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Elsie_Albert.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 17:00,Papua New Guinea Orchids
ShirleyJoe,0,0,99,4,0,0,0,0,4,3,1,2,2,34,3.4,17,5,1,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Shirley_Joe.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 17:00,Papua New Guinea Orchids
BertshibaAwoi,0,0,107,0,0,0,0,0,0,0,1,1,0,1,0.11,50,4,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Bertshiba_Awoi.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 17:00,Papua New Guinea Orchids
EssayBanu,0,0,66,0,0,0,0,0,0,1,0,0,0,2,0.29,36,4,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Essay_Banu.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 17:00,Papua New Guinea Orchids
CarolHumeu,0,0,154,0,0,0,0,0,0,0,2,1,0,1,0.08,53,3,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Carol_Humeu.jpg,Womens Rugby League World Cup  Round 2,Sat 5th November 2022 | 17:00,Papua New Guinea Orchids
