Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
SamanthaBremner,0,0,162,0,0,0,0,0,0,1,1,0,0,14,0.74,31,5,0,0,1,0,2,0,0,12,0,0,0,0,0,1,0,0,0,0,1,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Samantha_Bremner.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 19:30,Australian Jillaroos
JuliaRobinson,0,0,110,0,0,0,0,0,4,0,1,0,0,2,0.12,49,0,1,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Julia_Robinson.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 19:30,Australian Jillaroos
JessicaSergis,0,0,168,0,0,0,0,0,0,1,1,1,1,3,0.2,60,5,0,1,0,0,0,0,0,17,0,0,0,0,0,4,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Jessica_Sergis.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 19:30,Australian Jillaroos
IsabelleKelly,0,0,170,1,0,0,0,0,0,0,1,0,0,8,0.5,63,7,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Isabelle_Kelly.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 19:30,Australian Jillaroos
JaimeChapman,0,0,80,1,0,0,0,0,0,0,0,1,1,1,0.1,33,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Jaime_Chapman.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 19:30,Australian Jillaroos
TarrynAiken,0,0,96,0,0,0,0,0,4,0,1,0,0,33,1.74,0,3,1,0,0,0,0,0,0,12,0,0,4,8,0,2,0,0,1,8,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Tarryn_Aiken.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 19:30,Australian Jillaroos
AliBrigginshaw,1,0,61,2,0,0,1,0,2,2,0,0,0,45,4.09,10,1,0,0,0,0,0,0,0,22,0,0,3,6,0,1,1,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Ali_Brigginshaw.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 19:30,Australian Jillaroos
ShannonMato,0,0,146,0,0,0,0,0,0,0,1,0,0,1,0.07,61,6,0,0,0,0,0,0,0,29,0,0,0,0,0,2,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Shannon_Mato.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 19:30,Australian Jillaroos
KeeleyDavis,0,0,20,3,0,0,0,0,0,0,0,0,0,55,9.17,4,0,0,0,1,0,0,0,0,30,0,0,1,1,0,0,0,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Keeley_Davis.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 19:30,Australian Jillaroos
CaitlanJohnston,0,0,67,0,0,0,0,0,0,0,0,0,0,2,0.25,31,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Caitlan_Johnston.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 19:30,Australian Jillaroos
KezieApps,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,41,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/australian_jillaroos/150px/Kezie_Apps.jpg,Womens Rugby League World Cup  Round 3,Thu 10th November 2022 | 19:30,Australian Jillaroos
