Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
PetraWoods,0,0,95,1,0,0,0,0,0,0,0,0,0,0,0,36,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/canada_ravens/150px/Petra_Woods.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Canada Ravens
FerrisSandboe,0,0,33,1,0,0,0,0,4,0,1,0,0,1,0.25,5,1,1,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/canada_ravens/150px/Ferris_Sandboe.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Canada Ravens
DaniFrananda,3,1,27,0,0,0,0,0,6,0,0,0,0,4,1,6,1,0,1,0,0,0,0,0,12,0,0,1,1,1,2,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/canada_ravens/150px/Dani_Frananda.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Canada Ravens
NinaBui,0,0,68,0,0,0,0,0,0,1,0,0,0,8,1,30,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/canada_ravens/150px/Nina_Bui.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Canada Ravens
LaurenMueller,0,0,62,2,0,0,0,0,0,0,1,1,0,4,0.57,12,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/canada_ravens/150px/Lauren_Mueller.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Canada Ravens
LauraMariu,0,0,67,1,0,0,0,0,0,1,0,0,0,18,1.8,15,2,0,1,1,0,0,0,0,16,0,0,0,4,0,1,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/canada_ravens/150px/Laura_Mariu.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Canada Ravens
SabrinaMcDaid,0,0,51,0,0,0,3,0,0,0,0,0,0,17,1.55,10,3,0,0,1,0,0,0,0,22,0,0,0,7,0,0,1,1,1,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/canada_ravens/150px/Sabrina_McDaid.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Canada Ravens
Ada JaneOkonkwo,0,0,39,0,0,0,0,0,0,0,0,0,0,1,0.25,19,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/canada_ravens/150px/Ada_Jane_Okonkwo.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Canada Ravens
AlannaFittes,0,0,45,5,0,0,0,0,4,1,0,0,0,51,6.38,3,2,1,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/canada_ravens/150px/Alanna_Fittes.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Canada Ravens
ElizabethSteele,0,0,88,0,0,0,0,0,0,0,0,0,0,1,0.1,37,5,0,0,0,0,0,0,0,26,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/canada_ravens/150px/Elizabeth_Steele.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Canada Ravens
GabrielleHindley,0,0,76,1,0,0,0,0,0,0,0,1,0,2,0.22,19,4,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/canada_ravens/150px/Gabrielle_Hindley.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Canada Ravens
MaddyAberg,0,0,254,0,0,0,0,0,0,0,1,2,1,0,0,99,24,0,0,0,0,0,0,0,26,0,0,0,0,0,3,0,1,0,7,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/canada_ravens/150px/Maddy_Aberg.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Canada Ravens
MeganPakulis,0,0,282,3,0,0,0,0,4,0,1,0,0,3,0.11,123,10,1,0,0,0,0,0,0,36,0,0,0,0,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/canada_ravens/150px/Megan_Pakulis.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Canada Ravens
NatashaNaismith,0,0,34,1,0,0,0,0,0,0,1,0,0,38,12.67,7,2,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/canada_ravens/150px/Natasha_Naismith.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Canada Ravens
KristySargent,0,0,79,0,0,0,0,0,0,1,0,0,0,1,0.11,30,0,0,1,0,0,0,0,0,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/canada_ravens/150px/Kristy_Sargent.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Canada Ravens
SarahMaguire,0,0,68,0,0,0,0,0,4,0,1,0,0,0,0,16,4,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/canada_ravens/150px/Sarah_Maguire.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Canada Ravens
JadeMenin,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/canada_ravens/150px/Jade_Menin.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Canada Ravens
RachelChoboter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/canada_ravens/150px/Rachel_Choboter.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Canada Ravens
NataliaMomberg,0,0,66,1,0,0,0,0,0,0,0,0,0,10,1.25,17,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/brazil_women/150px/Natalia_Momberg.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Brazil Women
EdnaSantini,0,0,137,1,0,0,0,0,4,0,2,0,0,1,0.13,9,7,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/brazil_women/150px/Edna_Santini.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Brazil Women
LeticiaMedeiros,0,0,63,0,0,0,0,0,0,2,0,1,1,3,0.33,28,1,0,0,0,0,0,0,0,10,0,0,1,1,0,1,0,0,0,7,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/brazil_women/150px/Leticia_Medeiros.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Brazil Women
AmandaWelter,0,0,99,1,0,0,0,0,0,0,0,0,0,4,0.44,39,1,0,0,0,0,0,0,0,4,0,0,1,1,0,2,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/brazil_women/150px/Amanda_Welter.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Brazil Women
DanielleSoares,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/brazil_women/150px/Danielle_Soares.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Brazil Women
GiovannaMoura,0,0,37,0,0,0,0,0,0,0,0,0,0,10,1.25,15,2,0,0,0,0,1,0,0,13,0,0,0,0,0,1,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/brazil_women/150px/Giovanna_Moura.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Brazil Women
MariaGraf,2,1,25,0,0,0,1,0,4,0,0,0,0,26,3.71,0,0,0,0,0,0,0,0,0,26,0,0,0,9,0,0,0,0,0,10,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/brazil_women/150px/Maria_Graf.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Brazil Women
FrancinyAmaral,0,0,198,1,0,0,0,0,4,0,1,2,0,0,0,91,13,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,9,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/brazil_women/150px/Franciny_Amaral.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 17:00,Brazil Women
