Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
FrancescaGoldthorp,0,0,227,1,0,0,0,0,0,3,3,0,0,10,0.67,90,19,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Francesca_Goldthorp.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,England Women
CaitlinBeevers,0,0,92,0,0,0,0,0,4,0,1,0,0,5,0.56,39,3,1,0,0,0,1,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Caitlin_Beevers.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,England Women
Tara-JaneStanley,5,3,100,1,0,0,0,0,14,0,1,1,1,3,0.21,26,11,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Tara-Jane_Stanley.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,England Women
AmyHardcastle,0,0,156,0,0,0,0,0,8,0,3,1,1,0,0,48,7,2,0,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Amy_Hardcastle.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,England Women
LeahBurke,0,0,63,0,0,0,0,0,12,0,0,0,0,0,0,39,5,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Leah_Burke.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,England Women
GeorgiaRoche,0,0,53,0,0,0,0,0,0,1,0,0,0,41,3.73,7,4,0,1,2,0,0,0,0,6,0,0,2,6,0,1,1,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Georgia_Roche.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,England Women
CourtneyWinfield-Hill,0,0,29,0,0,0,0,0,0,1,0,0,0,31,3.1,1,0,0,4,1,0,0,0,0,7,0,0,0,6,3,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Courtney_Winfield-Hill.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,England Women
ShonaHoyle,0,0,126,0,0,0,0,0,0,0,1,0,0,1,0.08,36,5,0,0,0,0,0,0,0,31,0,0,0,0,0,1,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Shona_Hoyle.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,England Women
TaraJones,0,0,17,2,0,0,0,0,0,2,0,0,0,57,28.5,4,0,0,0,2,0,0,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Tara_Jones.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,England Women
OliviaWood,0,0,177,0,0,0,0,0,0,0,1,0,0,1,0.07,67,6,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Olivia_Wood.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,England Women
HollieDodd,0,0,163,1,0,0,0,0,0,1,0,2,2,2,0.12,66,14,0,1,0,0,0,0,0,28,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Hollie_Dodd.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,England Women
EmilyRudge,0,0,87,0,0,0,0,0,0,1,0,1,1,4,0.36,32,1,0,1,0,0,0,0,0,26,0,0,0,0,0,0,0,1,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Emily_Rudge.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,England Women
JodieCunningham,0,0,122,0,0,0,0,0,0,1,0,1,1,8,0.53,41,4,0,0,1,0,0,0,0,39,0,0,0,0,0,0,0,0,0,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Jodie_Cunningham.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,England Women
VickyWhitfield,0,0,163,0,0,0,0,0,4,0,3,0,0,1,0.08,38,13,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Vicky_Whitfield.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,England Women
KearaBennett,0,0,56,4,0,0,0,0,0,1,0,0,0,61,8.71,13,1,0,0,2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Keara_Bennett.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,England Women
PaigeTravis,0,0,79,0,0,0,0,0,0,0,0,0,0,1,0.11,33,1,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Paige_Travis.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,England Women
GraceField,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,1,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Grace_Field.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,England Women
ZoeHarris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Zoe_Harris.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,England Women
MarthaMolowia,0,0,74,5,0,0,0,0,4,0,1,0,0,0,0,18,1,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Martha_Molowia.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,Papua New Guinea Orchids
Lisa MarieAlu,0,0,48,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,1,3,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/papua_new_guinea_orchids/150px/Lisa_Marie_Alu.jpg,Womens Rugby League World Cup  Round 3,Wed 9th November 2022 | 19:30,Papua New Guinea Orchids
