Player,All Goals,All Goals Missed,All Run Metres,Dummy Half Runs,Field Goals,Field Goals Attempts,Bomb Kicks,Forty Twenty Kicks,Points,Linebreak Assists,Linebreaks,Offloads,Offload To Hand,Passes,Passes Per Run,Post Contact Metres,Tackle Breaks,Tries,Try Assists,Try Involvement,Charge Downs,Kicks Defused,Intercepts,One On One Steal,Tackles,Try Saves,Twenty Forty Kicks,Grubber Kick,Kicks,Kick Try Assist,Errors,Kick Dead,Ruck Infringements,Penalties,Missed Tackles,One On One Lost,On Report,Sent Off,Sin Bins,player_img,game,date,team
FrancescaGoldthorp,0,0,116,1,0,0,0,0,4,0,1,0,0,10,0.67,28,8,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Francesca_Goldthorp.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,England Women
CaitlinBeevers,0,0,107,0,0,0,0,0,0,0,0,0,0,3,0.27,43,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Caitlin_Beevers.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,England Women
Tara-JaneStanley,1,0,87,0,0,0,0,0,2,0,0,0,0,2,0.2,35,4,0,0,0,0,0,0,0,17,0,0,0,1,0,2,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Tara-Jane_Stanley.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,England Women
AmyHardcastle,0,0,107,0,0,0,0,0,0,0,0,0,0,2,0.13,34,3,0,0,0,0,1,0,0,17,0,0,0,0,0,2,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Amy_Hardcastle.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,England Women
LeahBurke,0,0,64,1,0,0,0,0,0,0,0,1,1,0,0,13,4,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Leah_Burke.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,England Women
GeorgiaRoche,0,0,99,0,0,0,1,0,0,1,0,0,0,34,1.62,12,1,0,1,0,0,1,0,0,23,1,0,4,12,0,1,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Georgia_Roche.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,England Women
CourtneyWinfield-Hill,0,0,90,1,0,0,0,0,0,0,0,0,0,33,1.57,6,2,0,0,0,0,0,0,0,6,0,0,1,7,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Courtney_Winfield-Hill.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,England Women
ShonaHoyle,0,0,122,0,0,0,0,0,0,0,0,0,0,1,0.08,38,2,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Shona_Hoyle.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,England Women
TaraJones,0,0,32,4,0,0,0,0,0,0,0,0,0,100,16.67,7,0,0,0,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Tara_Jones.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,England Women
OliviaWood,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Olivia_Wood.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,England Women
VickyMolyneux,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,46,2,0,0,0,0,0,0,0,27,0,0,0,0,0,1,0,1,0,6,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Vicky_Molyneux.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,England Women
EmilyRudge,0,0,111,0,0,0,0,0,0,0,0,0,0,4,0.36,46,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Emily_Rudge.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,England Women
JodieCunningham,0,0,172,0,0,0,0,0,0,0,0,0,0,7,0.3,55,3,0,0,0,0,0,0,0,27,0,0,0,0,0,1,0,1,1,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Jodie_Cunningham.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,England Women
KearaBennett,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Keara_Bennett.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,England Women
HollieDodd,0,0,90,0,0,0,0,0,0,0,0,1,1,1,0.13,41,3,0,0,0,0,0,0,0,17,0,0,0,0,0,2,0,1,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Hollie_Dodd.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,England Women
GraceField,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Grace_Field.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,England Women
VickyWhitfield,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,64,4,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,7,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Vicky_Whitfield.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,England Women
PaigeTravis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/england_women/150px/Paige_Travis.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,England Women
ApiiNicholls,2,1,237,2,0,0,0,0,4,0,1,1,1,8,0.38,76,5,0,0,1,0,3,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Apii_Nicholls.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
KatelynVaha'akolo,0,0,115,0,0,0,0,0,0,0,1,2,1,7,0.64,34,1,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,1,1,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Katelyn_Vahaakolo.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
MeleHufanga,0,0,185,1,0,0,0,0,4,1,1,1,1,6,0.4,49,13,1,0,0,0,0,0,0,16,0,0,1,1,0,2,0,0,0,4,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Mele_Hufanga.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
PageMcGregor,0,0,86,0,0,0,0,0,0,0,0,0,0,6,0.6,37,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,5,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Page_McGregor.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
MadisonBartlett,0,0,157,2,0,0,0,0,0,0,0,1,1,3,0.19,59,3,0,0,0,0,0,0,0,8,0,0,1,1,0,1,0,0,0,2,0,0,0,0,https://d1k4ho093oddvv.cloudfront.net/headshots/kiwi_ferns/150px/Madison_Bartlett.jpg,Womens Rugby League World Cup  Semi Finals,Mon 14th November 2022 | 19:30,Kiwi Ferns
